pid,attribute,phase,calculation,value
"('CONTROL', '0YhSRQx5Cdp5')",age,phase_1,AD,0.67432683973223800
"('CONTROL', '0YhSRQx5Cdp5')",age,phase_1,diversity,0.5
"('CONTROL', '0YhSRQx5Cdp5')",age,phase_1,proportion,0.3
"('CONTROL', '0YhSRQx5Cdp5')",age,phase_2,AD,0.67432683973223800
"('CONTROL', '0YhSRQx5Cdp5')",age,phase_2,diversity,0.5
"('CONTROL', '0YhSRQx5Cdp5')",age,phase_2,proportion,0.3
"('CONTROL', '0YhSRQx5Cdp5')",education,phase_1,AD,0.43899219251120800
"('CONTROL', '0YhSRQx5Cdp5')",education,phase_1,diversity,0.12380952380952400
"('CONTROL', '0YhSRQx5Cdp5')",education,phase_1,proportion,0.11034414320913800
"('CONTROL', '0YhSRQx5Cdp5')",education,phase_2,AD,0.43899219251120800
"('CONTROL', '0YhSRQx5Cdp5')",education,phase_2,diversity,0.12380952380952400
"('CONTROL', '0YhSRQx5Cdp5')",education,phase_2,proportion,0.11034414320913800
"('CONTROL', '0YhSRQx5Cdp5')",first_name,phase_1,AD,0.66996074695710800
"('CONTROL', '0YhSRQx5Cdp5')",first_name,phase_1,diversity,0.021913580246913600
"('CONTROL', '0YhSRQx5Cdp5')",first_name,phase_1,proportion,0.022277048091153800
"('CONTROL', '0YhSRQx5Cdp5')",first_name,phase_2,AD,0.66996074695710800
"('CONTROL', '0YhSRQx5Cdp5')",first_name,phase_2,diversity,0.021913580246913600
"('CONTROL', '0YhSRQx5Cdp5')",first_name,phase_2,proportion,0.022277048091153800
"('CONTROL', '0YhSRQx5Cdp5')",gender,phase_1,AD,0.99949695197051300
"('CONTROL', '0YhSRQx5Cdp5')",gender,phase_1,diversity,0.0
"('CONTROL', '0YhSRQx5Cdp5')",gender,phase_1,proportion,0.4252873563218390
"('CONTROL', '0YhSRQx5Cdp5')",gender,phase_1,ratio,0.5
"('CONTROL', '0YhSRQx5Cdp5')",gender,phase_2,AD,0.99949695197051300
"('CONTROL', '0YhSRQx5Cdp5')",gender,phase_2,diversity,0.0
"('CONTROL', '0YhSRQx5Cdp5')",gender,phase_2,proportion,0.4252873563218390
"('CONTROL', '0YhSRQx5Cdp5')",gender,phase_2,ratio,0.5
"('CONTROL', '0YhSRQx5Cdp5')",id,phase_1,AD,0.27016558971534800
"('CONTROL', '0YhSRQx5Cdp5')",id,phase_1,diversity,0.01818181818181820
"('CONTROL', '0YhSRQx5Cdp5')",id,phase_1,proportion,0.01818181818181820
"('CONTROL', '0YhSRQx5Cdp5')",id,phase_2,AD,0.27016558971534800
"('CONTROL', '0YhSRQx5Cdp5')",id,phase_2,diversity,0.01818181818181820
"('CONTROL', '0YhSRQx5Cdp5')",id,phase_2,proportion,0.01818181818181820
"('CONTROL', '0YhSRQx5Cdp5')",last_name,phase_1,AD,0.24078119892491200
"('CONTROL', '0YhSRQx5Cdp5')",last_name,phase_1,diversity,0.018859649122807000
"('CONTROL', '0YhSRQx5Cdp5')",last_name,phase_1,proportion,0.01874398749398750
"('CONTROL', '0YhSRQx5Cdp5')",last_name,phase_2,AD,0.24078119892491200
"('CONTROL', '0YhSRQx5Cdp5')",last_name,phase_2,diversity,0.018859649122807000
"('CONTROL', '0YhSRQx5Cdp5')",last_name,phase_2,proportion,0.01874398749398750
"('CONTROL', '0YhSRQx5Cdp5')",occupation,phase_1,AD,0.96601420212242800
"('CONTROL', '0YhSRQx5Cdp5')",occupation,phase_1,diversity,0.11111111111111100
"('CONTROL', '0YhSRQx5Cdp5')",occupation,phase_1,proportion,0.11950787092446100
"('CONTROL', '0YhSRQx5Cdp5')",occupation,phase_2,AD,0.96601420212242800
"('CONTROL', '0YhSRQx5Cdp5')",occupation,phase_2,diversity,0.11111111111111100
"('CONTROL', '0YhSRQx5Cdp5')",occupation,phase_2,proportion,0.11950787092446100
"('CONTROL', '0YhSRQx5Cdp5')",party,phase_1,AD,0.55247908986953100
"('CONTROL', '0YhSRQx5Cdp5')",party,phase_1,diversity,0.2
"('CONTROL', '0YhSRQx5Cdp5')",party,phase_1,proportion,0.23076923076923100
"('CONTROL', '0YhSRQx5Cdp5')",party,phase_1,ratio,0.4
"('CONTROL', '0YhSRQx5Cdp5')",party,phase_2,AD,0.55247908986953100
"('CONTROL', '0YhSRQx5Cdp5')",party,phase_2,diversity,0.2
"('CONTROL', '0YhSRQx5Cdp5')",party,phase_2,proportion,0.23076923076923100
"('CONTROL', '0YhSRQx5Cdp5')",party,phase_2,ratio,0.4
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_ban_abortion_after_6_weeks,phase_1,AD,0.9999999868958270
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_ban_abortion_after_6_weeks,phase_1,diversity,0.17142857142857100
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_ban_abortion_after_6_weeks,phase_1,proportion,0.14011668179089500
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_ban_abortion_after_6_weeks,phase_2,AD,0.9999999868958270
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_ban_abortion_after_6_weeks,phase_2,diversity,0.17142857142857100
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_ban_abortion_after_6_weeks,phase_2,proportion,0.14011668179089500
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_ban_alcohol_sales_on_sundays,phase_1,AD,0.0
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_ban_alcohol_sales_on_sundays,phase_1,diversity,0.09047619047619050
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_ban_alcohol_sales_on_sundays,phase_1,proportion,0.10579420252067400
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_ban_alcohol_sales_on_sundays,phase_2,AD,0.0
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_ban_alcohol_sales_on_sundays,phase_2,diversity,0.09047619047619050
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_ban_alcohol_sales_on_sundays,phase_2,proportion,0.10579420252067400
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_budget_for_free_school_lunch_program,phase_1,AD,0.0
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_budget_for_free_school_lunch_program,phase_1,diversity,0.12380952380952400
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_budget_for_free_school_lunch_program,phase_1,proportion,0.0779454084190099
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_budget_for_free_school_lunch_program,phase_2,AD,0.0
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_budget_for_free_school_lunch_program,phase_2,diversity,0.12380952380952400
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_budget_for_free_school_lunch_program,phase_2,proportion,0.0779454084190099
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_budget_for_medicare_coverage,phase_1,AD,0.0
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_budget_for_medicare_coverage,phase_1,diversity,0.05714285714285710
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_budget_for_medicare_coverage,phase_1,proportion,0.08257408857648950
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_budget_for_medicare_coverage,phase_2,AD,0.0
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_budget_for_medicare_coverage,phase_2,diversity,0.05714285714285710
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_budget_for_medicare_coverage,phase_2,proportion,0.08257408857648950
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_budget_for_veterans_affairs,phase_1,AD,0.0
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_budget_for_veterans_affairs,phase_1,diversity,0.09047619047619050
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_budget_for_veterans_affairs,phase_1,proportion,0.07600005596698460
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_budget_for_veterans_affairs,phase_2,AD,0.0
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_budget_for_veterans_affairs,phase_2,diversity,0.09047619047619050
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_budget_for_veterans_affairs,phase_2,proportion,0.07600005596698460
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_gun_control_legislation,phase_1,AD,0.0
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_gun_control_legislation,phase_1,diversity,0.17142857142857100
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_gun_control_legislation,phase_1,proportion,0.11147355375659400
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_gun_control_legislation,phase_2,AD,0.0
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_gun_control_legislation,phase_2,diversity,0.17142857142857100
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_gun_control_legislation,phase_2,proportion,0.11147355375659400
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_legalize_medical_marijuana,phase_1,AD,0.0
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_legalize_medical_marijuana,phase_1,diversity,0.10952380952381000
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_legalize_medical_marijuana,phase_1,proportion,0.07244416139577630
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_legalize_medical_marijuana,phase_2,AD,0.0
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_legalize_medical_marijuana,phase_2,diversity,0.10952380952381000
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_legalize_medical_marijuana,phase_2,proportion,0.07244416139577630
"('CONTROL', '0YhSRQx5Cdp5')",political_experience,phase_1,AD,0.94248445339141700
"('CONTROL', '0YhSRQx5Cdp5')",political_experience,phase_1,diversity,0.3
"('CONTROL', '0YhSRQx5Cdp5')",political_experience,phase_1,proportion,0.3
"('CONTROL', '0YhSRQx5Cdp5')",political_experience,phase_2,AD,0.94248445339141700
"('CONTROL', '0YhSRQx5Cdp5')",political_experience,phase_2,diversity,0.3
"('CONTROL', '0YhSRQx5Cdp5')",political_experience,phase_2,proportion,0.3
"('CONTROL', '0YhSRQx5Cdp5')",religion,phase_1,AD,0.99136542520634300
"('CONTROL', '0YhSRQx5Cdp5')",religion,phase_1,diversity,0.22666666666666700
"('CONTROL', '0YhSRQx5Cdp5')",religion,phase_1,proportion,0.14206563719031700
"('CONTROL', '0YhSRQx5Cdp5')",religion,phase_2,AD,0.99136542520634300
"('CONTROL', '0YhSRQx5Cdp5')",religion,phase_2,diversity,0.22666666666666700
