	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 1, 11: 1, 9: 1, 8: 1, 12: 0, 13: 1, 4: 2, 0: 0, 2: 0, 16: 0, 15: 1, 14: 1}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 8, 'Female': 2}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 1, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 2, 64: 1, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 1, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 6, 'Opposed': 4}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 3, 'Scientist': 0, 'Doctor': 0, 'Educator': 0, 'Career Politician': 4, 'Business': 3}}	1583511520509	add_to_committee	2JGqWIJXzVqU	phase_1	p080	160.50800013542175
1	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 1, 11: 1, 9: 1, 8: 1, 12: 0, 13: 1, 4: 2, 0: 0, 2: 0, 16: 0, 15: 1, 14: 1}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 8, 'Female': 2}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 1, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 2, 64: 1, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 1, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 6, 'Opposed': 4}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 3, 'Scientist': 0, 'Doctor': 0, 'Educator': 0, 'Career Politician': 4, 'Business': 3}}	1583511523133	add_to_committee	2JGqWIJXzVqU	phase_1	p036	163.13199996948242
2	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 1, 11: 1, 9: 1, 8: 1, 12: 0, 13: 1, 4: 2, 0: 0, 2: 0, 16: 0, 15: 1, 14: 1}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 8, 'Female': 2}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 1, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 2, 64: 1, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 1, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 6, 'Opposed': 4}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 3, 'Scientist': 0, 'Doctor': 0, 'Educator': 0, 'Career Politician': 4, 'Business': 3}}	1583511533002	remove_from_committee	2JGqWIJXzVqU	phase_1	p036	173.00100016593933
3	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 1, 11: 1, 9: 1, 8: 1, 12: 0, 13: 1, 4: 2, 0: 0, 2: 0, 16: 0, 15: 1, 14: 1}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 8, 'Female': 2}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 1, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 2, 64: 1, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 1, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 6, 'Opposed': 4}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 3, 'Scientist': 0, 'Doctor': 0, 'Educator': 0, 'Career Politician': 4, 'Business': 3}}	1583511534397	remove_from_committee	2JGqWIJXzVqU	phase_1	p080	174.39600014686584
4	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 1, 11: 1, 9: 1, 8: 1, 12: 0, 13: 1, 4: 2, 0: 0, 2: 0, 16: 0, 15: 1, 14: 1}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 8, 'Female': 2}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 1, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 2, 64: 1, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 1, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 6, 'Opposed': 4}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 3, 'Scientist': 0, 'Doctor': 0, 'Educator': 0, 'Career Politician': 4, 'Business': 3}}	1583511536479	add_to_committee	2JGqWIJXzVqU	phase_1	p059	176.47800016403198
5	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 1, 11: 1, 9: 1, 8: 1, 12: 0, 13: 1, 4: 2, 0: 0, 2: 0, 16: 0, 15: 1, 14: 1}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 8, 'Female': 2}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 1, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 2, 64: 1, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 1, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 6, 'Opposed': 4}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 3, 'Scientist': 0, 'Doctor': 0, 'Educator': 0, 'Career Politician': 4, 'Business': 3}}	1583511551349	add_to_committee	2JGqWIJXzVqU	phase_1	p142	191.34800004959106
6	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 1, 11: 1, 9: 1, 8: 1, 12: 0, 13: 1, 4: 2, 0: 0, 2: 0, 16: 0, 15: 1, 14: 1}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 8, 'Female': 2}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 1, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 2, 64: 1, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 1, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 6, 'Opposed': 4}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 3, 'Scientist': 0, 'Doctor': 0, 'Educator': 0, 'Career Politician': 4, 'Business': 3}}	1583511569014	add_to_committee	2JGqWIJXzVqU	phase_1	p066	209.0130000114441
7	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 1, 11: 1, 9: 1, 8: 1, 12: 0, 13: 1, 4: 2, 0: 0, 2: 0, 16: 0, 15: 1, 14: 1}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 8, 'Female': 2}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 1, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 2, 64: 1, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 1, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 6, 'Opposed': 4}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 3, 'Scientist': 0, 'Doctor': 0, 'Educator': 0, 'Career Politician': 4, 'Business': 3}}	1583511581709	add_to_committee	2JGqWIJXzVqU	phase_1	p073	221.70800018310547
8	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 1, 11: 1, 9: 1, 8: 1, 12: 0, 13: 1, 4: 2, 0: 0, 2: 0, 16: 0, 15: 1, 14: 1}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 8, 'Female': 2}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 1, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 2, 64: 1, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 1, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 6, 'Opposed': 4}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 3, 'Scientist': 0, 'Doctor': 0, 'Educator': 0, 'Career Politician': 4, 'Business': 3}}	1583511608831	add_to_committee	2JGqWIJXzVqU	phase_1	p134	248.83000016212463
9	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 1, 11: 1, 9: 1, 8: 1, 12: 0, 13: 1, 4: 2, 0: 0, 2: 0, 16: 0, 15: 1, 14: 1}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 8, 'Female': 2}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 1, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 2, 64: 1, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 1, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 6, 'Opposed': 4}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 3, 'Scientist': 0, 'Doctor': 0, 'Educator': 0, 'Career Politician': 4, 'Business': 3}}	1583511634554	add_to_committee	2JGqWIJXzVqU	phase_1	p001	274.5529999732971
