	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 1, 7: 0, 1: 1, 10: 0, 6: 0, 11: 2, 9: 0, 8: 1, 12: 1, 13: 1, 4: 1, 0: 0, 2: 1, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 1, 43: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 1, 51: 1, 52: 0, 53: 0, 54: 2, 55: 0, 56: 0, 57: 1, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 1, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 1, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 2, 'Educator': 2, 'Career Politician': 4, 'Business': 0}}	1582742200599	add_to_committee	6oheLF74hlXc	phase_1	p142	108.26699995994568
1	{'political_experience': {3: 0, 5: 1, 7: 0, 1: 1, 10: 0, 6: 0, 11: 2, 9: 0, 8: 1, 12: 1, 13: 1, 4: 1, 0: 0, 2: 1, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 1, 43: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 1, 51: 1, 52: 0, 53: 0, 54: 2, 55: 0, 56: 0, 57: 1, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 1, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 1, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 2, 'Educator': 2, 'Career Politician': 4, 'Business': 0}}	1582742261409	add_to_committee	6oheLF74hlXc	phase_1	p106	169.07699990272522
2	{'political_experience': {3: 0, 5: 1, 7: 0, 1: 1, 10: 0, 6: 0, 11: 2, 9: 0, 8: 1, 12: 1, 13: 1, 4: 1, 0: 0, 2: 1, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 1, 43: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 1, 51: 1, 52: 0, 53: 0, 54: 2, 55: 0, 56: 0, 57: 1, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 1, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 1, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 2, 'Educator': 2, 'Career Politician': 4, 'Business': 0}}	1582742374160	add_to_committee	6oheLF74hlXc	phase_1	p023	281.82800006866455
3	{'political_experience': {3: 0, 5: 1, 7: 0, 1: 1, 10: 0, 6: 0, 11: 2, 9: 0, 8: 1, 12: 1, 13: 1, 4: 1, 0: 0, 2: 1, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 1, 43: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 1, 51: 1, 52: 0, 53: 0, 54: 2, 55: 0, 56: 0, 57: 1, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 1, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 1, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 2, 'Educator': 2, 'Career Politician': 4, 'Business': 0}}	1582742406266	add_to_committee	6oheLF74hlXc	phase_1	p094	313.9340000152588
4	{'political_experience': {3: 0, 5: 1, 7: 0, 1: 1, 10: 0, 6: 0, 11: 2, 9: 0, 8: 1, 12: 1, 13: 1, 4: 1, 0: 0, 2: 1, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 1, 43: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 1, 51: 1, 52: 0, 53: 0, 54: 2, 55: 0, 56: 0, 57: 1, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 1, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 1, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 2, 'Educator': 2, 'Career Politician': 4, 'Business': 0}}	1582742457924	add_to_committee	6oheLF74hlXc	phase_1	p116	365.5920000076294
5	{'political_experience': {3: 0, 5: 1, 7: 0, 1: 1, 10: 0, 6: 0, 11: 2, 9: 0, 8: 1, 12: 1, 13: 1, 4: 1, 0: 0, 2: 1, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 1, 43: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 1, 51: 1, 52: 0, 53: 0, 54: 2, 55: 0, 56: 0, 57: 1, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 1, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 1, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 2, 'Educator': 2, 'Career Politician': 4, 'Business': 0}}	1582742499175	add_to_committee	6oheLF74hlXc	phase_1	p089	406.84299993515015
6	{'political_experience': {3: 0, 5: 1, 7: 0, 1: 1, 10: 0, 6: 0, 11: 2, 9: 0, 8: 1, 12: 1, 13: 1, 4: 1, 0: 0, 2: 1, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 1, 43: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 1, 51: 1, 52: 0, 53: 0, 54: 2, 55: 0, 56: 0, 57: 1, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 1, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 1, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 2, 'Educator': 2, 'Career Politician': 4, 'Business': 0}}	1582742536738	add_to_committee	6oheLF74hlXc	phase_1	p065	444.4059998989105
7	{'political_experience': {3: 0, 5: 1, 7: 0, 1: 1, 10: 0, 6: 0, 11: 2, 9: 0, 8: 1, 12: 1, 13: 1, 4: 1, 0: 0, 2: 1, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 1, 43: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 1, 51: 1, 52: 0, 53: 0, 54: 2, 55: 0, 56: 0, 57: 1, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 1, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 1, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 2, 'Educator': 2, 'Career Politician': 4, 'Business': 0}}	1582742709449	remove_from_committee	6oheLF74hlXc	phase_1	p065	617.1169998645782
8	{'political_experience': {3: 0, 5: 1, 7: 0, 1: 1, 10: 0, 6: 0, 11: 2, 9: 0, 8: 1, 12: 1, 13: 1, 4: 1, 0: 0, 2: 1, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 1, 43: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 1, 51: 1, 52: 0, 53: 0, 54: 2, 55: 0, 56: 0, 57: 1, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 1, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 1, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 2, 'Educator': 2, 'Career Politician': 4, 'Business': 0}}	1582742734317	add_to_committee	6oheLF74hlXc	phase_1	p123	641.9849998950958
9	{'political_experience': {3: 0, 5: 1, 7: 0, 1: 1, 10: 0, 6: 0, 11: 2, 9: 0, 8: 1, 12: 1, 13: 1, 4: 1, 0: 0, 2: 1, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 1, 43: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 1, 51: 1, 52: 0, 53: 0, 54: 2, 55: 0, 56: 0, 57: 1, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 1, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 1, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 2, 'Educator': 2, 'Career Politician': 4, 'Business': 0}}	1582742757520	add_to_committee	6oheLF74hlXc	phase_1	p022	665.1879999637604
