	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 1, 11: 1, 9: 2, 8: 1, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 1, 48: 1, 49: 0, 51: 0, 52: 0, 53: 0, 54: 0, 55: 1, 56: 1, 57: 0, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 1, 'Neutral': 0, 'Opposed': 9}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 4, 'Scientist': 1, 'Doctor': 3, 'Educator': 0, 'Career Politician': 2, 'Business': 0}}	1583277337874	add_to_committee	8D64yb05oRDt	phase_1	p087	117.68300008773804
1	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 1, 11: 1, 9: 2, 8: 1, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 1, 48: 1, 49: 0, 51: 0, 52: 0, 53: 0, 54: 0, 55: 1, 56: 1, 57: 0, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 1, 'Neutral': 0, 'Opposed': 9}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 4, 'Scientist': 1, 'Doctor': 3, 'Educator': 0, 'Career Politician': 2, 'Business': 0}}	1583277348696	add_to_committee	8D64yb05oRDt	phase_1	p082	128.50500011444092
2	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 1, 11: 1, 9: 2, 8: 1, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 1, 48: 1, 49: 0, 51: 0, 52: 0, 53: 0, 54: 0, 55: 1, 56: 1, 57: 0, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 1, 'Neutral': 0, 'Opposed': 9}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 4, 'Scientist': 1, 'Doctor': 3, 'Educator': 0, 'Career Politician': 2, 'Business': 0}}	1583277366989	add_to_committee	8D64yb05oRDt	phase_1	p141	146.79800009727478
3	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 1, 11: 1, 9: 2, 8: 1, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 1, 48: 1, 49: 0, 51: 0, 52: 0, 53: 0, 54: 0, 55: 1, 56: 1, 57: 0, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 1, 'Neutral': 0, 'Opposed': 9}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 4, 'Scientist': 1, 'Doctor': 3, 'Educator': 0, 'Career Politician': 2, 'Business': 0}}	1583277405841	add_to_committee	8D64yb05oRDt	phase_1	p014	185.65000009536743
4	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 1, 11: 1, 9: 2, 8: 1, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 1, 48: 1, 49: 0, 51: 0, 52: 0, 53: 0, 54: 0, 55: 1, 56: 1, 57: 0, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 1, 'Neutral': 0, 'Opposed': 9}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 4, 'Scientist': 1, 'Doctor': 3, 'Educator': 0, 'Career Politician': 2, 'Business': 0}}	1583277419151	add_to_committee	8D64yb05oRDt	phase_1	p031	198.96000003814697
5	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 1, 11: 1, 9: 2, 8: 1, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 1, 48: 1, 49: 0, 51: 0, 52: 0, 53: 0, 54: 0, 55: 1, 56: 1, 57: 0, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 1, 'Neutral': 0, 'Opposed': 9}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 4, 'Scientist': 1, 'Doctor': 3, 'Educator': 0, 'Career Politician': 2, 'Business': 0}}	1583277468305	add_to_committee	8D64yb05oRDt	phase_1	p036	248.114000082016
6	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 1, 11: 1, 9: 2, 8: 1, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 1, 48: 1, 49: 0, 51: 0, 52: 0, 53: 0, 54: 0, 55: 1, 56: 1, 57: 0, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 1, 'Neutral': 0, 'Opposed': 9}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 4, 'Scientist': 1, 'Doctor': 3, 'Educator': 0, 'Career Politician': 2, 'Business': 0}}	1583277541111	add_to_committee	8D64yb05oRDt	phase_1	p043	320.92000007629395
7	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 1, 11: 1, 9: 2, 8: 1, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 1, 48: 1, 49: 0, 51: 0, 52: 0, 53: 0, 54: 0, 55: 1, 56: 1, 57: 0, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 1, 'Neutral': 0, 'Opposed': 9}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 4, 'Scientist': 1, 'Doctor': 3, 'Educator': 0, 'Career Politician': 2, 'Business': 0}}	1583277622757	add_to_committee	8D64yb05oRDt	phase_1	p013	402.5659999847412
8	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 1, 11: 1, 9: 2, 8: 1, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 1, 48: 1, 49: 0, 51: 0, 52: 0, 53: 0, 54: 0, 55: 1, 56: 1, 57: 0, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 1, 'Neutral': 0, 'Opposed': 9}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 4, 'Scientist': 1, 'Doctor': 3, 'Educator': 0, 'Career Politician': 2, 'Business': 0}}	1583277709931	add_to_committee	8D64yb05oRDt	phase_1	p004	489.74000000953674
9	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 1, 11: 1, 9: 2, 8: 1, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 1, 48: 1, 49: 0, 51: 0, 52: 0, 53: 0, 54: 0, 55: 1, 56: 1, 57: 0, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 1, 'Neutral': 0, 'Opposed': 9}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 4, 'Scientist': 1, 'Doctor': 3, 'Educator': 0, 'Career Politician': 2, 'Business': 0}}	1583277739225	add_to_committee	8D64yb05oRDt	phase_1	p095	519.0339999198914
