	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 1, 6: 0, 11: 0, 9: 1, 8: 1, 12: 1, 13: 1, 4: 1, 0: 0, 2: 0, 16: 2, 15: 0, 14: 0}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 3, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 2, 51: 1, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 2, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 2, 'Educator': 0, 'Career Politician': 2, 'Business': 2}}	1582748814966	add_to_committee	CnOeEROhOZaX	phase_1	p019	569.1900000572205
1	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 1, 6: 0, 11: 0, 9: 1, 8: 1, 12: 1, 13: 1, 4: 1, 0: 0, 2: 0, 16: 2, 15: 0, 14: 0}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 3, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 2, 51: 1, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 2, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 2, 'Educator': 0, 'Career Politician': 2, 'Business': 2}}	1582748835949	add_to_committee	CnOeEROhOZaX	phase_1	p020	590.1729998588562
2	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 1, 6: 0, 11: 0, 9: 1, 8: 1, 12: 1, 13: 1, 4: 1, 0: 0, 2: 0, 16: 2, 15: 0, 14: 0}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 3, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 2, 51: 1, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 2, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 2, 'Educator': 0, 'Career Politician': 2, 'Business': 2}}	1582748851194	add_to_committee	CnOeEROhOZaX	phase_1	p024	605.4179999828339
3	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 1, 6: 0, 11: 0, 9: 1, 8: 1, 12: 1, 13: 1, 4: 1, 0: 0, 2: 0, 16: 2, 15: 0, 14: 0}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 3, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 2, 51: 1, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 2, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 2, 'Educator': 0, 'Career Politician': 2, 'Business': 2}}	1582748860414	add_to_committee	CnOeEROhOZaX	phase_1	p080	614.6380000114441
4	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 1, 6: 0, 11: 0, 9: 1, 8: 1, 12: 1, 13: 1, 4: 1, 0: 0, 2: 0, 16: 2, 15: 0, 14: 0}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 3, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 2, 51: 1, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 2, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 2, 'Educator': 0, 'Career Politician': 2, 'Business': 2}}	1582748883591	add_to_committee	CnOeEROhOZaX	phase_1	p142	637.8150000572205
5	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 1, 6: 0, 11: 0, 9: 1, 8: 1, 12: 1, 13: 1, 4: 1, 0: 0, 2: 0, 16: 2, 15: 0, 14: 0}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 3, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 2, 51: 1, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 2, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 2, 'Educator': 0, 'Career Politician': 2, 'Business': 2}}	1582748940078	remove_from_committee	CnOeEROhOZaX	phase_1	p019	694.3020000457764
6	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 1, 6: 0, 11: 0, 9: 1, 8: 1, 12: 1, 13: 1, 4: 1, 0: 0, 2: 0, 16: 2, 15: 0, 14: 0}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 3, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 2, 51: 1, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 2, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 2, 'Educator': 0, 'Career Politician': 2, 'Business': 2}}	1582748940486	remove_from_committee	CnOeEROhOZaX	phase_1	p020	694.710000038147
7	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 1, 6: 0, 11: 0, 9: 1, 8: 1, 12: 1, 13: 1, 4: 1, 0: 0, 2: 0, 16: 2, 15: 0, 14: 0}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 3, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 2, 51: 1, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 2, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 2, 'Educator': 0, 'Career Politician': 2, 'Business': 2}}	1582748940879	remove_from_committee	CnOeEROhOZaX	phase_1	p024	695.1029999256134
8	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 1, 6: 0, 11: 0, 9: 1, 8: 1, 12: 1, 13: 1, 4: 1, 0: 0, 2: 0, 16: 2, 15: 0, 14: 0}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 3, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 2, 51: 1, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 2, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 2, 'Educator': 0, 'Career Politician': 2, 'Business': 2}}	1582748941241	remove_from_committee	CnOeEROhOZaX	phase_1	p080	695.4649999141693
9	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 1, 6: 0, 11: 0, 9: 1, 8: 1, 12: 1, 13: 1, 4: 1, 0: 0, 2: 0, 16: 2, 15: 0, 14: 0}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 3, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 2, 51: 1, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 2, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 2, 'Educator': 0, 'Career Politician': 2, 'Business': 2}}	1582748941535	remove_from_committee	CnOeEROhOZaX	phase_1	p142	695.7590000629425
