	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 0, 11: 1, 9: 1, 8: 1, 12: 0, 13: 1, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 1, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 1, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 1, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 10, 'Opposed': 0}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 5, 'Scientist': 0, 'Doctor': 0, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583771061619	add_to_committee	ICIog47oVtN8	phase_1	p137	15.293999910354614
1	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 0, 11: 1, 9: 1, 8: 1, 12: 0, 13: 1, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 1, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 1, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 1, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 10, 'Opposed': 0}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 5, 'Scientist': 0, 'Doctor': 0, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583771213157	add_to_committee	ICIog47oVtN8	phase_1	p100	166.83200001716614
2	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 0, 11: 1, 9: 1, 8: 1, 12: 0, 13: 1, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 1, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 1, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 1, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 10, 'Opposed': 0}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 5, 'Scientist': 0, 'Doctor': 0, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583771217586	remove_from_committee	ICIog47oVtN8	phase_1	p137	171.260999917984
3	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 0, 11: 1, 9: 1, 8: 1, 12: 0, 13: 1, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 1, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 1, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 1, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 10, 'Opposed': 0}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 5, 'Scientist': 0, 'Doctor': 0, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583771220347	add_to_committee	ICIog47oVtN8	phase_1	p106	174.02199983596802
4	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 0, 11: 1, 9: 1, 8: 1, 12: 0, 13: 1, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 1, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 1, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 1, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 10, 'Opposed': 0}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 5, 'Scientist': 0, 'Doctor': 0, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583771221652	add_to_committee	ICIog47oVtN8	phase_1	p066	175.32699990272522
5	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 0, 11: 1, 9: 1, 8: 1, 12: 0, 13: 1, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 1, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 1, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 1, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 10, 'Opposed': 0}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 5, 'Scientist': 0, 'Doctor': 0, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583771222611	add_to_committee	ICIog47oVtN8	phase_1	p075	176.28600001335144
6	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 0, 11: 1, 9: 1, 8: 1, 12: 0, 13: 1, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 1, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 1, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 1, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 10, 'Opposed': 0}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 5, 'Scientist': 0, 'Doctor': 0, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583771224237	add_to_committee	ICIog47oVtN8	phase_1	p073	177.9119999408722
7	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 0, 11: 1, 9: 1, 8: 1, 12: 0, 13: 1, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 1, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 1, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 1, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 10, 'Opposed': 0}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 5, 'Scientist': 0, 'Doctor': 0, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583771227826	add_to_committee	ICIog47oVtN8	phase_1	p111	181.50099992752075
8	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 0, 11: 1, 9: 1, 8: 1, 12: 0, 13: 1, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 1, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 1, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 1, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 10, 'Opposed': 0}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 5, 'Scientist': 0, 'Doctor': 0, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583771228801	add_to_committee	ICIog47oVtN8	phase_1	p080	182.4760000705719
9	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 0, 11: 1, 9: 1, 8: 1, 12: 0, 13: 1, 4: 1, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 1, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 1, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 1, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 10, 'Opposed': 0}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 5, 'Scientist': 0, 'Doctor': 0, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583771229775	add_to_committee	ICIog47oVtN8	phase_1	p094	183.45000004768372
