	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 1, 7: 1, 1: 0, 10: 0, 6: 1, 11: 1, 9: 1, 8: 1, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 2, 15: 0, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 0, 51: 0, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 1, 67: 0, 68: 1, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 5, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 1, 'Business': 2}}	1583854260270	add_to_committee	XqYJiar2m2Vh	phase_1	p082	41.33800005912781
1	{'political_experience': {3: 0, 5: 1, 7: 1, 1: 0, 10: 0, 6: 1, 11: 1, 9: 1, 8: 1, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 2, 15: 0, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 0, 51: 0, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 1, 67: 0, 68: 1, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 5, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 1, 'Business': 2}}	1583854266452	add_to_committee	XqYJiar2m2Vh	phase_1	p087	47.519999980926514
2	{'political_experience': {3: 0, 5: 1, 7: 1, 1: 0, 10: 0, 6: 1, 11: 1, 9: 1, 8: 1, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 2, 15: 0, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 0, 51: 0, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 1, 67: 0, 68: 1, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 5, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 1, 'Business': 2}}	1583854279918	add_to_committee	XqYJiar2m2Vh	phase_1	p051	60.986000061035156
3	{'political_experience': {3: 0, 5: 1, 7: 1, 1: 0, 10: 0, 6: 1, 11: 1, 9: 1, 8: 1, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 2, 15: 0, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 0, 51: 0, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 1, 67: 0, 68: 1, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 5, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 1, 'Business': 2}}	1583854345911	add_to_committee	XqYJiar2m2Vh	phase_1	p141	126.97900009155273
4	{'political_experience': {3: 0, 5: 1, 7: 1, 1: 0, 10: 0, 6: 1, 11: 1, 9: 1, 8: 1, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 2, 15: 0, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 0, 51: 0, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 1, 67: 0, 68: 1, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 5, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 1, 'Business': 2}}	1583854373732	add_to_committee	XqYJiar2m2Vh	phase_1	p123	154.80000019073486
5	{'political_experience': {3: 0, 5: 1, 7: 1, 1: 0, 10: 0, 6: 1, 11: 1, 9: 1, 8: 1, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 2, 15: 0, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 0, 51: 0, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 1, 67: 0, 68: 1, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 5, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 1, 'Business': 2}}	1583854382587	remove_from_committee	XqYJiar2m2Vh	phase_1	p082	163.65499997138977
6	{'political_experience': {3: 0, 5: 1, 7: 1, 1: 0, 10: 0, 6: 1, 11: 1, 9: 1, 8: 1, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 2, 15: 0, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 0, 51: 0, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 1, 67: 0, 68: 1, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 5, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 1, 'Business': 2}}	1583854391368	remove_from_committee	XqYJiar2m2Vh	phase_1	p087	172.43600010871887
7	{'political_experience': {3: 0, 5: 1, 7: 1, 1: 0, 10: 0, 6: 1, 11: 1, 9: 1, 8: 1, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 2, 15: 0, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 0, 51: 0, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 1, 67: 0, 68: 1, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 5, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 1, 'Business': 2}}	1583854397938	remove_from_committee	XqYJiar2m2Vh	phase_1	p051	179.00600004196167
8	{'political_experience': {3: 0, 5: 1, 7: 1, 1: 0, 10: 0, 6: 1, 11: 1, 9: 1, 8: 1, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 2, 15: 0, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 0, 51: 0, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 1, 67: 0, 68: 1, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 5, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 1, 'Business': 2}}	1583854399020	add_to_committee	XqYJiar2m2Vh	phase_1	p082	180.0880000591278
9	{'political_experience': {3: 0, 5: 1, 7: 1, 1: 0, 10: 0, 6: 1, 11: 1, 9: 1, 8: 1, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 2, 15: 0, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 0, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 0, 51: 0, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 1, 67: 0, 68: 1, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 1, 'Democrat': 9}, 'occupation': {'Lawyer': 5, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 1, 'Business': 2}}	1583854411572	remove_from_committee	XqYJiar2m2Vh	phase_1	p082	192.64000010490417
