	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 0, 7: 0, 1: 0, 10: 1, 6: 0, 11: 2, 9: 2, 8: 1, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 1, 15: 0, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 1, 48: 0, 49: 1, 51: 0, 52: 0, 53: 1, 54: 1, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 1, 34: 2, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 2, 'Neutral': 4, 'Opposed': 4}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 3, 'Business': 2}}	1583861312642	add_to_committee	YBSfFKUphtYM	phase_1	p073	169.8329999446869
1	{'political_experience': {3: 0, 5: 0, 7: 0, 1: 0, 10: 1, 6: 0, 11: 2, 9: 2, 8: 1, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 1, 15: 0, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 1, 48: 0, 49: 1, 51: 0, 52: 0, 53: 1, 54: 1, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 1, 34: 2, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 2, 'Neutral': 4, 'Opposed': 4}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 3, 'Business': 2}}	1583861340730	add_to_committee	YBSfFKUphtYM	phase_1	p106	197.9210000038147
2	{'political_experience': {3: 0, 5: 0, 7: 0, 1: 0, 10: 1, 6: 0, 11: 2, 9: 2, 8: 1, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 1, 15: 0, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 1, 48: 0, 49: 1, 51: 0, 52: 0, 53: 1, 54: 1, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 1, 34: 2, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 2, 'Neutral': 4, 'Opposed': 4}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 3, 'Business': 2}}	1583861369426	add_to_committee	YBSfFKUphtYM	phase_1	p134	226.61700010299683
3	{'political_experience': {3: 0, 5: 0, 7: 0, 1: 0, 10: 1, 6: 0, 11: 2, 9: 2, 8: 1, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 1, 15: 0, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 1, 48: 0, 49: 1, 51: 0, 52: 0, 53: 1, 54: 1, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 1, 34: 2, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 2, 'Neutral': 4, 'Opposed': 4}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 3, 'Business': 2}}	1583861441436	add_to_committee	YBSfFKUphtYM	phase_1	p024	298.6270000934601
4	{'political_experience': {3: 0, 5: 0, 7: 0, 1: 0, 10: 1, 6: 0, 11: 2, 9: 2, 8: 1, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 1, 15: 0, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 1, 48: 0, 49: 1, 51: 0, 52: 0, 53: 1, 54: 1, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 1, 34: 2, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 2, 'Neutral': 4, 'Opposed': 4}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 3, 'Business': 2}}	1583861494877	add_to_committee	YBSfFKUphtYM	phase_1	p142	352.0680000782013
5	{'political_experience': {3: 0, 5: 0, 7: 0, 1: 0, 10: 1, 6: 0, 11: 2, 9: 2, 8: 1, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 1, 15: 0, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 1, 48: 0, 49: 1, 51: 0, 52: 0, 53: 1, 54: 1, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 1, 34: 2, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 2, 'Neutral': 4, 'Opposed': 4}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 3, 'Business': 2}}	1583861511587	add_to_committee	YBSfFKUphtYM	phase_1	p136	368.7779998779297
6	{'political_experience': {3: 0, 5: 0, 7: 0, 1: 0, 10: 1, 6: 0, 11: 2, 9: 2, 8: 1, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 1, 15: 0, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 1, 48: 0, 49: 1, 51: 0, 52: 0, 53: 1, 54: 1, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 1, 34: 2, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 2, 'Neutral': 4, 'Opposed': 4}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 3, 'Business': 2}}	1583861556052	add_to_committee	YBSfFKUphtYM	phase_1	p082	413.2430000305176
7	{'political_experience': {3: 0, 5: 0, 7: 0, 1: 0, 10: 1, 6: 0, 11: 2, 9: 2, 8: 1, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 1, 15: 0, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 1, 48: 0, 49: 1, 51: 0, 52: 0, 53: 1, 54: 1, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 1, 34: 2, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 2, 'Neutral': 4, 'Opposed': 4}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 3, 'Business': 2}}	1583861600892	add_to_committee	YBSfFKUphtYM	phase_1	p087	458.0829999446869
8	{'political_experience': {3: 0, 5: 0, 7: 0, 1: 0, 10: 1, 6: 0, 11: 2, 9: 2, 8: 1, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 1, 15: 0, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 1, 48: 0, 49: 1, 51: 0, 52: 0, 53: 1, 54: 1, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 1, 34: 2, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 2, 'Neutral': 4, 'Opposed': 4}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 3, 'Business': 2}}	1583861603860	add_to_committee	YBSfFKUphtYM	phase_1	p018	461.05099987983704
9	{'political_experience': {3: 0, 5: 0, 7: 0, 1: 0, 10: 1, 6: 0, 11: 2, 9: 2, 8: 1, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 1, 15: 0, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 1, 48: 0, 49: 1, 51: 0, 52: 0, 53: 1, 54: 1, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 1, 34: 2, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 2, 'Neutral': 4, 'Opposed': 4}, 'party': {'Republican': 3, 'Democrat': 7}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 3, 'Business': 2}}	1583861620036	add_to_committee	YBSfFKUphtYM	phase_1	p048	477.22699999809265
