	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 2, 7: 1, 1: 0, 10: 1, 6: 0, 11: 1, 9: 0, 8: 1, 12: 2, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 1}, 'religion': {'Christian': 4, 'Unaffiliated': 0, 'Jewish': 3, 'Hindu': 2, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 0, 56: 0, 57: 0, 58: 1, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 1, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 2, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 4, 'Scientist': 0, 'Doctor': 2, 'Educator': 0, 'Career Politician': 3, 'Business': 1}}	1584477834216	add_to_committee	YazCemZZbIdK	phase_1	p142	90.47699999809265
1	{'political_experience': {3: 0, 5: 2, 7: 1, 1: 0, 10: 1, 6: 0, 11: 1, 9: 0, 8: 1, 12: 2, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 1}, 'religion': {'Christian': 4, 'Unaffiliated': 0, 'Jewish': 3, 'Hindu': 2, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 0, 56: 0, 57: 0, 58: 1, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 1, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 2, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 4, 'Scientist': 0, 'Doctor': 2, 'Educator': 0, 'Career Politician': 3, 'Business': 1}}	1584478030383	add_to_committee	YazCemZZbIdK	phase_1	p127	286.6439998149872
2	{'political_experience': {3: 0, 5: 2, 7: 1, 1: 0, 10: 1, 6: 0, 11: 1, 9: 0, 8: 1, 12: 2, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 1}, 'religion': {'Christian': 4, 'Unaffiliated': 0, 'Jewish': 3, 'Hindu': 2, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 0, 56: 0, 57: 0, 58: 1, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 1, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 2, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 4, 'Scientist': 0, 'Doctor': 2, 'Educator': 0, 'Career Politician': 3, 'Business': 1}}	1584478036616	add_to_committee	YazCemZZbIdK	phase_1	p017	292.8769998550415
3	{'political_experience': {3: 0, 5: 2, 7: 1, 1: 0, 10: 1, 6: 0, 11: 1, 9: 0, 8: 1, 12: 2, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 1}, 'religion': {'Christian': 4, 'Unaffiliated': 0, 'Jewish': 3, 'Hindu': 2, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 0, 56: 0, 57: 0, 58: 1, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 1, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 2, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 4, 'Scientist': 0, 'Doctor': 2, 'Educator': 0, 'Career Politician': 3, 'Business': 1}}	1584478043920	remove_from_committee	YazCemZZbIdK	phase_1	p017	300.18099999427795
4	{'political_experience': {3: 0, 5: 2, 7: 1, 1: 0, 10: 1, 6: 0, 11: 1, 9: 0, 8: 1, 12: 2, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 1}, 'religion': {'Christian': 4, 'Unaffiliated': 0, 'Jewish': 3, 'Hindu': 2, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 0, 56: 0, 57: 0, 58: 1, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 1, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 2, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 4, 'Scientist': 0, 'Doctor': 2, 'Educator': 0, 'Career Politician': 3, 'Business': 1}}	1584478073710	add_to_committee	YazCemZZbIdK	phase_1	p043	329.970999956131
5	{'political_experience': {3: 0, 5: 2, 7: 1, 1: 0, 10: 1, 6: 0, 11: 1, 9: 0, 8: 1, 12: 2, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 1}, 'religion': {'Christian': 4, 'Unaffiliated': 0, 'Jewish': 3, 'Hindu': 2, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 0, 56: 0, 57: 0, 58: 1, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 1, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 2, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 4, 'Scientist': 0, 'Doctor': 2, 'Educator': 0, 'Career Politician': 3, 'Business': 1}}	1584478093728	add_to_committee	YazCemZZbIdK	phase_1	p077	349.9889998435974
6	{'political_experience': {3: 0, 5: 2, 7: 1, 1: 0, 10: 1, 6: 0, 11: 1, 9: 0, 8: 1, 12: 2, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 1}, 'religion': {'Christian': 4, 'Unaffiliated': 0, 'Jewish': 3, 'Hindu': 2, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 0, 56: 0, 57: 0, 58: 1, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 1, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 2, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 4, 'Scientist': 0, 'Doctor': 2, 'Educator': 0, 'Career Politician': 3, 'Business': 1}}	1584478174819	add_to_committee	YazCemZZbIdK	phase_1	p074	431.07999992370605
7	{'political_experience': {3: 0, 5: 2, 7: 1, 1: 0, 10: 1, 6: 0, 11: 1, 9: 0, 8: 1, 12: 2, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 1}, 'religion': {'Christian': 4, 'Unaffiliated': 0, 'Jewish': 3, 'Hindu': 2, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 0, 56: 0, 57: 0, 58: 1, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 1, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 2, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 4, 'Scientist': 0, 'Doctor': 2, 'Educator': 0, 'Career Politician': 3, 'Business': 1}}	1584478207373	add_to_committee	YazCemZZbIdK	phase_1	p094	463.6339998245239
8	{'political_experience': {3: 0, 5: 2, 7: 1, 1: 0, 10: 1, 6: 0, 11: 1, 9: 0, 8: 1, 12: 2, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 1}, 'religion': {'Christian': 4, 'Unaffiliated': 0, 'Jewish': 3, 'Hindu': 2, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 0, 56: 0, 57: 0, 58: 1, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 1, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 2, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 4, 'Scientist': 0, 'Doctor': 2, 'Educator': 0, 'Career Politician': 3, 'Business': 1}}	1584478219792	add_to_committee	YazCemZZbIdK	phase_1	p044	476.0529999732971
9	{'political_experience': {3: 0, 5: 2, 7: 1, 1: 0, 10: 1, 6: 0, 11: 1, 9: 0, 8: 1, 12: 2, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 1}, 'religion': {'Christian': 4, 'Unaffiliated': 0, 'Jewish': 3, 'Hindu': 2, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 0, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 0, 56: 0, 57: 0, 58: 1, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 1, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 2, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 4, 'Scientist': 0, 'Doctor': 2, 'Educator': 0, 'Career Politician': 3, 'Business': 1}}	1584478280968	add_to_committee	YazCemZZbIdK	phase_1	p120	537.2289998531342
