	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 0, 11: 2, 9: 1, 8: 0, 12: 2, 13: 0, 4: 0, 0: 0, 2: 0, 16: 2, 15: 1, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 51: 2, 52: 1, 53: 1, 54: 1, 55: 1, 56: 0, 57: 0, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 1, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 0, 'Democrat': 10}, 'occupation': {'Lawyer': 4, 'Scientist': 1, 'Doctor': 0, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1584320162232	add_to_committee	hoMzF8Cf1Y5j	phase_1	p071	111.56200003623962
1	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 0, 11: 2, 9: 1, 8: 0, 12: 2, 13: 0, 4: 0, 0: 0, 2: 0, 16: 2, 15: 1, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 51: 2, 52: 1, 53: 1, 54: 1, 55: 1, 56: 0, 57: 0, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 1, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 0, 'Democrat': 10}, 'occupation': {'Lawyer': 4, 'Scientist': 1, 'Doctor': 0, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1584320181467	add_to_committee	hoMzF8Cf1Y5j	phase_1	p082	130.79699993133545
2	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 0, 11: 2, 9: 1, 8: 0, 12: 2, 13: 0, 4: 0, 0: 0, 2: 0, 16: 2, 15: 1, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 51: 2, 52: 1, 53: 1, 54: 1, 55: 1, 56: 0, 57: 0, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 1, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 0, 'Democrat': 10}, 'occupation': {'Lawyer': 4, 'Scientist': 1, 'Doctor': 0, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1584320195632	add_to_committee	hoMzF8Cf1Y5j	phase_1	p043	144.96199989318848
3	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 0, 11: 2, 9: 1, 8: 0, 12: 2, 13: 0, 4: 0, 0: 0, 2: 0, 16: 2, 15: 1, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 51: 2, 52: 1, 53: 1, 54: 1, 55: 1, 56: 0, 57: 0, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 1, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 0, 'Democrat': 10}, 'occupation': {'Lawyer': 4, 'Scientist': 1, 'Doctor': 0, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1584320216027	add_to_committee	hoMzF8Cf1Y5j	phase_1	p093	165.356999874115
4	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 0, 11: 2, 9: 1, 8: 0, 12: 2, 13: 0, 4: 0, 0: 0, 2: 0, 16: 2, 15: 1, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 51: 2, 52: 1, 53: 1, 54: 1, 55: 1, 56: 0, 57: 0, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 1, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 0, 'Democrat': 10}, 'occupation': {'Lawyer': 4, 'Scientist': 1, 'Doctor': 0, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1584320280254	add_to_committee	hoMzF8Cf1Y5j	phase_1	p051	229.58399987220764
5	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 0, 11: 2, 9: 1, 8: 0, 12: 2, 13: 0, 4: 0, 0: 0, 2: 0, 16: 2, 15: 1, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 51: 2, 52: 1, 53: 1, 54: 1, 55: 1, 56: 0, 57: 0, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 1, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 0, 'Democrat': 10}, 'occupation': {'Lawyer': 4, 'Scientist': 1, 'Doctor': 0, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1584320285174	add_to_committee	hoMzF8Cf1Y5j	phase_1	p135	234.5039999485016
6	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 0, 11: 2, 9: 1, 8: 0, 12: 2, 13: 0, 4: 0, 0: 0, 2: 0, 16: 2, 15: 1, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 51: 2, 52: 1, 53: 1, 54: 1, 55: 1, 56: 0, 57: 0, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 1, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 0, 'Democrat': 10}, 'occupation': {'Lawyer': 4, 'Scientist': 1, 'Doctor': 0, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1584320288900	add_to_committee	hoMzF8Cf1Y5j	phase_1	p116	238.2300000190735
7	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 0, 11: 2, 9: 1, 8: 0, 12: 2, 13: 0, 4: 0, 0: 0, 2: 0, 16: 2, 15: 1, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 51: 2, 52: 1, 53: 1, 54: 1, 55: 1, 56: 0, 57: 0, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 1, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 0, 'Democrat': 10}, 'occupation': {'Lawyer': 4, 'Scientist': 1, 'Doctor': 0, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1584320309404	add_to_committee	hoMzF8Cf1Y5j	phase_1	p087	258.7339999675751
8	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 0, 11: 2, 9: 1, 8: 0, 12: 2, 13: 0, 4: 0, 0: 0, 2: 0, 16: 2, 15: 1, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 51: 2, 52: 1, 53: 1, 54: 1, 55: 1, 56: 0, 57: 0, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 1, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 0, 'Democrat': 10}, 'occupation': {'Lawyer': 4, 'Scientist': 1, 'Doctor': 0, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1584320316948	add_to_committee	hoMzF8Cf1Y5j	phase_1	p018	266.2779998779297
9	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 0, 11: 2, 9: 1, 8: 0, 12: 2, 13: 0, 4: 0, 0: 0, 2: 0, 16: 2, 15: 1, 14: 1}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 51: 2, 52: 1, 53: 1, 54: 1, 55: 1, 56: 0, 57: 0, 58: 1, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 1, 34: 1, 38: 1, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 0, 'Democrat': 10}, 'occupation': {'Lawyer': 4, 'Scientist': 1, 'Doctor': 0, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1584320341154	add_to_committee	hoMzF8Cf1Y5j	phase_1	p003	290.4839999675751
