	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 0, 6: 1, 11: 0, 9: 0, 8: 1, 12: 2, 13: 0, 4: 2, 0: 1, 2: 0, 16: 0, 15: 0, 14: 1}, 'religion': {'Christian': 3, 'Unaffiliated': 1, 'Jewish': 3, 'Hindu': 1, 'Mormon': 1, 'Muslim': 1}, 'gender': {'Male': 0, 'Female': 10}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 1, 56: 0, 57: 1, 58: 1, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 2, 'Educator': 2, 'Career Politician': 3, 'Business': 1}}	1584318133205	add_to_committee	lPpxNz1aVtYh	phase_1	p043	97.73499989509583
1	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 0, 6: 1, 11: 0, 9: 0, 8: 1, 12: 2, 13: 0, 4: 2, 0: 1, 2: 0, 16: 0, 15: 0, 14: 1}, 'religion': {'Christian': 3, 'Unaffiliated': 1, 'Jewish': 3, 'Hindu': 1, 'Mormon': 1, 'Muslim': 1}, 'gender': {'Male': 0, 'Female': 10}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 1, 56: 0, 57: 1, 58: 1, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 2, 'Educator': 2, 'Career Politician': 3, 'Business': 1}}	1584318145037	add_to_committee	lPpxNz1aVtYh	phase_1	p003	109.56699991226196
2	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 0, 6: 1, 11: 0, 9: 0, 8: 1, 12: 2, 13: 0, 4: 2, 0: 1, 2: 0, 16: 0, 15: 0, 14: 1}, 'religion': {'Christian': 3, 'Unaffiliated': 1, 'Jewish': 3, 'Hindu': 1, 'Mormon': 1, 'Muslim': 1}, 'gender': {'Male': 0, 'Female': 10}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 1, 56: 0, 57: 1, 58: 1, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 2, 'Educator': 2, 'Career Politician': 3, 'Business': 1}}	1584318148813	add_to_committee	lPpxNz1aVtYh	phase_1	p123	113.34299993515015
3	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 0, 6: 1, 11: 0, 9: 0, 8: 1, 12: 2, 13: 0, 4: 2, 0: 1, 2: 0, 16: 0, 15: 0, 14: 1}, 'religion': {'Christian': 3, 'Unaffiliated': 1, 'Jewish': 3, 'Hindu': 1, 'Mormon': 1, 'Muslim': 1}, 'gender': {'Male': 0, 'Female': 10}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 1, 56: 0, 57: 1, 58: 1, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 2, 'Educator': 2, 'Career Politician': 3, 'Business': 1}}	1584318150713	add_to_committee	lPpxNz1aVtYh	phase_1	p073	115.24300003051758
4	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 0, 6: 1, 11: 0, 9: 0, 8: 1, 12: 2, 13: 0, 4: 2, 0: 1, 2: 0, 16: 0, 15: 0, 14: 1}, 'religion': {'Christian': 3, 'Unaffiliated': 1, 'Jewish': 3, 'Hindu': 1, 'Mormon': 1, 'Muslim': 1}, 'gender': {'Male': 0, 'Female': 10}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 1, 56: 0, 57: 1, 58: 1, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 2, 'Educator': 2, 'Career Politician': 3, 'Business': 1}}	1584318163091	add_to_committee	lPpxNz1aVtYh	phase_1	p106	127.62100005149841
5	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 0, 6: 1, 11: 0, 9: 0, 8: 1, 12: 2, 13: 0, 4: 2, 0: 1, 2: 0, 16: 0, 15: 0, 14: 1}, 'religion': {'Christian': 3, 'Unaffiliated': 1, 'Jewish': 3, 'Hindu': 1, 'Mormon': 1, 'Muslim': 1}, 'gender': {'Male': 0, 'Female': 10}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 1, 56: 0, 57: 1, 58: 1, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 2, 'Educator': 2, 'Career Politician': 3, 'Business': 1}}	1584318176436	add_to_committee	lPpxNz1aVtYh	phase_1	p120	140.96600008010864
6	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 0, 6: 1, 11: 0, 9: 0, 8: 1, 12: 2, 13: 0, 4: 2, 0: 1, 2: 0, 16: 0, 15: 0, 14: 1}, 'religion': {'Christian': 3, 'Unaffiliated': 1, 'Jewish': 3, 'Hindu': 1, 'Mormon': 1, 'Muslim': 1}, 'gender': {'Male': 0, 'Female': 10}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 1, 56: 0, 57: 1, 58: 1, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 2, 'Educator': 2, 'Career Politician': 3, 'Business': 1}}	1584318177209	add_to_committee	lPpxNz1aVtYh	phase_1	p079	141.739000082016
7	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 0, 6: 1, 11: 0, 9: 0, 8: 1, 12: 2, 13: 0, 4: 2, 0: 1, 2: 0, 16: 0, 15: 0, 14: 1}, 'religion': {'Christian': 3, 'Unaffiliated': 1, 'Jewish': 3, 'Hindu': 1, 'Mormon': 1, 'Muslim': 1}, 'gender': {'Male': 0, 'Female': 10}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 1, 56: 0, 57: 1, 58: 1, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 2, 'Educator': 2, 'Career Politician': 3, 'Business': 1}}	1584318178859	add_to_committee	lPpxNz1aVtYh	phase_1	p021	143.38899993896484
8	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 0, 6: 1, 11: 0, 9: 0, 8: 1, 12: 2, 13: 0, 4: 2, 0: 1, 2: 0, 16: 0, 15: 0, 14: 1}, 'religion': {'Christian': 3, 'Unaffiliated': 1, 'Jewish': 3, 'Hindu': 1, 'Mormon': 1, 'Muslim': 1}, 'gender': {'Male': 0, 'Female': 10}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 1, 56: 0, 57: 1, 58: 1, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 2, 'Educator': 2, 'Career Politician': 3, 'Business': 1}}	1584318186023	add_to_committee	lPpxNz1aVtYh	phase_1	p141	150.55299997329712
9	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 0, 6: 1, 11: 0, 9: 0, 8: 1, 12: 2, 13: 0, 4: 2, 0: 1, 2: 0, 16: 0, 15: 0, 14: 1}, 'religion': {'Christian': 3, 'Unaffiliated': 1, 'Jewish': 3, 'Hindu': 1, 'Mormon': 1, 'Muslim': 1}, 'gender': {'Male': 0, 'Female': 10}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 1, 56: 0, 57: 1, 58: 1, 59: 1, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 2, 'Opposed': 4}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 2, 'Educator': 2, 'Career Politician': 3, 'Business': 1}}	1584318188390	add_to_committee	lPpxNz1aVtYh	phase_1	p066	152.92000007629395
