	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 1, 7: 2, 1: 0, 10: 0, 6: 1, 11: 1, 9: 3, 8: 0, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 1, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 0, 51: 0, 52: 0, 53: 1, 54: 0, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 1, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 0, 'Opposed': 6}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 1, 'Scientist': 2, 'Doctor': 2, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583533618066	add_to_committee	ml0S3iEwySQR	phase_1	p131	303.5629999637604
1	{'political_experience': {3: 0, 5: 1, 7: 2, 1: 0, 10: 0, 6: 1, 11: 1, 9: 3, 8: 0, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 1, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 0, 51: 0, 52: 0, 53: 1, 54: 0, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 1, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 0, 'Opposed': 6}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 1, 'Scientist': 2, 'Doctor': 2, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583533640492	add_to_committee	ml0S3iEwySQR	phase_1	p051	325.989000082016
2	{'political_experience': {3: 0, 5: 1, 7: 2, 1: 0, 10: 0, 6: 1, 11: 1, 9: 3, 8: 0, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 1, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 0, 51: 0, 52: 0, 53: 1, 54: 0, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 1, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 0, 'Opposed': 6}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 1, 'Scientist': 2, 'Doctor': 2, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583533642024	remove_from_committee	ml0S3iEwySQR	phase_1	p131	327.52099990844727
3	{'political_experience': {3: 0, 5: 1, 7: 2, 1: 0, 10: 0, 6: 1, 11: 1, 9: 3, 8: 0, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 1, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 0, 51: 0, 52: 0, 53: 1, 54: 0, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 1, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 0, 'Opposed': 6}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 1, 'Scientist': 2, 'Doctor': 2, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583533736260	add_to_committee	ml0S3iEwySQR	phase_1	p142	421.7569999694824
4	{'political_experience': {3: 0, 5: 1, 7: 2, 1: 0, 10: 0, 6: 1, 11: 1, 9: 3, 8: 0, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 1, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 0, 51: 0, 52: 0, 53: 1, 54: 0, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 1, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 0, 'Opposed': 6}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 1, 'Scientist': 2, 'Doctor': 2, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583533832669	add_to_committee	ml0S3iEwySQR	phase_1	p074	518.1659998893738
5	{'political_experience': {3: 0, 5: 1, 7: 2, 1: 0, 10: 0, 6: 1, 11: 1, 9: 3, 8: 0, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 1, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 0, 51: 0, 52: 0, 53: 1, 54: 0, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 1, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 0, 'Opposed': 6}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 1, 'Scientist': 2, 'Doctor': 2, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583533974932	add_to_committee	ml0S3iEwySQR	phase_1	p082	660.4289999008179
6	{'political_experience': {3: 0, 5: 1, 7: 2, 1: 0, 10: 0, 6: 1, 11: 1, 9: 3, 8: 0, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 1, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 0, 51: 0, 52: 0, 53: 1, 54: 0, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 1, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 0, 'Opposed': 6}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 1, 'Scientist': 2, 'Doctor': 2, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583534023170	add_to_committee	ml0S3iEwySQR	phase_1	p037	708.6670000553131
7	{'political_experience': {3: 0, 5: 1, 7: 2, 1: 0, 10: 0, 6: 1, 11: 1, 9: 3, 8: 0, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 1, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 0, 51: 0, 52: 0, 53: 1, 54: 0, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 1, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 0, 'Opposed': 6}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 1, 'Scientist': 2, 'Doctor': 2, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583534150451	add_to_committee	ml0S3iEwySQR	phase_1	p012	835.9479999542236
8	{'political_experience': {3: 0, 5: 1, 7: 2, 1: 0, 10: 0, 6: 1, 11: 1, 9: 3, 8: 0, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 1, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 0, 51: 0, 52: 0, 53: 1, 54: 0, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 1, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 0, 'Opposed': 6}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 1, 'Scientist': 2, 'Doctor': 2, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583534179703	add_to_committee	ml0S3iEwySQR	phase_1	p120	865.2000000476837
9	{'political_experience': {3: 0, 5: 1, 7: 2, 1: 0, 10: 0, 6: 1, 11: 1, 9: 3, 8: 0, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 1, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 0, 51: 0, 52: 0, 53: 1, 54: 0, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 1, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 1, 38: 1, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 0, 'Opposed': 6}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 1, 'Scientist': 2, 'Doctor': 2, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583534200031	add_to_committee	ml0S3iEwySQR	phase_1	p027	885.5279998779297
