	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 0, 6: 1, 11: 1, 9: 0, 8: 1, 12: 0, 13: 2, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 2, 51: 3, 52: 1, 53: 1, 54: 2, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 3, 'Neutral': 3, 'Opposed': 4}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 1, 'Scientist': 2, 'Doctor': 0, 'Educator': 2, 'Career Politician': 2, 'Business': 3}}	1582744943436	add_to_committee	qFIltQnZAor7	phase_1	p066	257.4020001888275
1	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 0, 6: 1, 11: 1, 9: 0, 8: 1, 12: 0, 13: 2, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 2, 51: 3, 52: 1, 53: 1, 54: 2, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 3, 'Neutral': 3, 'Opposed': 4}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 1, 'Scientist': 2, 'Doctor': 0, 'Educator': 2, 'Career Politician': 2, 'Business': 3}}	1582744959613	add_to_committee	qFIltQnZAor7	phase_1	p106	273.5789999961853
2	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 0, 6: 1, 11: 1, 9: 0, 8: 1, 12: 0, 13: 2, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 2, 51: 3, 52: 1, 53: 1, 54: 2, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 3, 'Neutral': 3, 'Opposed': 4}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 1, 'Scientist': 2, 'Doctor': 0, 'Educator': 2, 'Career Politician': 2, 'Business': 3}}	1582744967363	add_to_committee	qFIltQnZAor7	phase_1	p116	281.3289999961853
3	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 0, 6: 1, 11: 1, 9: 0, 8: 1, 12: 0, 13: 2, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 2, 51: 3, 52: 1, 53: 1, 54: 2, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 3, 'Neutral': 3, 'Opposed': 4}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 1, 'Scientist': 2, 'Doctor': 0, 'Educator': 2, 'Career Politician': 2, 'Business': 3}}	1582744997638	add_to_committee	qFIltQnZAor7	phase_1	p051	311.60400009155273
4	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 0, 6: 1, 11: 1, 9: 0, 8: 1, 12: 0, 13: 2, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 2, 51: 3, 52: 1, 53: 1, 54: 2, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 3, 'Neutral': 3, 'Opposed': 4}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 1, 'Scientist': 2, 'Doctor': 0, 'Educator': 2, 'Career Politician': 2, 'Business': 3}}	1582745014051	add_to_committee	qFIltQnZAor7	phase_1	p093	328.01700019836426
5	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 0, 6: 1, 11: 1, 9: 0, 8: 1, 12: 0, 13: 2, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 2, 51: 3, 52: 1, 53: 1, 54: 2, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 3, 'Neutral': 3, 'Opposed': 4}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 1, 'Scientist': 2, 'Doctor': 0, 'Educator': 2, 'Career Politician': 2, 'Business': 3}}	1582745034222	add_to_committee	qFIltQnZAor7	phase_1	p117	348.1879999637604
6	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 0, 6: 1, 11: 1, 9: 0, 8: 1, 12: 0, 13: 2, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 2, 51: 3, 52: 1, 53: 1, 54: 2, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 3, 'Neutral': 3, 'Opposed': 4}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 1, 'Scientist': 2, 'Doctor': 0, 'Educator': 2, 'Career Politician': 2, 'Business': 3}}	1582745037475	add_to_committee	qFIltQnZAor7	phase_1	p059	351.4409999847412
7	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 0, 6: 1, 11: 1, 9: 0, 8: 1, 12: 0, 13: 2, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 2, 51: 3, 52: 1, 53: 1, 54: 2, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 3, 'Neutral': 3, 'Opposed': 4}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 1, 'Scientist': 2, 'Doctor': 0, 'Educator': 2, 'Career Politician': 2, 'Business': 3}}	1582745040699	add_to_committee	qFIltQnZAor7	phase_1	p024	354.664999961853
8	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 0, 6: 1, 11: 1, 9: 0, 8: 1, 12: 0, 13: 2, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 2, 51: 3, 52: 1, 53: 1, 54: 2, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 3, 'Neutral': 3, 'Opposed': 4}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 1, 'Scientist': 2, 'Doctor': 0, 'Educator': 2, 'Career Politician': 2, 'Business': 3}}	1582745057962	add_to_committee	qFIltQnZAor7	phase_1	p071	371.9279999732971
9	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 0, 6: 1, 11: 1, 9: 0, 8: 1, 12: 0, 13: 2, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 8, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 2, 51: 3, 52: 1, 53: 1, 54: 2, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 3, 'Neutral': 3, 'Opposed': 4}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 1, 'Scientist': 2, 'Doctor': 0, 'Educator': 2, 'Career Politician': 2, 'Business': 3}}	1582745060871	add_to_committee	qFIltQnZAor7	phase_1	p030	374.83700013160706
