	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 0, 6: 2, 11: 0, 9: 3, 8: 0, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 9, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 0, 51: 1, 52: 0, 53: 0, 54: 0, 55: 1, 56: 0, 57: 0, 58: 2, 59: 0, 61: 0, 62: 0, 64: 2, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 1, 'Opposed': 5}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 1, 'Doctor': 2, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1584393040477	add_to_committee	r9cpBWj7l0iV	phase_1	p060	201.04099988937378
1	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 0, 6: 2, 11: 0, 9: 3, 8: 0, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 9, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 0, 51: 1, 52: 0, 53: 0, 54: 0, 55: 1, 56: 0, 57: 0, 58: 2, 59: 0, 61: 0, 62: 0, 64: 2, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 1, 'Opposed': 5}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 1, 'Doctor': 2, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1584393043073	add_to_committee	r9cpBWj7l0iV	phase_1	p013	203.63699984550476
2	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 0, 6: 2, 11: 0, 9: 3, 8: 0, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 9, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 0, 51: 1, 52: 0, 53: 0, 54: 0, 55: 1, 56: 0, 57: 0, 58: 2, 59: 0, 61: 0, 62: 0, 64: 2, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 1, 'Opposed': 5}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 1, 'Doctor': 2, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1584393196011	add_to_committee	r9cpBWj7l0iV	phase_1	p139	356.57499980926514
3	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 0, 6: 2, 11: 0, 9: 3, 8: 0, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 9, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 0, 51: 1, 52: 0, 53: 0, 54: 0, 55: 1, 56: 0, 57: 0, 58: 2, 59: 0, 61: 0, 62: 0, 64: 2, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 1, 'Opposed': 5}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 1, 'Doctor': 2, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1584393286461	add_to_committee	r9cpBWj7l0iV	phase_1	p024	447.02499985694885
4	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 0, 6: 2, 11: 0, 9: 3, 8: 0, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 9, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 0, 51: 1, 52: 0, 53: 0, 54: 0, 55: 1, 56: 0, 57: 0, 58: 2, 59: 0, 61: 0, 62: 0, 64: 2, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 1, 'Opposed': 5}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 1, 'Doctor': 2, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1584393298317	remove_from_committee	r9cpBWj7l0iV	phase_1	p024	458.8809998035431
5	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 0, 6: 2, 11: 0, 9: 3, 8: 0, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 9, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 0, 51: 1, 52: 0, 53: 0, 54: 0, 55: 1, 56: 0, 57: 0, 58: 2, 59: 0, 61: 0, 62: 0, 64: 2, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 1, 'Opposed': 5}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 1, 'Doctor': 2, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1584393357952	add_to_committee	r9cpBWj7l0iV	phase_1	p027	518.5159997940063
6	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 0, 6: 2, 11: 0, 9: 3, 8: 0, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 9, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 0, 51: 1, 52: 0, 53: 0, 54: 0, 55: 1, 56: 0, 57: 0, 58: 2, 59: 0, 61: 0, 62: 0, 64: 2, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 1, 'Opposed': 5}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 1, 'Doctor': 2, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1584393369630	add_to_committee	r9cpBWj7l0iV	phase_1	p095	530.194000005722
7	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 0, 6: 2, 11: 0, 9: 3, 8: 0, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 9, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 0, 51: 1, 52: 0, 53: 0, 54: 0, 55: 1, 56: 0, 57: 0, 58: 2, 59: 0, 61: 0, 62: 0, 64: 2, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 1, 'Opposed': 5}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 1, 'Doctor': 2, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1584393387732	add_to_committee	r9cpBWj7l0iV	phase_1	p116	548.2960000038147
8	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 0, 6: 2, 11: 0, 9: 3, 8: 0, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 9, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 0, 51: 1, 52: 0, 53: 0, 54: 0, 55: 1, 56: 0, 57: 0, 58: 2, 59: 0, 61: 0, 62: 0, 64: 2, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 1, 'Opposed': 5}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 1, 'Doctor': 2, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1584393399212	add_to_committee	r9cpBWj7l0iV	phase_1	p107	559.7759997844696
9	{'political_experience': {3: 0, 5: 0, 7: 2, 1: 0, 10: 0, 6: 2, 11: 0, 9: 3, 8: 0, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 1, 14: 0}, 'religion': {'Christian': 9, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 0, 51: 1, 52: 0, 53: 0, 54: 0, 55: 1, 56: 0, 57: 0, 58: 2, 59: 0, 61: 0, 62: 0, 64: 2, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 1, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 1, 'Opposed': 5}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 1, 'Doctor': 2, 'Educator': 2, 'Career Politician': 1, 'Business': 2}}	1584393408699	add_to_committee	r9cpBWj7l0iV	phase_1	p140	569.2629997730255
