	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 1, 11: 2, 9: 1, 8: 1, 12: 2, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 1, 51: 1, 52: 1, 53: 1, 54: 1, 55: 0, 56: 0, 57: 0, 58: 1, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 1, 'Opposed': 5}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 2, 'Scientist': 2, 'Doctor': 3, 'Educator': 2, 'Career Politician': 1, 'Business': 0}}	1584058927173	add_to_committee	t4bcBwMLxPc6	phase_1	p032	420.5050001144409
1	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 1, 11: 2, 9: 1, 8: 1, 12: 2, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 1, 51: 1, 52: 1, 53: 1, 54: 1, 55: 0, 56: 0, 57: 0, 58: 1, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 1, 'Opposed': 5}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 2, 'Scientist': 2, 'Doctor': 3, 'Educator': 2, 'Career Politician': 1, 'Business': 0}}	1584058929301	add_to_committee	t4bcBwMLxPc6	phase_1	p036	422.63300013542175
2	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 1, 11: 2, 9: 1, 8: 1, 12: 2, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 1, 51: 1, 52: 1, 53: 1, 54: 1, 55: 0, 56: 0, 57: 0, 58: 1, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 1, 'Opposed': 5}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 2, 'Scientist': 2, 'Doctor': 3, 'Educator': 2, 'Career Politician': 1, 'Business': 0}}	1584058931373	remove_from_committee	t4bcBwMLxPc6	phase_1	p036	424.70499992370605
3	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 1, 11: 2, 9: 1, 8: 1, 12: 2, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 1, 51: 1, 52: 1, 53: 1, 54: 1, 55: 0, 56: 0, 57: 0, 58: 1, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 1, 'Opposed': 5}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 2, 'Scientist': 2, 'Doctor': 3, 'Educator': 2, 'Career Politician': 1, 'Business': 0}}	1584058931891	remove_from_committee	t4bcBwMLxPc6	phase_1	p032	425.22300004959106
4	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 1, 11: 2, 9: 1, 8: 1, 12: 2, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 1, 51: 1, 52: 1, 53: 1, 54: 1, 55: 0, 56: 0, 57: 0, 58: 1, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 1, 'Opposed': 5}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 2, 'Scientist': 2, 'Doctor': 3, 'Educator': 2, 'Career Politician': 1, 'Business': 0}}	1584059021973	add_to_committee	t4bcBwMLxPc6	phase_1	p124	515.3050000667572
5	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 1, 11: 2, 9: 1, 8: 1, 12: 2, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 1, 51: 1, 52: 1, 53: 1, 54: 1, 55: 0, 56: 0, 57: 0, 58: 1, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 1, 'Opposed': 5}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 2, 'Scientist': 2, 'Doctor': 3, 'Educator': 2, 'Career Politician': 1, 'Business': 0}}	1584059023121	remove_from_committee	t4bcBwMLxPc6	phase_1	p124	516.4530000686646
6	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 1, 11: 2, 9: 1, 8: 1, 12: 2, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 1, 51: 1, 52: 1, 53: 1, 54: 1, 55: 0, 56: 0, 57: 0, 58: 1, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 1, 'Opposed': 5}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 2, 'Scientist': 2, 'Doctor': 3, 'Educator': 2, 'Career Politician': 1, 'Business': 0}}	1584059098335	add_to_committee	t4bcBwMLxPc6	phase_1	p142	591.6670000553131
7	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 1, 11: 2, 9: 1, 8: 1, 12: 2, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 1, 51: 1, 52: 1, 53: 1, 54: 1, 55: 0, 56: 0, 57: 0, 58: 1, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 1, 'Opposed': 5}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 2, 'Scientist': 2, 'Doctor': 3, 'Educator': 2, 'Career Politician': 1, 'Business': 0}}	1584059104657	add_to_committee	t4bcBwMLxPc6	phase_1	p004	597.989000082016
8	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 1, 11: 2, 9: 1, 8: 1, 12: 2, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 1, 51: 1, 52: 1, 53: 1, 54: 1, 55: 0, 56: 0, 57: 0, 58: 1, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 1, 'Opposed': 5}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 2, 'Scientist': 2, 'Doctor': 3, 'Educator': 2, 'Career Politician': 1, 'Business': 0}}	1584059114621	add_to_committee	t4bcBwMLxPc6	phase_1	p013	607.9530000686646
9	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 1, 11: 2, 9: 1, 8: 1, 12: 2, 13: 0, 4: 0, 0: 0, 2: 0, 16: 1, 15: 1, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 4, 'Female': 6}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 1, 51: 1, 52: 1, 53: 1, 54: 1, 55: 0, 56: 0, 57: 0, 58: 1, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 4, 'Neutral': 1, 'Opposed': 5}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 2, 'Scientist': 2, 'Doctor': 3, 'Educator': 2, 'Career Politician': 1, 'Business': 0}}	1584059124823	remove_from_committee	t4bcBwMLxPc6	phase_1	p004	618.1549999713898
