	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 1, 7: 2, 1: 0, 10: 1, 6: 0, 11: 2, 9: 2, 8: 0, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 7, 'Female': 3}, 'age': {33: 0, 37: 1, 39: 1, 40: 0, 43: 0, 45: 2, 46: 0, 47: 1, 48: 1, 49: 0, 51: 0, 52: 0, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 1, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 8, 'Neutral': 2, 'Opposed': 0}, 'party': {'Republican': 8, 'Democrat': 2}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 1, 'Career Politician': 2, 'Business': 2}}	1582827127722	add_to_committee	xrOuOynQhVbO	phase_1	p094	220.14599990844727
1	{'political_experience': {3: 0, 5: 1, 7: 2, 1: 0, 10: 1, 6: 0, 11: 2, 9: 2, 8: 0, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 7, 'Female': 3}, 'age': {33: 0, 37: 1, 39: 1, 40: 0, 43: 0, 45: 2, 46: 0, 47: 1, 48: 1, 49: 0, 51: 0, 52: 0, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 1, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 8, 'Neutral': 2, 'Opposed': 0}, 'party': {'Republican': 8, 'Democrat': 2}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 1, 'Career Politician': 2, 'Business': 2}}	1582827135673	add_to_committee	xrOuOynQhVbO	phase_1	p074	228.0970001220703
2	{'political_experience': {3: 0, 5: 1, 7: 2, 1: 0, 10: 1, 6: 0, 11: 2, 9: 2, 8: 0, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 7, 'Female': 3}, 'age': {33: 0, 37: 1, 39: 1, 40: 0, 43: 0, 45: 2, 46: 0, 47: 1, 48: 1, 49: 0, 51: 0, 52: 0, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 1, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 8, 'Neutral': 2, 'Opposed': 0}, 'party': {'Republican': 8, 'Democrat': 2}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 1, 'Career Politician': 2, 'Business': 2}}	1582827151894	add_to_committee	xrOuOynQhVbO	phase_1	p013	244.3180000782013
3	{'political_experience': {3: 0, 5: 1, 7: 2, 1: 0, 10: 1, 6: 0, 11: 2, 9: 2, 8: 0, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 7, 'Female': 3}, 'age': {33: 0, 37: 1, 39: 1, 40: 0, 43: 0, 45: 2, 46: 0, 47: 1, 48: 1, 49: 0, 51: 0, 52: 0, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 1, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 8, 'Neutral': 2, 'Opposed': 0}, 'party': {'Republican': 8, 'Democrat': 2}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 1, 'Career Politician': 2, 'Business': 2}}	1582827161288	add_to_committee	xrOuOynQhVbO	phase_1	p007	253.71200013160706
4	{'political_experience': {3: 0, 5: 1, 7: 2, 1: 0, 10: 1, 6: 0, 11: 2, 9: 2, 8: 0, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 7, 'Female': 3}, 'age': {33: 0, 37: 1, 39: 1, 40: 0, 43: 0, 45: 2, 46: 0, 47: 1, 48: 1, 49: 0, 51: 0, 52: 0, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 1, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 8, 'Neutral': 2, 'Opposed': 0}, 'party': {'Republican': 8, 'Democrat': 2}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 1, 'Career Politician': 2, 'Business': 2}}	1582827182133	add_to_committee	xrOuOynQhVbO	phase_1	p135	274.5569999217987
5	{'political_experience': {3: 0, 5: 1, 7: 2, 1: 0, 10: 1, 6: 0, 11: 2, 9: 2, 8: 0, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 7, 'Female': 3}, 'age': {33: 0, 37: 1, 39: 1, 40: 0, 43: 0, 45: 2, 46: 0, 47: 1, 48: 1, 49: 0, 51: 0, 52: 0, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 1, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 8, 'Neutral': 2, 'Opposed': 0}, 'party': {'Republican': 8, 'Democrat': 2}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 1, 'Career Politician': 2, 'Business': 2}}	1582827185743	remove_from_committee	xrOuOynQhVbO	phase_1	p135	278.1670000553131
6	{'political_experience': {3: 0, 5: 1, 7: 2, 1: 0, 10: 1, 6: 0, 11: 2, 9: 2, 8: 0, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 7, 'Female': 3}, 'age': {33: 0, 37: 1, 39: 1, 40: 0, 43: 0, 45: 2, 46: 0, 47: 1, 48: 1, 49: 0, 51: 0, 52: 0, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 1, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 8, 'Neutral': 2, 'Opposed': 0}, 'party': {'Republican': 8, 'Democrat': 2}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 1, 'Career Politician': 2, 'Business': 2}}	1582827187660	add_to_committee	xrOuOynQhVbO	phase_1	p073	280.0840001106262
7	{'political_experience': {3: 0, 5: 1, 7: 2, 1: 0, 10: 1, 6: 0, 11: 2, 9: 2, 8: 0, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 7, 'Female': 3}, 'age': {33: 0, 37: 1, 39: 1, 40: 0, 43: 0, 45: 2, 46: 0, 47: 1, 48: 1, 49: 0, 51: 0, 52: 0, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 1, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 8, 'Neutral': 2, 'Opposed': 0}, 'party': {'Republican': 8, 'Democrat': 2}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 1, 'Career Politician': 2, 'Business': 2}}	1582827190065	add_to_committee	xrOuOynQhVbO	phase_1	p065	282.489000082016
8	{'political_experience': {3: 0, 5: 1, 7: 2, 1: 0, 10: 1, 6: 0, 11: 2, 9: 2, 8: 0, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 7, 'Female': 3}, 'age': {33: 0, 37: 1, 39: 1, 40: 0, 43: 0, 45: 2, 46: 0, 47: 1, 48: 1, 49: 0, 51: 0, 52: 0, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 1, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 8, 'Neutral': 2, 'Opposed': 0}, 'party': {'Republican': 8, 'Democrat': 2}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 1, 'Career Politician': 2, 'Business': 2}}	1582827200175	add_to_committee	xrOuOynQhVbO	phase_1	p103	292.5989999771118
9	{'political_experience': {3: 0, 5: 1, 7: 2, 1: 0, 10: 1, 6: 0, 11: 2, 9: 2, 8: 0, 12: 1, 13: 1, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 6, 'Unaffiliated': 1, 'Jewish': 1, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 7, 'Female': 3}, 'age': {33: 0, 37: 1, 39: 1, 40: 0, 43: 0, 45: 2, 46: 0, 47: 1, 48: 1, 49: 0, 51: 0, 52: 0, 53: 0, 54: 1, 55: 0, 56: 0, 57: 1, 58: 0, 59: 1, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 0, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 8, 'Neutral': 2, 'Opposed': 0}, 'party': {'Republican': 8, 'Democrat': 2}, 'occupation': {'Lawyer': 3, 'Scientist': 1, 'Doctor': 1, 'Educator': 1, 'Career Politician': 2, 'Business': 2}}	1582827218531	add_to_committee	xrOuOynQhVbO	phase_1	p055	310.95499992370605
