	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	1	1583511520509	add_to_committee	2JGqWIJXzVqU	phase_1	p080	160.50800013542175
1	2	1583511523133	add_to_committee	2JGqWIJXzVqU	phase_1	p036	163.13199996948242
2	1	1583511533002	remove_from_committee	2JGqWIJXzVqU	phase_1	p036	173.00100016593933
3	0	1583511534397	remove_from_committee	2JGqWIJXzVqU	phase_1	p080	174.39600014686584
4	1	1583511536479	add_to_committee	2JGqWIJXzVqU	phase_1	p059	176.47800016403198
5	2	1583511551349	add_to_committee	2JGqWIJXzVqU	phase_1	p142	191.34800004959106
6	3	1583511569014	add_to_committee	2JGqWIJXzVqU	phase_1	p066	209.0130000114441
7	4	1583511581709	add_to_committee	2JGqWIJXzVqU	phase_1	p073	221.70800018310547
8	5	1583511608831	add_to_committee	2JGqWIJXzVqU	phase_1	p134	248.83000016212463
9	6	1583511634554	add_to_committee	2JGqWIJXzVqU	phase_1	p001	274.5529999732971
10	7	1583511650486	add_to_committee	2JGqWIJXzVqU	phase_1	p036	290.4850001335144
11	8	1583511663761	add_to_committee	2JGqWIJXzVqU	phase_1	p080	303.75999999046326
12	9	1583511728636	add_to_committee	2JGqWIJXzVqU	phase_1	p094	368.63499999046326
13	10	1583511770806	add_to_committee	2JGqWIJXzVqU	phase_1	p104	410.8050000667572
14	9	1583511907507	remove_from_committee	2JGqWIJXzVqU	phase_1	p036	547.5060000419617
15	8	1583511908501	remove_from_committee	2JGqWIJXzVqU	phase_1	p104	548.5
16	9	1583511911740	add_to_committee	2JGqWIJXzVqU	phase_1	p123	551.739000082016
17	10	1583511913175	add_to_committee	2JGqWIJXzVqU	phase_1	p037	553.1740000247955
18	9	1583511929519	remove_from_committee	2JGqWIJXzVqU	phase_1	p066	569.518000125885
19	10	1583511942567	add_to_committee	2JGqWIJXzVqU	phase_1	p045	582.5659999847412
20	9	1583511962289	remove_from_committee	2JGqWIJXzVqU	phase_1	p073	602.2880001068115
21	10	1583511974269	add_to_committee	2JGqWIJXzVqU	phase_1	p106	614.268000125885
22	9	1583512005619	remove_from_committee	2JGqWIJXzVqU	phase_1	p142	645.6180000305176
23	8	1583512006719	remove_from_committee	2JGqWIJXzVqU	phase_1	p059	646.7180001735687
24	9	1583512012961	add_to_committee	2JGqWIJXzVqU	phase_1	p020	652.960000038147
25	10	1583512014383	add_to_committee	2JGqWIJXzVqU	phase_1	p104	654.3819999694824
