	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	1	1583345710477	add_to_committee	Ms0iLF9ONsEk	phase_1	p025	159.55200004577637
1	0	1583345719976	remove_from_committee	Ms0iLF9ONsEk	phase_1	p025	169.05100011825562
2	1	1583345748297	add_to_committee	Ms0iLF9ONsEk	phase_1	p043	197.37199997901917
3	2	1583345763461	add_to_committee	Ms0iLF9ONsEk	phase_1	p094	212.53600001335144
4	3	1583345768158	add_to_committee	Ms0iLF9ONsEk	phase_1	p105	217.23300004005432
5	2	1583345775048	remove_from_committee	Ms0iLF9ONsEk	phase_1	p105	224.1230001449585
6	1	1583345794531	remove_from_committee	Ms0iLF9ONsEk	phase_1	p094	243.60599994659424
7	2	1583345806530	add_to_committee	Ms0iLF9ONsEk	phase_1	p035	255.6050000190735
8	3	1583345833744	add_to_committee	Ms0iLF9ONsEk	phase_1	p060	282.81900000572205
9	2	1583345837603	remove_from_committee	Ms0iLF9ONsEk	phase_1	p060	286.6779999732971
10	3	1583345896918	add_to_committee	Ms0iLF9ONsEk	phase_1	p111	345.9930000305176
11	4	1583345954060	add_to_committee	Ms0iLF9ONsEk	phase_1	p116	403.13499999046326
12	5	1583345955695	add_to_committee	Ms0iLF9ONsEk	phase_1	p093	404.7699999809265
13	4	1583345956450	remove_from_committee	Ms0iLF9ONsEk	phase_1	p093	405.52500009536743
14	3	1583345957439	remove_from_committee	Ms0iLF9ONsEk	phase_1	p116	406.51399993896484
15	4	1583345998856	add_to_committee	Ms0iLF9ONsEk	phase_1	p123	447.93099999427795
16	5	1583346049317	add_to_committee	Ms0iLF9ONsEk	phase_1	p120	498.3919999599457
17	6	1583346121762	add_to_committee	Ms0iLF9ONsEk	phase_1	p082	570.837000131607
18	7	1583346178990	add_to_committee	Ms0iLF9ONsEk	phase_1	p066	628.0650000572205
19	8	1583346236748	add_to_committee	Ms0iLF9ONsEk	phase_1	p059	685.8229999542236
20	9	1583346268868	add_to_committee	Ms0iLF9ONsEk	phase_1	p093	717.9430000782013
21	10	1583346279018	add_to_committee	Ms0iLF9ONsEk	phase_1	p073	728.0929999351501
22	9	1583346306545	remove_from_committee	Ms0iLF9ONsEk	phase_1	p073	755.6200001239777
23	10	1583346314755	add_to_committee	Ms0iLF9ONsEk	phase_1	p116	763.8300001621246
