	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	1	1583854260270	add_to_committee	XqYJiar2m2Vh	phase_1	p082	41.33800005912781
1	2	1583854266452	add_to_committee	XqYJiar2m2Vh	phase_1	p087	47.519999980926514
2	3	1583854279918	add_to_committee	XqYJiar2m2Vh	phase_1	p051	60.986000061035156
3	4	1583854345911	add_to_committee	XqYJiar2m2Vh	phase_1	p141	126.97900009155273
4	5	1583854373732	add_to_committee	XqYJiar2m2Vh	phase_1	p123	154.80000019073486
5	4	1583854382587	remove_from_committee	XqYJiar2m2Vh	phase_1	p082	163.65499997138977
6	3	1583854391368	remove_from_committee	XqYJiar2m2Vh	phase_1	p087	172.43600010871887
7	2	1583854397938	remove_from_committee	XqYJiar2m2Vh	phase_1	p051	179.00600004196167
8	3	1583854399020	add_to_committee	XqYJiar2m2Vh	phase_1	p082	180.0880000591278
9	2	1583854411572	remove_from_committee	XqYJiar2m2Vh	phase_1	p082	192.64000010490417
10	1	1583854416445	remove_from_committee	XqYJiar2m2Vh	phase_1	p123	197.5130000114441
11	2	1583854420788	add_to_committee	XqYJiar2m2Vh	phase_1	p051	201.85600018501282
12	3	1583854422912	add_to_committee	XqYJiar2m2Vh	phase_1	p004	203.9800000190735
13	4	1583854445751	add_to_committee	XqYJiar2m2Vh	phase_1	p082	226.81900000572205
14	3	1583854473484	remove_from_committee	XqYJiar2m2Vh	phase_1	p051	254.55200004577637
15	4	1583854522082	add_to_committee	XqYJiar2m2Vh	phase_1	p051	303.15000009536743
16	5	1583854526785	add_to_committee	XqYJiar2m2Vh	phase_1	p087	307.853000164032
17	6	1583854529075	add_to_committee	XqYJiar2m2Vh	phase_1	p123	310.143000125885
18	7	1583854532907	add_to_committee	XqYJiar2m2Vh	phase_1	p055	313.97500014305115
19	8	1583854533801	add_to_committee	XqYJiar2m2Vh	phase_1	p135	314.8690001964569
20	9	1583854535685	add_to_committee	XqYJiar2m2Vh	phase_1	p069	316.75300002098083
21	10	1583854536893	add_to_committee	XqYJiar2m2Vh	phase_1	p077	317.9609999656677
