	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	1	1584474675666	add_to_committee	ZY1tfYLxtiya	phase_1	p082	114.5789999961853
1	2	1584474691134	add_to_committee	ZY1tfYLxtiya	phase_1	p141	130.04700016975403
2	3	1584474797579	add_to_committee	ZY1tfYLxtiya	phase_1	p013	236.49200010299683
3	4	1584474804882	add_to_committee	ZY1tfYLxtiya	phase_1	p106	243.79500007629395
4	5	1584474824685	add_to_committee	ZY1tfYLxtiya	phase_1	p066	263.59800004959106
5	6	1584474898229	add_to_committee	ZY1tfYLxtiya	phase_1	p036	337.14200019836426
6	7	1584474904030	add_to_committee	ZY1tfYLxtiya	phase_1	p014	342.9430000782013
7	8	1584474917660	add_to_committee	ZY1tfYLxtiya	phase_1	p071	356.5730001926422
8	9	1584474928813	add_to_committee	ZY1tfYLxtiya	phase_1	p116	367.7260000705719
9	10	1584474948397	add_to_committee	ZY1tfYLxtiya	phase_1	p051	387.3100001811981
10	9	1584475031683	remove_from_committee	ZY1tfYLxtiya	phase_1	p066	470.59600019454956
11	10	1584475042845	add_to_committee	ZY1tfYLxtiya	phase_1	p016	481.75800013542175
