	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	1	1584058927173	add_to_committee	t4bcBwMLxPc6	phase_1	p032	420.5050001144409
1	2	1584058929301	add_to_committee	t4bcBwMLxPc6	phase_1	p036	422.63300013542175
2	1	1584058931373	remove_from_committee	t4bcBwMLxPc6	phase_1	p036	424.70499992370605
3	0	1584058931891	remove_from_committee	t4bcBwMLxPc6	phase_1	p032	425.22300004959106
4	1	1584059021973	add_to_committee	t4bcBwMLxPc6	phase_1	p124	515.3050000667572
5	0	1584059023121	remove_from_committee	t4bcBwMLxPc6	phase_1	p124	516.4530000686646
6	1	1584059098335	add_to_committee	t4bcBwMLxPc6	phase_1	p142	591.6670000553131
7	2	1584059104657	add_to_committee	t4bcBwMLxPc6	phase_1	p004	597.989000082016
8	3	1584059114621	add_to_committee	t4bcBwMLxPc6	phase_1	p013	607.9530000686646
9	2	1584059124823	remove_from_committee	t4bcBwMLxPc6	phase_1	p004	618.1549999713898
10	3	1584059157526	add_to_committee	t4bcBwMLxPc6	phase_1	p120	650.8580000400543
11	4	1584059207878	add_to_committee	t4bcBwMLxPc6	phase_1	p078	701.210000038147
12	5	1584059330175	add_to_committee	t4bcBwMLxPc6	phase_1	p043	823.5069999694824
13	6	1584059350842	add_to_committee	t4bcBwMLxPc6	phase_1	p051	844.1740000247955
14	7	1584059362328	add_to_committee	t4bcBwMLxPc6	phase_1	p117	855.6600000858307
15	8	1584059396555	add_to_committee	t4bcBwMLxPc6	phase_1	p116	889.8870000839233
16	9	1584059403944	add_to_committee	t4bcBwMLxPc6	phase_1	p021	897.2760000228882
17	10	1584059437001	add_to_committee	t4bcBwMLxPc6	phase_1	p106	930.3329999446869
18	9	1584059590362	remove_from_committee	t4bcBwMLxPc6	phase_1	p021	1083.694000005722
19	10	1584059601970	add_to_committee	t4bcBwMLxPc6	phase_1	p071	1095.3020000457764
