pid,attribute,phase,calculation,value
"('CONTROL', '0YhSRQx5Cdp5')",id,phase_1,diversity,0.01818181818181821
"('CONTROL', '0YhSRQx5Cdp5')",id,phase_1,proportion,0.01818181818181821
"('CONTROL', '0YhSRQx5Cdp5')",id,phase_2,diversity,0.01818181818181821
"('CONTROL', '0YhSRQx5Cdp5')",id,phase_2,proportion,0.01818181818181821
"('CONTROL', '0YhSRQx5Cdp5')",party,phase_1,diversity,0.2
"('CONTROL', '0YhSRQx5Cdp5')",party,phase_1,proportion,0.23076923076923078
"('CONTROL', '0YhSRQx5Cdp5')",party,phase_1,ratio,0.4
"('CONTROL', '0YhSRQx5Cdp5')",party,phase_2,diversity,0.2
"('CONTROL', '0YhSRQx5Cdp5')",party,phase_2,proportion,0.23076923076923078
"('CONTROL', '0YhSRQx5Cdp5')",party,phase_2,ratio,0.4
"('CONTROL', '0YhSRQx5Cdp5')",gender,phase_1,diversity,0.0
"('CONTROL', '0YhSRQx5Cdp5')",gender,phase_1,proportion,0.4252873563218391
"('CONTROL', '0YhSRQx5Cdp5')",gender,phase_1,ratio,0.5
"('CONTROL', '0YhSRQx5Cdp5')",gender,phase_2,diversity,0.0
"('CONTROL', '0YhSRQx5Cdp5')",gender,phase_2,proportion,0.4252873563218391
"('CONTROL', '0YhSRQx5Cdp5')",gender,phase_2,ratio,0.5
"('CONTROL', '0YhSRQx5Cdp5')",first_name,phase_1,diversity,0.021913580246913554
"('CONTROL', '0YhSRQx5Cdp5')",first_name,phase_1,proportion,0.02227704809115382
"('CONTROL', '0YhSRQx5Cdp5')",first_name,phase_2,diversity,0.021913580246913554
"('CONTROL', '0YhSRQx5Cdp5')",first_name,phase_2,proportion,0.02227704809115382
"('CONTROL', '0YhSRQx5Cdp5')",last_name,phase_1,diversity,0.018859649122807038
"('CONTROL', '0YhSRQx5Cdp5')",last_name,phase_1,proportion,0.018743987493987493
"('CONTROL', '0YhSRQx5Cdp5')",last_name,phase_2,diversity,0.018859649122807038
"('CONTROL', '0YhSRQx5Cdp5')",last_name,phase_2,proportion,0.018743987493987493
"('CONTROL', '0YhSRQx5Cdp5')",occupation,phase_1,diversity,0.11111111111111113
"('CONTROL', '0YhSRQx5Cdp5')",occupation,phase_1,proportion,0.11950787092446072
"('CONTROL', '0YhSRQx5Cdp5')",occupation,phase_2,diversity,0.11111111111111113
"('CONTROL', '0YhSRQx5Cdp5')",occupation,phase_2,proportion,0.11950787092446072
"('CONTROL', '0YhSRQx5Cdp5')",education,phase_1,diversity,0.12380952380952381
"('CONTROL', '0YhSRQx5Cdp5')",education,phase_1,proportion,0.11034414320913796
"('CONTROL', '0YhSRQx5Cdp5')",education,phase_2,diversity,0.12380952380952381
"('CONTROL', '0YhSRQx5Cdp5')",education,phase_2,proportion,0.11034414320913796
"('CONTROL', '0YhSRQx5Cdp5')",religion,phase_1,diversity,0.22666666666666666
"('CONTROL', '0YhSRQx5Cdp5')",religion,phase_1,proportion,0.1420656371903175
"('CONTROL', '0YhSRQx5Cdp5')",religion,phase_2,diversity,0.22666666666666666
"('CONTROL', '0YhSRQx5Cdp5')",religion,phase_2,proportion,0.1420656371903175
"('CONTROL', '0YhSRQx5Cdp5')",age,phase_1,diversity,0.5
"('CONTROL', '0YhSRQx5Cdp5')",age,phase_1,proportion,0.3
"('CONTROL', '0YhSRQx5Cdp5')",age,phase_2,diversity,0.5
"('CONTROL', '0YhSRQx5Cdp5')",age,phase_2,proportion,0.3
"('CONTROL', '0YhSRQx5Cdp5')",political_experience,phase_1,diversity,0.3
"('CONTROL', '0YhSRQx5Cdp5')",political_experience,phase_1,proportion,0.3
"('CONTROL', '0YhSRQx5Cdp5')",political_experience,phase_2,diversity,0.3
"('CONTROL', '0YhSRQx5Cdp5')",political_experience,phase_2,proportion,0.3
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_legalize_medical_marijuana,phase_1,diversity,0.10952380952380951
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_legalize_medical_marijuana,phase_1,proportion,0.07244416139577632
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_legalize_medical_marijuana,phase_2,diversity,0.10952380952380951
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_legalize_medical_marijuana,phase_2,proportion,0.07244416139577632
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_ban_abortion_after_6_weeks,phase_1,diversity,0.17142857142857143
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_ban_abortion_after_6_weeks,phase_1,proportion,0.14011668179089495
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_ban_abortion_after_6_weeks,phase_2,diversity,0.17142857142857143
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_ban_abortion_after_6_weeks,phase_2,proportion,0.14011668179089495
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_budget_for_free_school_lunch_program,phase_1,diversity,0.12380952380952381
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_budget_for_free_school_lunch_program,phase_1,proportion,0.0779454084190099
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_budget_for_free_school_lunch_program,phase_2,diversity,0.12380952380952381
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_budget_for_free_school_lunch_program,phase_2,proportion,0.0779454084190099
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_gun_control_legislation,phase_1,diversity,0.17142857142857146
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_gun_control_legislation,phase_1,proportion,0.11147355375659404
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_gun_control_legislation,phase_2,diversity,0.17142857142857146
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_gun_control_legislation,phase_2,proportion,0.11147355375659404
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_ban_alcohol_sales_on_sundays,phase_1,diversity,0.09047619047619047
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_ban_alcohol_sales_on_sundays,phase_1,proportion,0.10579420252067438
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_ban_alcohol_sales_on_sundays,phase_2,diversity,0.09047619047619047
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_ban_alcohol_sales_on_sundays,phase_2,proportion,0.10579420252067438
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_budget_for_medicare_coverage,phase_1,diversity,0.05714285714285714
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_budget_for_medicare_coverage,phase_1,proportion,0.08257408857648954
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_budget_for_medicare_coverage,phase_2,diversity,0.05714285714285714
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_budget_for_medicare_coverage,phase_2,proportion,0.08257408857648954
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_budget_for_veterans_affairs,phase_1,diversity,0.09047619047619047
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_budget_for_veterans_affairs,phase_1,proportion,0.07600005596698464
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_budget_for_veterans_affairs,phase_2,diversity,0.09047619047619047
"('CONTROL', '0YhSRQx5Cdp5')",policy_strength_increase_budget_for_veterans_affairs,phase_2,proportion,0.07600005596698464
"('CONTROL', '28brBef2NP77')",id,phase_1,diversity,0.0181818181818182
"('CONTROL', '28brBef2NP77')",id,phase_1,proportion,0.0181818181818182
"('CONTROL', '28brBef2NP77')",id,phase_2,diversity,0.0181818181818182
"('CONTROL', '28brBef2NP77')",id,phase_2,proportion,0.0181818181818182
"('CONTROL', '28brBef2NP77')",party,phase_1,diversity,0.0
"('CONTROL', '28brBef2NP77')",party,phase_1,proportion,0.03846153846153849
"('CONTROL', '28brBef2NP77')",party,phase_1,ratio,0.5
"('CONTROL', '28brBef2NP77')",party,phase_2,diversity,0.0
"('CONTROL', '28brBef2NP77')",party,phase_2,proportion,0.03846153846153849
"('CONTROL', '28brBef2NP77')",party,phase_2,ratio,0.5
"('CONTROL', '28brBef2NP77')",gender,phase_1,diversity,0.2
"('CONTROL', '28brBef2NP77')",gender,phase_1,proportion,0.3103448275862069
"('CONTROL', '28brBef2NP77')",gender,phase_1,ratio,0.6
"('CONTROL', '28brBef2NP77')",gender,phase_2,diversity,0.2
"('CONTROL', '28brBef2NP77')",gender,phase_2,proportion,0.3103448275862069
"('CONTROL', '28brBef2NP77')",gender,phase_2,ratio,0.6
"('CONTROL', '28brBef2NP77')",first_name,phase_1,diversity,0.021913580246913558
"('CONTROL', '28brBef2NP77')",first_name,phase_1,proportion,0.021536619109984095
"('CONTROL', '28brBef2NP77')",first_name,phase_2,diversity,0.021913580246913558
"('CONTROL', '28brBef2NP77')",first_name,phase_2,proportion,0.021536619109984095
"('CONTROL', '28brBef2NP77')",last_name,phase_1,diversity,0.018859649122807038
"('CONTROL', '28brBef2NP77')",last_name,phase_1,proportion,0.018947983233697535
"('CONTROL', '28brBef2NP77')",last_name,phase_2,diversity,0.018859649122807038
"('CONTROL', '28brBef2NP77')",last_name,phase_2,proportion,0.018947983233697535
"('CONTROL', '28brBef2NP77')",occupation,phase_1,diversity,0.06666666666666668
"('CONTROL', '28brBef2NP77')",occupation,phase_1,proportion,0.06263390382017993
"('CONTROL', '28brBef2NP77')",occupation,phase_2,diversity,0.06666666666666668
"('CONTROL', '28brBef2NP77')",occupation,phase_2,proportion,0.06263390382017993
"('CONTROL', '28brBef2NP77')",education,phase_1,diversity,0.12380952380952381
"('CONTROL', '28brBef2NP77')",education,phase_1,proportion,0.06958522360754207
"('CONTROL', '28brBef2NP77')",education,phase_2,diversity,0.12380952380952381
"('CONTROL', '28brBef2NP77')",education,phase_2,proportion,0.06958522360754207
"('CONTROL', '28brBef2NP77')",religion,phase_1,diversity,0.2133333333333333
"('CONTROL', '28brBef2NP77')",religion,phase_1,proportion,0.061970138296864645
"('CONTROL', '28brBef2NP77')",religion,phase_2,diversity,0.2133333333333333
"('CONTROL', '28brBef2NP77')",religion,phase_2,proportion,0.061970138296864645
"('CONTROL', '28brBef2NP77')",age,phase_1,diversity,0.4
"('CONTROL', '28brBef2NP77')",age,phase_1,proportion,0.3
"('CONTROL', '28brBef2NP77')",age,phase_2,diversity,0.4
"('CONTROL', '28brBef2NP77')",age,phase_2,proportion,0.3
"('CONTROL', '28brBef2NP77')",political_experience,phase_1,diversity,0.3
"('CONTROL', '28brBef2NP77')",political_experience,phase_1,proportion,0.1
"('CONTROL', '28brBef2NP77')",political_experience,phase_2,diversity,0.3
"('CONTROL', '28brBef2NP77')",political_experience,phase_2,proportion,0.1
"('CONTROL', '28brBef2NP77')",policy_strength_legalize_medical_marijuana,phase_1,diversity,0.15714285714285717
"('CONTROL', '28brBef2NP77')",policy_strength_legalize_medical_marijuana,phase_1,proportion,0.07225372598939406
"('CONTROL', '28brBef2NP77')",policy_strength_legalize_medical_marijuana,phase_2,diversity,0.15714285714285717
"('CONTROL', '28brBef2NP77')",policy_strength_legalize_medical_marijuana,phase_2,proportion,0.07225372598939406
"('CONTROL', '28brBef2NP77')",policy_strength_ban_abortion_after_6_weeks,phase_1,diversity,0.12380952380952384
"('CONTROL', '28brBef2NP77')",policy_strength_ban_abortion_after_6_weeks,phase_1,proportion,0.11896239711221722
"('CONTROL', '28brBef2NP77')",policy_strength_ban_abortion_after_6_weeks,phase_2,diversity,0.12380952380952384
"('CONTROL', '28brBef2NP77')",policy_strength_ban_abortion_after_6_weeks,phase_2,proportion,0.11896239711221722
"('CONTROL', '28brBef2NP77')",policy_strength_budget_for_free_school_lunch_program,phase_1,diversity,0.10476190476190476
"('CONTROL', '28brBef2NP77')",policy_strength_budget_for_free_school_lunch_program,phase_1,proportion,0.07931564684049526
"('CONTROL', '28brBef2NP77')",policy_strength_budget_for_free_school_lunch_program,phase_2,diversity,0.10476190476190476
"('CONTROL', '28brBef2NP77')",policy_strength_budget_for_free_school_lunch_program,phase_2,proportion,0.07931564684049526
"('CONTROL', '28brBef2NP77')",policy_strength_increase_gun_control_legislation,phase_1,diversity,0.09047619047619047
"('CONTROL', '28brBef2NP77')",policy_strength_increase_gun_control_legislation,phase_1,proportion,0.05669252341165392
"('CONTROL', '28brBef2NP77')",policy_strength_increase_gun_control_legislation,phase_2,diversity,0.09047619047619047
"('CONTROL', '28brBef2NP77')",policy_strength_increase_gun_control_legislation,phase_2,proportion,0.05669252341165392
"('CONTROL', '28brBef2NP77')",policy_strength_ban_alcohol_sales_on_sundays,phase_1,diversity,0.09047619047619049
"('CONTROL', '28brBef2NP77')",policy_strength_ban_alcohol_sales_on_sundays,phase_1,proportion,0.03726622657859354
"('CONTROL', '28brBef2NP77')",policy_strength_ban_alcohol_sales_on_sundays,phase_2,diversity,0.09047619047619049
"('CONTROL', '28brBef2NP77')",policy_strength_ban_alcohol_sales_on_sundays,phase_2,proportion,0.03726622657859354
"('CONTROL', '28brBef2NP77')",policy_strength_increase_budget_for_medicare_coverage,phase_1,diversity,0.09047619047619047
"('CONTROL', '28brBef2NP77')",policy_strength_increase_budget_for_medicare_coverage,phase_1,proportion,0.10951143694240935
"('CONTROL', '28brBef2NP77')",policy_strength_increase_budget_for_medicare_coverage,phase_2,diversity,0.09047619047619047
"('CONTROL', '28brBef2NP77')",policy_strength_increase_budget_for_medicare_coverage,phase_2,proportion,0.10951143694240935
"('CONTROL', '28brBef2NP77')",policy_strength_increase_budget_for_veterans_affairs,phase_1,diversity,0.10952380952380951
"('CONTROL', '28brBef2NP77')",policy_strength_increase_budget_for_veterans_affairs,phase_1,proportion,0.06519506650615856
"('CONTROL', '28brBef2NP77')",policy_strength_increase_budget_for_veterans_affairs,phase_2,diversity,0.10952380952380951
"('CONTROL', '28brBef2NP77')",policy_strength_increase_budget_for_veterans_affairs,phase_2,proportion,0.06519506650615856
"('CONTROL', '531UXi27EEuE')",id,phase_1,diversity,0.01818181818181821
"('CONTROL', '531UXi27EEuE')",id,phase_1,proportion,0.01818181818181821
"('CONTROL', '531UXi27EEuE')",id,phase_2,diversity,0.01818181818181821
"('CONTROL', '531UXi27EEuE')",id,phase_2,proportion,0.01818181818181821
"('CONTROL', '531UXi27EEuE')",party,phase_1,diversity,1.0
"('CONTROL', '531UXi27EEuE')",party,phase_1,proportion,1.0
"('CONTROL', '531UXi27EEuE')",party,phase_1,ratio,0.0
"('CONTROL', '531UXi27EEuE')",party,phase_2,diversity,1.0
"('CONTROL', '531UXi27EEuE')",party,phase_2,proportion,1.0
"('CONTROL', '531UXi27EEuE')",party,phase_2,ratio,0.0
"('CONTROL', '531UXi27EEuE')",gender,phase_1,diversity,0.4
"('CONTROL', '531UXi27EEuE')",gender,phase_1,proportion,0.1954022988505747
"('CONTROL', '531UXi27EEuE')",gender,phase_1,ratio,0.7
"('CONTROL', '531UXi27EEuE')",gender,phase_2,diversity,0.4
"('CONTROL', '531UXi27EEuE')",gender,phase_2,proportion,0.1954022988505747
"('CONTROL', '531UXi27EEuE')",gender,phase_2,ratio,0.7
"('CONTROL', '531UXi27EEuE')",first_name,phase_1,diversity,0.0222222222222222
"('CONTROL', '531UXi27EEuE')",first_name,phase_1,proportion,0.021556978918703694
"('CONTROL', '531UXi27EEuE')",first_name,phase_2,diversity,0.0222222222222222
"('CONTROL', '531UXi27EEuE')",first_name,phase_2,proportion,0.021556978918703694
"('CONTROL', '531UXi27EEuE')",last_name,phase_1,diversity,0.018859649122807035
"('CONTROL', '531UXi27EEuE')",last_name,phase_1,proportion,0.01874398749398751
"('CONTROL', '531UXi27EEuE')",last_name,phase_2,diversity,0.018859649122807035
"('CONTROL', '531UXi27EEuE')",last_name,phase_2,proportion,0.01874398749398751
"('CONTROL', '531UXi27EEuE')",occupation,phase_1,diversity,0.04444444444444444
