	participantId	interactionType	interactionTypeCount	interactionDurationSum
46	8oiaPu0yRfxr	add_to_list_via_scatterplot_click	19	84327
47	8oiaPu0yRfxr	axes_attribute_changed	5	0
48	8oiaPu0yRfxr	change_attribute_distribution	41	0
49	8oiaPu0yRfxr	change_attribute_distribution_results	47	0
50	8oiaPu0yRfxr	filter_changed	71	0
51	8oiaPu0yRfxr	mouseout	69	302886
52	8oiaPu0yRfxr	mouseout_from_list	33	41926
53	8oiaPu0yRfxr	mouseover	69	17535
54	8oiaPu0yRfxr	mouseover_from_list	40	10251
55	8oiaPu0yRfxr	remove_from_list_via_list_item_click	8	5254
