	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'age': {42: 0, 45: 1, 44: 0, 55: 1, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 0, 53: 1, 51: 0, 65: 2, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 2, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 6, 'Female': 4}, 'occupation': {'Financier': 1, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 0, 'Business': 2, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 3, -3: 1, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 3, -3: 1, 3: 1, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 1, -1: 2, 1: 0, -2: 3, -3: 0, 0: 0}, 'political_experience': {9: 2, 5: 2, 8: 0, 2: 0, 12: 1, 10: 0, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 3, 1: 2, 3: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 2, -1: 3, 2: 1, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'party': {'Democrat': 5, 'Republican': 5}}	1566910896725	add_to_committee	28brBef2NP77	phase_1	p02	24.26699995994568
1	{'age': {42: 0, 45: 1, 44: 0, 55: 1, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 0, 53: 1, 51: 0, 65: 2, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 2, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 6, 'Female': 4}, 'occupation': {'Financier': 1, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 0, 'Business': 2, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 3, -3: 1, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 3, -3: 1, 3: 1, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 1, -1: 2, 1: 0, -2: 3, -3: 0, 0: 0}, 'political_experience': {9: 2, 5: 2, 8: 0, 2: 0, 12: 1, 10: 0, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 3, 1: 2, 3: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 2, -1: 3, 2: 1, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'party': {'Democrat': 5, 'Republican': 5}}	1566910917395	add_to_committee	28brBef2NP77	phase_1	p37	44.937000036239624
2	{'age': {42: 0, 45: 1, 44: 0, 55: 1, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 0, 53: 1, 51: 0, 65: 2, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 2, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 6, 'Female': 4}, 'occupation': {'Financier': 1, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 0, 'Business': 2, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 3, -3: 1, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 3, -3: 1, 3: 1, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 1, -1: 2, 1: 0, -2: 3, -3: 0, 0: 0}, 'political_experience': {9: 2, 5: 2, 8: 0, 2: 0, 12: 1, 10: 0, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 3, 1: 2, 3: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 2, -1: 3, 2: 1, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'party': {'Democrat': 5, 'Republican': 5}}	1566910929027	add_to_committee	28brBef2NP77	phase_1	p99	56.569000005722046
3	{'age': {42: 0, 45: 1, 44: 0, 55: 1, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 0, 53: 1, 51: 0, 65: 2, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 2, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 6, 'Female': 4}, 'occupation': {'Financier': 1, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 0, 'Business': 2, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 3, -3: 1, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 3, -3: 1, 3: 1, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 1, -1: 2, 1: 0, -2: 3, -3: 0, 0: 0}, 'political_experience': {9: 2, 5: 2, 8: 0, 2: 0, 12: 1, 10: 0, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 3, 1: 2, 3: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 2, -1: 3, 2: 1, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'party': {'Democrat': 5, 'Republican': 5}}	1566910947218	add_to_committee	28brBef2NP77	phase_1	p97	74.75999999046326
4	{'age': {42: 0, 45: 1, 44: 0, 55: 1, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 0, 53: 1, 51: 0, 65: 2, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 2, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 6, 'Female': 4}, 'occupation': {'Financier': 1, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 0, 'Business': 2, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 3, -3: 1, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 3, -3: 1, 3: 1, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 1, -1: 2, 1: 0, -2: 3, -3: 0, 0: 0}, 'political_experience': {9: 2, 5: 2, 8: 0, 2: 0, 12: 1, 10: 0, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 3, 1: 2, 3: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 2, -1: 3, 2: 1, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'party': {'Democrat': 5, 'Republican': 5}}	1566911014758	add_to_committee	28brBef2NP77	phase_1	p91	142.29999995231628
5	{'age': {42: 0, 45: 1, 44: 0, 55: 1, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 0, 53: 1, 51: 0, 65: 2, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 2, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 6, 'Female': 4}, 'occupation': {'Financier': 1, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 0, 'Business': 2, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 3, -3: 1, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 3, -3: 1, 3: 1, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 1, -1: 2, 1: 0, -2: 3, -3: 0, 0: 0}, 'political_experience': {9: 2, 5: 2, 8: 0, 2: 0, 12: 1, 10: 0, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 3, 1: 2, 3: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 2, -1: 3, 2: 1, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'party': {'Democrat': 5, 'Republican': 5}}	1566911052859	add_to_committee	28brBef2NP77	phase_1	p33	180.40100002288818
6	{'age': {42: 0, 45: 1, 44: 0, 55: 1, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 0, 53: 1, 51: 0, 65: 2, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 2, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 6, 'Female': 4}, 'occupation': {'Financier': 1, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 0, 'Business': 2, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 3, -3: 1, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 3, -3: 1, 3: 1, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 1, -1: 2, 1: 0, -2: 3, -3: 0, 0: 0}, 'political_experience': {9: 2, 5: 2, 8: 0, 2: 0, 12: 1, 10: 0, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 3, 1: 2, 3: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 2, -1: 3, 2: 1, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'party': {'Democrat': 5, 'Republican': 5}}	1566911106696	add_to_committee	28brBef2NP77	phase_1	p24	234.23800015449524
7	{'age': {42: 0, 45: 1, 44: 0, 55: 1, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 0, 53: 1, 51: 0, 65: 2, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 2, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 6, 'Female': 4}, 'occupation': {'Financier': 1, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 0, 'Business': 2, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 3, -3: 1, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 3, -3: 1, 3: 1, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 1, -1: 2, 1: 0, -2: 3, -3: 0, 0: 0}, 'political_experience': {9: 2, 5: 2, 8: 0, 2: 0, 12: 1, 10: 0, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 3, 1: 2, 3: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 2, -1: 3, 2: 1, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'party': {'Democrat': 5, 'Republican': 5}}	1566911115783	add_to_committee	28brBef2NP77	phase_1	p90	243.32500004768372
8	{'age': {42: 0, 45: 1, 44: 0, 55: 1, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 0, 53: 1, 51: 0, 65: 2, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 2, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 6, 'Female': 4}, 'occupation': {'Financier': 1, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 0, 'Business': 2, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 3, -3: 1, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 3, -3: 1, 3: 1, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 1, -1: 2, 1: 0, -2: 3, -3: 0, 0: 0}, 'political_experience': {9: 2, 5: 2, 8: 0, 2: 0, 12: 1, 10: 0, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 3, 1: 2, 3: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 2, -1: 3, 2: 1, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'party': {'Democrat': 5, 'Republican': 5}}	1566911126343	add_to_committee	28brBef2NP77	phase_1	p44	253.88499999046326
9	{'age': {42: 0, 45: 1, 44: 0, 55: 1, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 0, 53: 1, 51: 0, 65: 2, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 2, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 6, 'Female': 4}, 'occupation': {'Financier': 1, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 0, 'Business': 2, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 3, -3: 1, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 3, -3: 1, 3: 1, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 1, -1: 2, 1: 0, -2: 3, -3: 0, 0: 0}, 'political_experience': {9: 2, 5: 2, 8: 0, 2: 0, 12: 1, 10: 0, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 3, 1: 2, 3: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 2, -1: 3, 2: 1, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'party': {'Democrat': 5, 'Republican': 5}}	1566911281264	add_to_committee	28brBef2NP77	phase_1	p06	408.80599999427795
