	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 1, 61: 1, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 2, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 3, 2: 1, 1: 1, -3: 0, 3: 0, 0: 3}, 'gender': {'Male': 4, 'Female': 7}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 4, 'Lawyer': 1, 'Judge': 1, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 7, -1: 0, 2: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 4, -1: 4, 2: 1, -3: 0, 3: 1, 1: 0, 0: 1}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 3, -1: 1, 1: 1, -2: 1, -3: 0, 0: 0}, 'political_experience': {9: 2, 5: 1, 8: 1, 2: 0, 12: 0, 10: 1, 6: 0, 11: 1, 15: 0, 14: 1, 7: 2, 3: 1, 13: 1, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 6, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 2, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 0, 1: 1, -1: 2, 2: 6, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 2, 1: 3, 0: 1, -3: 0, -1: 0}, 'party': {'Democrat': 9, 'Republican': 2}}	1566825293409	add_to_committee	9xOrWE8cZEqz	phase_1	p02	557.210000038147
1	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 1, 61: 1, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 2, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 3, 2: 1, 1: 1, -3: 0, 3: 0, 0: 3}, 'gender': {'Male': 4, 'Female': 7}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 4, 'Lawyer': 1, 'Judge': 1, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 7, -1: 0, 2: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 4, -1: 4, 2: 1, -3: 0, 3: 1, 1: 0, 0: 1}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 3, -1: 1, 1: 1, -2: 1, -3: 0, 0: 0}, 'political_experience': {9: 2, 5: 1, 8: 1, 2: 0, 12: 0, 10: 1, 6: 0, 11: 1, 15: 0, 14: 1, 7: 2, 3: 1, 13: 1, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 6, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 2, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 0, 1: 1, -1: 2, 2: 6, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 2, 1: 3, 0: 1, -3: 0, -1: 0}, 'party': {'Democrat': 9, 'Republican': 2}}	1566825299333	add_to_committee	9xOrWE8cZEqz	phase_1	p90	563.1340000629425
2	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 1, 61: 1, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 2, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 3, 2: 1, 1: 1, -3: 0, 3: 0, 0: 3}, 'gender': {'Male': 4, 'Female': 7}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 4, 'Lawyer': 1, 'Judge': 1, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 7, -1: 0, 2: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 4, -1: 4, 2: 1, -3: 0, 3: 1, 1: 0, 0: 1}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 3, -1: 1, 1: 1, -2: 1, -3: 0, 0: 0}, 'political_experience': {9: 2, 5: 1, 8: 1, 2: 0, 12: 0, 10: 1, 6: 0, 11: 1, 15: 0, 14: 1, 7: 2, 3: 1, 13: 1, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 6, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 2, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 0, 1: 1, -1: 2, 2: 6, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 2, 1: 3, 0: 1, -3: 0, -1: 0}, 'party': {'Democrat': 9, 'Republican': 2}}	1566825365191	add_to_committee	9xOrWE8cZEqz	phase_1	p58	628.9920001029968
3	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 1, 61: 1, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 2, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 3, 2: 1, 1: 1, -3: 0, 3: 0, 0: 3}, 'gender': {'Male': 4, 'Female': 7}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 4, 'Lawyer': 1, 'Judge': 1, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 7, -1: 0, 2: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 4, -1: 4, 2: 1, -3: 0, 3: 1, 1: 0, 0: 1}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 3, -1: 1, 1: 1, -2: 1, -3: 0, 0: 0}, 'political_experience': {9: 2, 5: 1, 8: 1, 2: 0, 12: 0, 10: 1, 6: 0, 11: 1, 15: 0, 14: 1, 7: 2, 3: 1, 13: 1, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 6, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 2, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 0, 1: 1, -1: 2, 2: 6, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 2, 1: 3, 0: 1, -3: 0, -1: 0}, 'party': {'Democrat': 9, 'Republican': 2}}	1566825393224	add_to_committee	9xOrWE8cZEqz	phase_1	p06	657.0250000953674
4	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 1, 61: 1, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 2, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 3, 2: 1, 1: 1, -3: 0, 3: 0, 0: 3}, 'gender': {'Male': 4, 'Female': 7}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 4, 'Lawyer': 1, 'Judge': 1, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 7, -1: 0, 2: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 4, -1: 4, 2: 1, -3: 0, 3: 1, 1: 0, 0: 1}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 3, -1: 1, 1: 1, -2: 1, -3: 0, 0: 0}, 'political_experience': {9: 2, 5: 1, 8: 1, 2: 0, 12: 0, 10: 1, 6: 0, 11: 1, 15: 0, 14: 1, 7: 2, 3: 1, 13: 1, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 6, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 2, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 0, 1: 1, -1: 2, 2: 6, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 2, 1: 3, 0: 1, -3: 0, -1: 0}, 'party': {'Democrat': 9, 'Republican': 2}}	1566825507067	add_to_committee	9xOrWE8cZEqz	phase_1	p52	770.8680000305176
5	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 1, 61: 1, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 2, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 3, 2: 1, 1: 1, -3: 0, 3: 0, 0: 3}, 'gender': {'Male': 4, 'Female': 7}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 4, 'Lawyer': 1, 'Judge': 1, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 7, -1: 0, 2: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 4, -1: 4, 2: 1, -3: 0, 3: 1, 1: 0, 0: 1}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 3, -1: 1, 1: 1, -2: 1, -3: 0, 0: 0}, 'political_experience': {9: 2, 5: 1, 8: 1, 2: 0, 12: 0, 10: 1, 6: 0, 11: 1, 15: 0, 14: 1, 7: 2, 3: 1, 13: 1, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 6, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 2, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 0, 1: 1, -1: 2, 2: 6, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 2, 1: 3, 0: 1, -3: 0, -1: 0}, 'party': {'Democrat': 9, 'Republican': 2}}	1566825521422	add_to_committee	9xOrWE8cZEqz	phase_1	p79	785.2230000495911
6	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 1, 61: 1, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 2, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 3, 2: 1, 1: 1, -3: 0, 3: 0, 0: 3}, 'gender': {'Male': 4, 'Female': 7}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 4, 'Lawyer': 1, 'Judge': 1, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 7, -1: 0, 2: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 4, -1: 4, 2: 1, -3: 0, 3: 1, 1: 0, 0: 1}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 3, -1: 1, 1: 1, -2: 1, -3: 0, 0: 0}, 'political_experience': {9: 2, 5: 1, 8: 1, 2: 0, 12: 0, 10: 1, 6: 0, 11: 1, 15: 0, 14: 1, 7: 2, 3: 1, 13: 1, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 6, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 2, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 0, 1: 1, -1: 2, 2: 6, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 2, 1: 3, 0: 1, -3: 0, -1: 0}, 'party': {'Democrat': 9, 'Republican': 2}}	1566825606945	add_to_committee	9xOrWE8cZEqz	phase_1	p78	870.7460000514984
7	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 1, 61: 1, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 2, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 3, 2: 1, 1: 1, -3: 0, 3: 0, 0: 3}, 'gender': {'Male': 4, 'Female': 7}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 4, 'Lawyer': 1, 'Judge': 1, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 7, -1: 0, 2: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 4, -1: 4, 2: 1, -3: 0, 3: 1, 1: 0, 0: 1}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 3, -1: 1, 1: 1, -2: 1, -3: 0, 0: 0}, 'political_experience': {9: 2, 5: 1, 8: 1, 2: 0, 12: 0, 10: 1, 6: 0, 11: 1, 15: 0, 14: 1, 7: 2, 3: 1, 13: 1, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 6, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 2, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 0, 1: 1, -1: 2, 2: 6, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 2, 1: 3, 0: 1, -3: 0, -1: 0}, 'party': {'Democrat': 9, 'Republican': 2}}	1566825622671	add_to_committee	9xOrWE8cZEqz	phase_1	p28	886.4720001220703
8	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 1, 61: 1, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 2, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 3, 2: 1, 1: 1, -3: 0, 3: 0, 0: 3}, 'gender': {'Male': 4, 'Female': 7}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 4, 'Lawyer': 1, 'Judge': 1, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 7, -1: 0, 2: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 4, -1: 4, 2: 1, -3: 0, 3: 1, 1: 0, 0: 1}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 3, -1: 1, 1: 1, -2: 1, -3: 0, 0: 0}, 'political_experience': {9: 2, 5: 1, 8: 1, 2: 0, 12: 0, 10: 1, 6: 0, 11: 1, 15: 0, 14: 1, 7: 2, 3: 1, 13: 1, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 6, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 2, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 0, 1: 1, -1: 2, 2: 6, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 2, 1: 3, 0: 1, -3: 0, -1: 0}, 'party': {'Democrat': 9, 'Republican': 2}}	1566825631792	add_to_committee	9xOrWE8cZEqz	phase_1	p24	895.5930001735687
9	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 1, 61: 1, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 2, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 3, 2: 1, 1: 1, -3: 0, 3: 0, 0: 3}, 'gender': {'Male': 4, 'Female': 7}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 4, 'Lawyer': 1, 'Judge': 1, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 7, -1: 0, 2: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 4, -1: 4, 2: 1, -3: 0, 3: 1, 1: 0, 0: 1}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 3, -1: 1, 1: 1, -2: 1, -3: 0, 0: 0}, 'political_experience': {9: 2, 5: 1, 8: 1, 2: 0, 12: 0, 10: 1, 6: 0, 11: 1, 15: 0, 14: 1, 7: 2, 3: 1, 13: 1, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 6, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 2, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 0, 1: 1, -1: 2, 2: 6, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 2, 1: 3, 0: 1, -3: 0, -1: 0}, 'party': {'Democrat': 9, 'Republican': 2}}	1566825632696	add_to_committee	9xOrWE8cZEqz	phase_1	p28	896.4970002174377
