	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 1, 46: 0, 77: 0, 52: 0, 61: 2, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 1, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 1, 2: 3, 1: 0, -3: 2, 3: 0, 0: 1}, 'gender': {'Male': 5, 'Female': 5}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 0, 'Lawyer': 0, 'Judge': 1, 'Educator': 2, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 5, -1: 0, 2: 0, -2: 2, -3: 2, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 2, -3: 1, 3: 2, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 1, 3: 2, -1: 1, 1: 2, -2: 4, -3: 0, 0: 0}, 'political_experience': {9: 0, 5: 2, 8: 2, 2: 0, 12: 1, 10: 1, 6: 1, 11: 1, 15: 0, 14: 1, 7: 0, 3: 1, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 1, 'Bachelor Degree': 5, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 2, 1: 1, 3: 2, 0: 1, -3: 2, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 3, 1: 0, -1: 2, 2: 3, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 1, -2: 3, 2: 4, 1: 0, 0: 0, -3: 1, -1: 1}, 'party': {'Democrat': 5, 'Republican': 5}}	1565905573046	add_to_committee	WmtJlhR8J1J0	phase_1	p59	41.60700011253357
1	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 1, 46: 0, 77: 0, 52: 0, 61: 2, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 1, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 1, 2: 3, 1: 0, -3: 2, 3: 0, 0: 1}, 'gender': {'Male': 5, 'Female': 5}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 0, 'Lawyer': 0, 'Judge': 1, 'Educator': 2, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 5, -1: 0, 2: 0, -2: 2, -3: 2, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 2, -3: 1, 3: 2, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 1, 3: 2, -1: 1, 1: 2, -2: 4, -3: 0, 0: 0}, 'political_experience': {9: 0, 5: 2, 8: 2, 2: 0, 12: 1, 10: 1, 6: 1, 11: 1, 15: 0, 14: 1, 7: 0, 3: 1, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 1, 'Bachelor Degree': 5, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 2, 1: 1, 3: 2, 0: 1, -3: 2, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 3, 1: 0, -1: 2, 2: 3, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 1, -2: 3, 2: 4, 1: 0, 0: 0, -3: 1, -1: 1}, 'party': {'Democrat': 5, 'Republican': 5}}	1565905599615	add_to_committee	WmtJlhR8J1J0	phase_1	p33	68.17600011825562
2	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 1, 46: 0, 77: 0, 52: 0, 61: 2, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 1, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 1, 2: 3, 1: 0, -3: 2, 3: 0, 0: 1}, 'gender': {'Male': 5, 'Female': 5}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 0, 'Lawyer': 0, 'Judge': 1, 'Educator': 2, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 5, -1: 0, 2: 0, -2: 2, -3: 2, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 2, -3: 1, 3: 2, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 1, 3: 2, -1: 1, 1: 2, -2: 4, -3: 0, 0: 0}, 'political_experience': {9: 0, 5: 2, 8: 2, 2: 0, 12: 1, 10: 1, 6: 1, 11: 1, 15: 0, 14: 1, 7: 0, 3: 1, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 1, 'Bachelor Degree': 5, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 2, 1: 1, 3: 2, 0: 1, -3: 2, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 3, 1: 0, -1: 2, 2: 3, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 1, -2: 3, 2: 4, 1: 0, 0: 0, -3: 1, -1: 1}, 'party': {'Democrat': 5, 'Republican': 5}}	1565905602879	remove_from_committee	WmtJlhR8J1J0	phase_1	p33	71.44000005722046
3	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 1, 46: 0, 77: 0, 52: 0, 61: 2, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 1, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 1, 2: 3, 1: 0, -3: 2, 3: 0, 0: 1}, 'gender': {'Male': 5, 'Female': 5}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 0, 'Lawyer': 0, 'Judge': 1, 'Educator': 2, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 5, -1: 0, 2: 0, -2: 2, -3: 2, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 2, -3: 1, 3: 2, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 1, 3: 2, -1: 1, 1: 2, -2: 4, -3: 0, 0: 0}, 'political_experience': {9: 0, 5: 2, 8: 2, 2: 0, 12: 1, 10: 1, 6: 1, 11: 1, 15: 0, 14: 1, 7: 0, 3: 1, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 1, 'Bachelor Degree': 5, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 2, 1: 1, 3: 2, 0: 1, -3: 2, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 3, 1: 0, -1: 2, 2: 3, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 1, -2: 3, 2: 4, 1: 0, 0: 0, -3: 1, -1: 1}, 'party': {'Democrat': 5, 'Republican': 5}}	1565905603695	remove_from_committee	WmtJlhR8J1J0	phase_1	p59	72.25600004196167
4	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 1, 46: 0, 77: 0, 52: 0, 61: 2, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 1, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 1, 2: 3, 1: 0, -3: 2, 3: 0, 0: 1}, 'gender': {'Male': 5, 'Female': 5}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 0, 'Lawyer': 0, 'Judge': 1, 'Educator': 2, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 5, -1: 0, 2: 0, -2: 2, -3: 2, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 2, -3: 1, 3: 2, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 1, 3: 2, -1: 1, 1: 2, -2: 4, -3: 0, 0: 0}, 'political_experience': {9: 0, 5: 2, 8: 2, 2: 0, 12: 1, 10: 1, 6: 1, 11: 1, 15: 0, 14: 1, 7: 0, 3: 1, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 1, 'Bachelor Degree': 5, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 2, 1: 1, 3: 2, 0: 1, -3: 2, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 3, 1: 0, -1: 2, 2: 3, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 1, -2: 3, 2: 4, 1: 0, 0: 0, -3: 1, -1: 1}, 'party': {'Democrat': 5, 'Republican': 5}}	1565905641944	add_to_committee	WmtJlhR8J1J0	phase_1	p59	110.50500011444092
5	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 1, 46: 0, 77: 0, 52: 0, 61: 2, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 1, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 1, 2: 3, 1: 0, -3: 2, 3: 0, 0: 1}, 'gender': {'Male': 5, 'Female': 5}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 0, 'Lawyer': 0, 'Judge': 1, 'Educator': 2, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 5, -1: 0, 2: 0, -2: 2, -3: 2, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 2, -3: 1, 3: 2, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 1, 3: 2, -1: 1, 1: 2, -2: 4, -3: 0, 0: 0}, 'political_experience': {9: 0, 5: 2, 8: 2, 2: 0, 12: 1, 10: 1, 6: 1, 11: 1, 15: 0, 14: 1, 7: 0, 3: 1, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 1, 'Bachelor Degree': 5, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 2, 1: 1, 3: 2, 0: 1, -3: 2, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 3, 1: 0, -1: 2, 2: 3, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 1, -2: 3, 2: 4, 1: 0, 0: 0, -3: 1, -1: 1}, 'party': {'Democrat': 5, 'Republican': 5}}	1565905734561	add_to_committee	WmtJlhR8J1J0	phase_1	p99	203.12200021743774
6	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 1, 46: 0, 77: 0, 52: 0, 61: 2, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 1, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 1, 2: 3, 1: 0, -3: 2, 3: 0, 0: 1}, 'gender': {'Male': 5, 'Female': 5}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 0, 'Lawyer': 0, 'Judge': 1, 'Educator': 2, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 5, -1: 0, 2: 0, -2: 2, -3: 2, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 2, -3: 1, 3: 2, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 1, 3: 2, -1: 1, 1: 2, -2: 4, -3: 0, 0: 0}, 'political_experience': {9: 0, 5: 2, 8: 2, 2: 0, 12: 1, 10: 1, 6: 1, 11: 1, 15: 0, 14: 1, 7: 0, 3: 1, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 1, 'Bachelor Degree': 5, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 2, 1: 1, 3: 2, 0: 1, -3: 2, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 3, 1: 0, -1: 2, 2: 3, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 1, -2: 3, 2: 4, 1: 0, 0: 0, -3: 1, -1: 1}, 'party': {'Democrat': 5, 'Republican': 5}}	1565905756649	add_to_committee	WmtJlhR8J1J0	phase_1	p45	225.21000003814697
7	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 1, 46: 0, 77: 0, 52: 0, 61: 2, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 1, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 1, 2: 3, 1: 0, -3: 2, 3: 0, 0: 1}, 'gender': {'Male': 5, 'Female': 5}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 0, 'Lawyer': 0, 'Judge': 1, 'Educator': 2, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 5, -1: 0, 2: 0, -2: 2, -3: 2, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 2, -3: 1, 3: 2, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 1, 3: 2, -1: 1, 1: 2, -2: 4, -3: 0, 0: 0}, 'political_experience': {9: 0, 5: 2, 8: 2, 2: 0, 12: 1, 10: 1, 6: 1, 11: 1, 15: 0, 14: 1, 7: 0, 3: 1, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 1, 'Bachelor Degree': 5, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 2, 1: 1, 3: 2, 0: 1, -3: 2, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 3, 1: 0, -1: 2, 2: 3, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 1, -2: 3, 2: 4, 1: 0, 0: 0, -3: 1, -1: 1}, 'party': {'Democrat': 5, 'Republican': 5}}	1565905760376	remove_from_committee	WmtJlhR8J1J0	phase_1	p99	228.93700003623962
8	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 1, 46: 0, 77: 0, 52: 0, 61: 2, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 1, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 1, 2: 3, 1: 0, -3: 2, 3: 0, 0: 1}, 'gender': {'Male': 5, 'Female': 5}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 0, 'Lawyer': 0, 'Judge': 1, 'Educator': 2, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 5, -1: 0, 2: 0, -2: 2, -3: 2, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 2, -3: 1, 3: 2, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 1, 3: 2, -1: 1, 1: 2, -2: 4, -3: 0, 0: 0}, 'political_experience': {9: 0, 5: 2, 8: 2, 2: 0, 12: 1, 10: 1, 6: 1, 11: 1, 15: 0, 14: 1, 7: 0, 3: 1, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 1, 'Bachelor Degree': 5, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 2, 1: 1, 3: 2, 0: 1, -3: 2, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 3, 1: 0, -1: 2, 2: 3, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 1, -2: 3, 2: 4, 1: 0, 0: 0, -3: 1, -1: 1}, 'party': {'Democrat': 5, 'Republican': 5}}	1565905831337	add_to_committee	WmtJlhR8J1J0	phase_1	p92	299.89800000190735
9	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 1, 46: 0, 77: 0, 52: 0, 61: 2, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 1, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 1, 2: 3, 1: 0, -3: 2, 3: 0, 0: 1}, 'gender': {'Male': 5, 'Female': 5}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 0, 'Lawyer': 0, 'Judge': 1, 'Educator': 2, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 5, -1: 0, 2: 0, -2: 2, -3: 2, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 2, -3: 1, 3: 2, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 1, 3: 2, -1: 1, 1: 2, -2: 4, -3: 0, 0: 0}, 'political_experience': {9: 0, 5: 2, 8: 2, 2: 0, 12: 1, 10: 1, 6: 1, 11: 1, 15: 0, 14: 1, 7: 0, 3: 1, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 1, 'Bachelor Degree': 5, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 2, 1: 1, 3: 2, 0: 1, -3: 2, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 3, 1: 0, -1: 2, 2: 3, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 1, -2: 3, 2: 4, 1: 0, 0: 0, -3: 1, -1: 1}, 'party': {'Democrat': 5, 'Republican': 5}}	1565905980180	add_to_committee	WmtJlhR8J1J0	phase_1	p07	448.7410001754761
