	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 2, 64: 1, 53: 0, 51: 0, 65: 1, 54: 0, 63: 1, 75: 1, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 4, 2: 1, 1: 0, -3: 1, 3: 0, 0: 1}, 'gender': {'Male': 1, 'Female': 9}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 0, 'Educator': 2, 'Business': 3, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 5, -1: 0, 2: 2, -2: 1, -3: 0, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 3, 2: 0, -3: 3, 3: 1, 1: 0, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 6, 3: 2, -1: 1, 1: 1, -2: 0, -3: 0, 0: 0}, 'political_experience': {9: 1, 5: 1, 8: 3, 2: 0, 12: 0, 10: 0, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 1, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 4, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 2}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 1, -2: 0, 1: 1, -1: 1, 2: 5, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 4, 1: 1, 0: 0, -3: 0, -1: 0}, 'party': {'Democrat': 9, 'Republican': 1}}	1566328192636	add_to_committee	oxTwBvZsd5HT	phase_1	p44	102.50300002098083
1	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 2, 64: 1, 53: 0, 51: 0, 65: 1, 54: 0, 63: 1, 75: 1, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 4, 2: 1, 1: 0, -3: 1, 3: 0, 0: 1}, 'gender': {'Male': 1, 'Female': 9}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 0, 'Educator': 2, 'Business': 3, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 5, -1: 0, 2: 2, -2: 1, -3: 0, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 3, 2: 0, -3: 3, 3: 1, 1: 0, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 6, 3: 2, -1: 1, 1: 1, -2: 0, -3: 0, 0: 0}, 'political_experience': {9: 1, 5: 1, 8: 3, 2: 0, 12: 0, 10: 0, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 1, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 4, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 2}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 1, -2: 0, 1: 1, -1: 1, 2: 5, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 4, 1: 1, 0: 0, -3: 0, -1: 0}, 'party': {'Democrat': 9, 'Republican': 1}}	1566328194093	add_to_committee	oxTwBvZsd5HT	phase_1	p48	103.96000003814697
2	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 2, 64: 1, 53: 0, 51: 0, 65: 1, 54: 0, 63: 1, 75: 1, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 4, 2: 1, 1: 0, -3: 1, 3: 0, 0: 1}, 'gender': {'Male': 1, 'Female': 9}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 0, 'Educator': 2, 'Business': 3, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 5, -1: 0, 2: 2, -2: 1, -3: 0, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 3, 2: 0, -3: 3, 3: 1, 1: 0, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 6, 3: 2, -1: 1, 1: 1, -2: 0, -3: 0, 0: 0}, 'political_experience': {9: 1, 5: 1, 8: 3, 2: 0, 12: 0, 10: 0, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 1, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 4, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 2}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 1, -2: 0, 1: 1, -1: 1, 2: 5, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 4, 1: 1, 0: 0, -3: 0, -1: 0}, 'party': {'Democrat': 9, 'Republican': 1}}	1566328210318	add_to_committee	oxTwBvZsd5HT	phase_1	p02	120.18500018119812
3	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 2, 64: 1, 53: 0, 51: 0, 65: 1, 54: 0, 63: 1, 75: 1, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 4, 2: 1, 1: 0, -3: 1, 3: 0, 0: 1}, 'gender': {'Male': 1, 'Female': 9}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 0, 'Educator': 2, 'Business': 3, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 5, -1: 0, 2: 2, -2: 1, -3: 0, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 3, 2: 0, -3: 3, 3: 1, 1: 0, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 6, 3: 2, -1: 1, 1: 1, -2: 0, -3: 0, 0: 0}, 'political_experience': {9: 1, 5: 1, 8: 3, 2: 0, 12: 0, 10: 0, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 1, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 4, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 2}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 1, -2: 0, 1: 1, -1: 1, 2: 5, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 4, 1: 1, 0: 0, -3: 0, -1: 0}, 'party': {'Democrat': 9, 'Republican': 1}}	1566328212276	add_to_committee	oxTwBvZsd5HT	phase_1	p28	122.14300012588501
4	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 2, 64: 1, 53: 0, 51: 0, 65: 1, 54: 0, 63: 1, 75: 1, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 4, 2: 1, 1: 0, -3: 1, 3: 0, 0: 1}, 'gender': {'Male': 1, 'Female': 9}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 0, 'Educator': 2, 'Business': 3, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 5, -1: 0, 2: 2, -2: 1, -3: 0, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 3, 2: 0, -3: 3, 3: 1, 1: 0, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 6, 3: 2, -1: 1, 1: 1, -2: 0, -3: 0, 0: 0}, 'political_experience': {9: 1, 5: 1, 8: 3, 2: 0, 12: 0, 10: 0, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 1, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 4, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 2}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 1, -2: 0, 1: 1, -1: 1, 2: 5, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 4, 1: 1, 0: 0, -3: 0, -1: 0}, 'party': {'Democrat': 9, 'Republican': 1}}	1566328223456	add_to_committee	oxTwBvZsd5HT	phase_1	p82	133.3230001926422
5	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 2, 64: 1, 53: 0, 51: 0, 65: 1, 54: 0, 63: 1, 75: 1, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 4, 2: 1, 1: 0, -3: 1, 3: 0, 0: 1}, 'gender': {'Male': 1, 'Female': 9}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 0, 'Educator': 2, 'Business': 3, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 5, -1: 0, 2: 2, -2: 1, -3: 0, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 3, 2: 0, -3: 3, 3: 1, 1: 0, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 6, 3: 2, -1: 1, 1: 1, -2: 0, -3: 0, 0: 0}, 'political_experience': {9: 1, 5: 1, 8: 3, 2: 0, 12: 0, 10: 0, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 1, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 4, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 2}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 1, -2: 0, 1: 1, -1: 1, 2: 5, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 4, 1: 1, 0: 0, -3: 0, -1: 0}, 'party': {'Democrat': 9, 'Republican': 1}}	1566328240389	add_to_committee	oxTwBvZsd5HT	phase_1	p90	150.25600004196167
6	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 2, 64: 1, 53: 0, 51: 0, 65: 1, 54: 0, 63: 1, 75: 1, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 4, 2: 1, 1: 0, -3: 1, 3: 0, 0: 1}, 'gender': {'Male': 1, 'Female': 9}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 0, 'Educator': 2, 'Business': 3, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 5, -1: 0, 2: 2, -2: 1, -3: 0, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 3, 2: 0, -3: 3, 3: 1, 1: 0, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 6, 3: 2, -1: 1, 1: 1, -2: 0, -3: 0, 0: 0}, 'political_experience': {9: 1, 5: 1, 8: 3, 2: 0, 12: 0, 10: 0, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 1, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 4, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 2}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 1, -2: 0, 1: 1, -1: 1, 2: 5, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 4, 1: 1, 0: 0, -3: 0, -1: 0}, 'party': {'Democrat': 9, 'Republican': 1}}	1566328258207	add_to_committee	oxTwBvZsd5HT	phase_1	p65	168.07400012016296
7	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 2, 64: 1, 53: 0, 51: 0, 65: 1, 54: 0, 63: 1, 75: 1, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 4, 2: 1, 1: 0, -3: 1, 3: 0, 0: 1}, 'gender': {'Male': 1, 'Female': 9}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 0, 'Educator': 2, 'Business': 3, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 5, -1: 0, 2: 2, -2: 1, -3: 0, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 3, 2: 0, -3: 3, 3: 1, 1: 0, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 6, 3: 2, -1: 1, 1: 1, -2: 0, -3: 0, 0: 0}, 'political_experience': {9: 1, 5: 1, 8: 3, 2: 0, 12: 0, 10: 0, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 1, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 4, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 2}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 1, -2: 0, 1: 1, -1: 1, 2: 5, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 4, 1: 1, 0: 0, -3: 0, -1: 0}, 'party': {'Democrat': 9, 'Republican': 1}}	1566328259247	add_to_committee	oxTwBvZsd5HT	phase_1	p20	169.114000082016
8	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 2, 64: 1, 53: 0, 51: 0, 65: 1, 54: 0, 63: 1, 75: 1, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 4, 2: 1, 1: 0, -3: 1, 3: 0, 0: 1}, 'gender': {'Male': 1, 'Female': 9}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 0, 'Educator': 2, 'Business': 3, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 5, -1: 0, 2: 2, -2: 1, -3: 0, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 3, 2: 0, -3: 3, 3: 1, 1: 0, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 6, 3: 2, -1: 1, 1: 1, -2: 0, -3: 0, 0: 0}, 'political_experience': {9: 1, 5: 1, 8: 3, 2: 0, 12: 0, 10: 0, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 1, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 4, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 2}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 1, -2: 0, 1: 1, -1: 1, 2: 5, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 4, 1: 1, 0: 0, -3: 0, -1: 0}, 'party': {'Democrat': 9, 'Republican': 1}}	1566328262662	add_to_committee	oxTwBvZsd5HT	phase_1	p24	172.52900004386902
9	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 2, 64: 1, 53: 0, 51: 0, 65: 1, 54: 0, 63: 1, 75: 1, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 4, 2: 1, 1: 0, -3: 1, 3: 0, 0: 1}, 'gender': {'Male': 1, 'Female': 9}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 0, 'Educator': 2, 'Business': 3, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 5, -1: 0, 2: 2, -2: 1, -3: 0, 0: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 3, 2: 0, -3: 3, 3: 1, 1: 0, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 6, 3: 2, -1: 1, 1: 1, -2: 0, -3: 0, 0: 0}, 'political_experience': {9: 1, 5: 1, 8: 3, 2: 0, 12: 0, 10: 0, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 1, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 4, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 2}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 1, -2: 0, 1: 1, -1: 1, 2: 5, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 4, 1: 1, 0: 0, -3: 0, -1: 0}, 'party': {'Democrat': 9, 'Republican': 1}}	1566328265550	add_to_committee	oxTwBvZsd5HT	phase_1	p12	175.4170000553131
