	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'party': {'Democrat': 6, 'Republican': 4}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 5, 'Jewish': 4, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 2, -1: 0, 2: 3, -2: 3, -3: 1, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 2, 'Bachelor Degree': 4, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 1, 'Judge': 0, 'Educator': 0, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 5, 2: 3, 1: 1, -3: 0, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 2, 1: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 2, -1: 2, 1: 1, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 4, 1: 1, 3: 0, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 2, -1: 2, 2: 2, -3: 1}, 'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 3, 53: 0, 51: 0, 65: 1, 54: 0, 63: 0, 75: 1, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 0, 2: 0, 12: 0, 10: 0, 6: 2, 11: 1, 15: 2, 14: 2, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 1, -1: 2, 2: 1, -3: 3, 3: 1, 1: 2, 0: 0}}	1566829097579	add_to_committee	0YhSRQx5Cdp5	phase_1	p90	374.92899990081787
1	{'party': {'Democrat': 6, 'Republican': 4}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 5, 'Jewish': 4, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 2, -1: 0, 2: 3, -2: 3, -3: 1, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 2, 'Bachelor Degree': 4, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 1, 'Judge': 0, 'Educator': 0, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 5, 2: 3, 1: 1, -3: 0, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 2, 1: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 2, -1: 2, 1: 1, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 4, 1: 1, 3: 0, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 2, -1: 2, 2: 2, -3: 1}, 'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 3, 53: 0, 51: 0, 65: 1, 54: 0, 63: 0, 75: 1, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 0, 2: 0, 12: 0, 10: 0, 6: 2, 11: 1, 15: 2, 14: 2, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 1, -1: 2, 2: 1, -3: 3, 3: 1, 1: 2, 0: 0}}	1566829123743	add_to_committee	0YhSRQx5Cdp5	phase_1	p44	401.09299993515015
2	{'party': {'Democrat': 6, 'Republican': 4}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 5, 'Jewish': 4, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 2, -1: 0, 2: 3, -2: 3, -3: 1, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 2, 'Bachelor Degree': 4, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 1, 'Judge': 0, 'Educator': 0, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 5, 2: 3, 1: 1, -3: 0, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 2, 1: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 2, -1: 2, 1: 1, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 4, 1: 1, 3: 0, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 2, -1: 2, 2: 2, -3: 1}, 'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 3, 53: 0, 51: 0, 65: 1, 54: 0, 63: 0, 75: 1, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 0, 2: 0, 12: 0, 10: 0, 6: 2, 11: 1, 15: 2, 14: 2, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 1, -1: 2, 2: 1, -3: 3, 3: 1, 1: 2, 0: 0}}	1566829127287	add_to_committee	0YhSRQx5Cdp5	phase_1	p20	404.63699984550476
3	{'party': {'Democrat': 6, 'Republican': 4}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 5, 'Jewish': 4, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 2, -1: 0, 2: 3, -2: 3, -3: 1, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 2, 'Bachelor Degree': 4, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 1, 'Judge': 0, 'Educator': 0, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 5, 2: 3, 1: 1, -3: 0, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 2, 1: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 2, -1: 2, 1: 1, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 4, 1: 1, 3: 0, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 2, -1: 2, 2: 2, -3: 1}, 'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 3, 53: 0, 51: 0, 65: 1, 54: 0, 63: 0, 75: 1, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 0, 2: 0, 12: 0, 10: 0, 6: 2, 11: 1, 15: 2, 14: 2, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 1, -1: 2, 2: 1, -3: 3, 3: 1, 1: 2, 0: 0}}	1566829164845	add_to_committee	0YhSRQx5Cdp5	phase_1	p02	442.1949999332428
4	{'party': {'Democrat': 6, 'Republican': 4}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 5, 'Jewish': 4, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 2, -1: 0, 2: 3, -2: 3, -3: 1, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 2, 'Bachelor Degree': 4, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 1, 'Judge': 0, 'Educator': 0, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 5, 2: 3, 1: 1, -3: 0, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 2, 1: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 2, -1: 2, 1: 1, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 4, 1: 1, 3: 0, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 2, -1: 2, 2: 2, -3: 1}, 'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 3, 53: 0, 51: 0, 65: 1, 54: 0, 63: 0, 75: 1, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 0, 2: 0, 12: 0, 10: 0, 6: 2, 11: 1, 15: 2, 14: 2, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 1, -1: 2, 2: 1, -3: 3, 3: 1, 1: 2, 0: 0}}	1566829266509	add_to_committee	0YhSRQx5Cdp5	phase_1	p23	543.8589999675751
5	{'party': {'Democrat': 6, 'Republican': 4}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 5, 'Jewish': 4, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 2, -1: 0, 2: 3, -2: 3, -3: 1, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 2, 'Bachelor Degree': 4, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 1, 'Judge': 0, 'Educator': 0, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 5, 2: 3, 1: 1, -3: 0, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 2, 1: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 2, -1: 2, 1: 1, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 4, 1: 1, 3: 0, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 2, -1: 2, 2: 2, -3: 1}, 'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 3, 53: 0, 51: 0, 65: 1, 54: 0, 63: 0, 75: 1, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 0, 2: 0, 12: 0, 10: 0, 6: 2, 11: 1, 15: 2, 14: 2, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 1, -1: 2, 2: 1, -3: 3, 3: 1, 1: 2, 0: 0}}	1566829276428	add_to_committee	0YhSRQx5Cdp5	phase_1	p69	553.7779998779297
6	{'party': {'Democrat': 6, 'Republican': 4}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 5, 'Jewish': 4, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 2, -1: 0, 2: 3, -2: 3, -3: 1, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 2, 'Bachelor Degree': 4, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 1, 'Judge': 0, 'Educator': 0, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 5, 2: 3, 1: 1, -3: 0, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 2, 1: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 2, -1: 2, 1: 1, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 4, 1: 1, 3: 0, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 2, -1: 2, 2: 2, -3: 1}, 'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 3, 53: 0, 51: 0, 65: 1, 54: 0, 63: 0, 75: 1, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 0, 2: 0, 12: 0, 10: 0, 6: 2, 11: 1, 15: 2, 14: 2, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 1, -1: 2, 2: 1, -3: 3, 3: 1, 1: 2, 0: 0}}	1566829289753	add_to_committee	0YhSRQx5Cdp5	phase_1	p72	567.1029999256134
7	{'party': {'Democrat': 6, 'Republican': 4}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 5, 'Jewish': 4, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 2, -1: 0, 2: 3, -2: 3, -3: 1, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 2, 'Bachelor Degree': 4, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 1, 'Judge': 0, 'Educator': 0, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 5, 2: 3, 1: 1, -3: 0, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 2, 1: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 2, -1: 2, 1: 1, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 4, 1: 1, 3: 0, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 2, -1: 2, 2: 2, -3: 1}, 'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 3, 53: 0, 51: 0, 65: 1, 54: 0, 63: 0, 75: 1, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 0, 2: 0, 12: 0, 10: 0, 6: 2, 11: 1, 15: 2, 14: 2, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 1, -1: 2, 2: 1, -3: 3, 3: 1, 1: 2, 0: 0}}	1566829291563	add_to_committee	0YhSRQx5Cdp5	phase_1	p40	568.912999868393
8	{'party': {'Democrat': 6, 'Republican': 4}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 5, 'Jewish': 4, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 2, -1: 0, 2: 3, -2: 3, -3: 1, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 2, 'Bachelor Degree': 4, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 1, 'Judge': 0, 'Educator': 0, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 5, 2: 3, 1: 1, -3: 0, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 2, 1: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 2, -1: 2, 1: 1, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 4, 1: 1, 3: 0, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 2, -1: 2, 2: 2, -3: 1}, 'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 3, 53: 0, 51: 0, 65: 1, 54: 0, 63: 0, 75: 1, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 0, 2: 0, 12: 0, 10: 0, 6: 2, 11: 1, 15: 2, 14: 2, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 1, -1: 2, 2: 1, -3: 3, 3: 1, 1: 2, 0: 0}}	1566829331219	add_to_committee	0YhSRQx5Cdp5	phase_1	p91	608.569000005722
9	{'party': {'Democrat': 6, 'Republican': 4}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 5, 'Jewish': 4, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 2, -1: 0, 2: 3, -2: 3, -3: 1, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 2, 'Bachelor Degree': 4, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 1, 'Judge': 0, 'Educator': 0, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 5, 2: 3, 1: 1, -3: 0, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 2, 1: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 2, -1: 2, 1: 1, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 4, 1: 1, 3: 0, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 2, -1: 2, 2: 2, -3: 1}, 'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 3, 53: 0, 51: 0, 65: 1, 54: 0, 63: 0, 75: 1, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 0, 2: 0, 12: 0, 10: 0, 6: 2, 11: 1, 15: 2, 14: 2, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 1, -1: 2, 2: 1, -3: 3, 3: 1, 1: 2, 0: 0}}	1566829426287	remove_from_committee	0YhSRQx5Cdp5	phase_1	p91	703.6369998455048
