	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 2, -1: 0, 2: 4, -2: 1, -3: 1, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 1, 'Lawyer': 1, 'Judge': 0, 'Educator': 2, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 1, 2: 2, 1: 0, -3: 4, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 4, 1: 1, 0: 0, -3: 0, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 6, 3: 1, -1: 1, 1: 1, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 1, 3: 1, 0: 2, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 1, 1: 1, -1: 1, 2: 5, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 1, 61: 2, 64: 1, 53: 1, 51: 1, 65: 1, 54: 0, 63: 0, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 3, 5: 0, 8: 3, 2: 0, 12: 1, 10: 0, 6: 0, 11: 1, 15: 0, 14: 1, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 1, 2: 0, -3: 2, 3: 1, 1: 1, 0: 0}}	1567021124590	add_to_committee	5iOVxCAHC8yo	phase_1	p24	602.327999830246
1	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 2, -1: 0, 2: 4, -2: 1, -3: 1, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 1, 'Lawyer': 1, 'Judge': 0, 'Educator': 2, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 1, 2: 2, 1: 0, -3: 4, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 4, 1: 1, 0: 0, -3: 0, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 6, 3: 1, -1: 1, 1: 1, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 1, 3: 1, 0: 2, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 1, 1: 1, -1: 1, 2: 5, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 1, 61: 2, 64: 1, 53: 1, 51: 1, 65: 1, 54: 0, 63: 0, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 3, 5: 0, 8: 3, 2: 0, 12: 1, 10: 0, 6: 0, 11: 1, 15: 0, 14: 1, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 1, 2: 0, -3: 2, 3: 1, 1: 1, 0: 0}}	1567021147254	add_to_committee	5iOVxCAHC8yo	phase_1	p78	624.9919998645782
2	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 2, -1: 0, 2: 4, -2: 1, -3: 1, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 1, 'Lawyer': 1, 'Judge': 0, 'Educator': 2, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 1, 2: 2, 1: 0, -3: 4, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 4, 1: 1, 0: 0, -3: 0, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 6, 3: 1, -1: 1, 1: 1, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 1, 3: 1, 0: 2, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 1, 1: 1, -1: 1, 2: 5, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 1, 61: 2, 64: 1, 53: 1, 51: 1, 65: 1, 54: 0, 63: 0, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 3, 5: 0, 8: 3, 2: 0, 12: 1, 10: 0, 6: 0, 11: 1, 15: 0, 14: 1, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 1, 2: 0, -3: 2, 3: 1, 1: 1, 0: 0}}	1567021218159	add_to_committee	5iOVxCAHC8yo	phase_1	p12	695.896999835968
3	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 2, -1: 0, 2: 4, -2: 1, -3: 1, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 1, 'Lawyer': 1, 'Judge': 0, 'Educator': 2, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 1, 2: 2, 1: 0, -3: 4, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 4, 1: 1, 0: 0, -3: 0, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 6, 3: 1, -1: 1, 1: 1, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 1, 3: 1, 0: 2, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 1, 1: 1, -1: 1, 2: 5, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 1, 61: 2, 64: 1, 53: 1, 51: 1, 65: 1, 54: 0, 63: 0, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 3, 5: 0, 8: 3, 2: 0, 12: 1, 10: 0, 6: 0, 11: 1, 15: 0, 14: 1, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 1, 2: 0, -3: 2, 3: 1, 1: 1, 0: 0}}	1567021227343	add_to_committee	5iOVxCAHC8yo	phase_1	p07	705.0809998512268
4	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 2, -1: 0, 2: 4, -2: 1, -3: 1, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 1, 'Lawyer': 1, 'Judge': 0, 'Educator': 2, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 1, 2: 2, 1: 0, -3: 4, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 4, 1: 1, 0: 0, -3: 0, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 6, 3: 1, -1: 1, 1: 1, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 1, 3: 1, 0: 2, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 1, 1: 1, -1: 1, 2: 5, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 1, 61: 2, 64: 1, 53: 1, 51: 1, 65: 1, 54: 0, 63: 0, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 3, 5: 0, 8: 3, 2: 0, 12: 1, 10: 0, 6: 0, 11: 1, 15: 0, 14: 1, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 1, 2: 0, -3: 2, 3: 1, 1: 1, 0: 0}}	1567021244959	add_to_committee	5iOVxCAHC8yo	phase_1	p81	722.6970000267029
5	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 2, -1: 0, 2: 4, -2: 1, -3: 1, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 1, 'Lawyer': 1, 'Judge': 0, 'Educator': 2, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 1, 2: 2, 1: 0, -3: 4, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 4, 1: 1, 0: 0, -3: 0, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 6, 3: 1, -1: 1, 1: 1, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 1, 3: 1, 0: 2, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 1, 1: 1, -1: 1, 2: 5, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 1, 61: 2, 64: 1, 53: 1, 51: 1, 65: 1, 54: 0, 63: 0, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 3, 5: 0, 8: 3, 2: 0, 12: 1, 10: 0, 6: 0, 11: 1, 15: 0, 14: 1, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 1, 2: 0, -3: 2, 3: 1, 1: 1, 0: 0}}	1567021249950	add_to_committee	5iOVxCAHC8yo	phase_1	p30	727.6879999637604
6	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 2, -1: 0, 2: 4, -2: 1, -3: 1, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 1, 'Lawyer': 1, 'Judge': 0, 'Educator': 2, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 1, 2: 2, 1: 0, -3: 4, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 4, 1: 1, 0: 0, -3: 0, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 6, 3: 1, -1: 1, 1: 1, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 1, 3: 1, 0: 2, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 1, 1: 1, -1: 1, 2: 5, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 1, 61: 2, 64: 1, 53: 1, 51: 1, 65: 1, 54: 0, 63: 0, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 3, 5: 0, 8: 3, 2: 0, 12: 1, 10: 0, 6: 0, 11: 1, 15: 0, 14: 1, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 1, 2: 0, -3: 2, 3: 1, 1: 1, 0: 0}}	1567021299391	add_to_committee	5iOVxCAHC8yo	phase_1	p57	777.1289999485016
7	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 2, -1: 0, 2: 4, -2: 1, -3: 1, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 1, 'Lawyer': 1, 'Judge': 0, 'Educator': 2, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 1, 2: 2, 1: 0, -3: 4, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 4, 1: 1, 0: 0, -3: 0, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 6, 3: 1, -1: 1, 1: 1, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 1, 3: 1, 0: 2, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 1, 1: 1, -1: 1, 2: 5, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 1, 61: 2, 64: 1, 53: 1, 51: 1, 65: 1, 54: 0, 63: 0, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 3, 5: 0, 8: 3, 2: 0, 12: 1, 10: 0, 6: 0, 11: 1, 15: 0, 14: 1, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 1, 2: 0, -3: 2, 3: 1, 1: 1, 0: 0}}	1567021449826	add_to_committee	5iOVxCAHC8yo	phase_1	p90	927.5639998912811
8	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 2, -1: 0, 2: 4, -2: 1, -3: 1, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 1, 'Lawyer': 1, 'Judge': 0, 'Educator': 2, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 1, 2: 2, 1: 0, -3: 4, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 4, 1: 1, 0: 0, -3: 0, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 6, 3: 1, -1: 1, 1: 1, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 1, 3: 1, 0: 2, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 1, 1: 1, -1: 1, 2: 5, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 1, 61: 2, 64: 1, 53: 1, 51: 1, 65: 1, 54: 0, 63: 0, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 3, 5: 0, 8: 3, 2: 0, 12: 1, 10: 0, 6: 0, 11: 1, 15: 0, 14: 1, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 1, 2: 0, -3: 2, 3: 1, 1: 1, 0: 0}}	1567021462792	add_to_committee	5iOVxCAHC8yo	phase_1	p66	940.5299999713898
9	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 2, -1: 0, 2: 4, -2: 1, -3: 1, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 1, 'Lawyer': 1, 'Judge': 0, 'Educator': 2, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 1, 2: 2, 1: 0, -3: 4, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 4, 1: 1, 0: 0, -3: 0, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 6, 3: 1, -1: 1, 1: 1, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 1, 3: 1, 0: 2, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 1, 1: 1, -1: 1, 2: 5, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 1, 61: 2, 64: 1, 53: 1, 51: 1, 65: 1, 54: 0, 63: 0, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 3, 5: 0, 8: 3, 2: 0, 12: 1, 10: 0, 6: 0, 11: 1, 15: 0, 14: 1, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 1, 2: 0, -3: 2, 3: 1, 1: 1, 0: 0}}	1567021475185	add_to_committee	5iOVxCAHC8yo	phase_1	p65	952.9229998588562
