	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 4, -1: 0, 2: 3, -2: 1, -3: 1, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 4, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 5, 2: 1, 1: 1, -3: 1, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 0, 2: 3, 1: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 1, -1: 0, 1: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 1, 3: 2, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 1, -2: 0, 1: 1, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 1, 64: 1, 53: 0, 51: 0, 65: 2, 54: 1, 63: 1, 75: 1, 76: 0, 74: 1, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 2, 2: 0, 12: 0, 10: 1, 6: 2, 11: 0, 15: 1, 14: 1, 7: 0, 3: 0, 13: 0, 18: 0, 4: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 2, 2: 0, -3: 3, 3: 0, 1: 2, 0: 0}}	1566836256946	add_to_committee	6XiVahmAR94D	phase_1	p44	268.67900013923645
1	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 4, -1: 0, 2: 3, -2: 1, -3: 1, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 4, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 5, 2: 1, 1: 1, -3: 1, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 0, 2: 3, 1: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 1, -1: 0, 1: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 1, 3: 2, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 1, -2: 0, 1: 1, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 1, 64: 1, 53: 0, 51: 0, 65: 2, 54: 1, 63: 1, 75: 1, 76: 0, 74: 1, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 2, 2: 0, 12: 0, 10: 1, 6: 2, 11: 0, 15: 1, 14: 1, 7: 0, 3: 0, 13: 0, 18: 0, 4: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 2, 2: 0, -3: 3, 3: 0, 1: 2, 0: 0}}	1566836271523	add_to_committee	6XiVahmAR94D	phase_1	p12	283.25600004196167
2	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 4, -1: 0, 2: 3, -2: 1, -3: 1, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 4, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 5, 2: 1, 1: 1, -3: 1, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 0, 2: 3, 1: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 1, -1: 0, 1: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 1, 3: 2, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 1, -2: 0, 1: 1, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 1, 64: 1, 53: 0, 51: 0, 65: 2, 54: 1, 63: 1, 75: 1, 76: 0, 74: 1, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 2, 2: 0, 12: 0, 10: 1, 6: 2, 11: 0, 15: 1, 14: 1, 7: 0, 3: 0, 13: 0, 18: 0, 4: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 2, 2: 0, -3: 3, 3: 0, 1: 2, 0: 0}}	1566836275371	add_to_committee	6XiVahmAR94D	phase_1	p20	287.10400009155273
3	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 4, -1: 0, 2: 3, -2: 1, -3: 1, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 4, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 5, 2: 1, 1: 1, -3: 1, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 0, 2: 3, 1: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 1, -1: 0, 1: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 1, 3: 2, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 1, -2: 0, 1: 1, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 1, 64: 1, 53: 0, 51: 0, 65: 2, 54: 1, 63: 1, 75: 1, 76: 0, 74: 1, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 2, 2: 0, 12: 0, 10: 1, 6: 2, 11: 0, 15: 1, 14: 1, 7: 0, 3: 0, 13: 0, 18: 0, 4: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 2, 2: 0, -3: 3, 3: 0, 1: 2, 0: 0}}	1566836288443	add_to_committee	6XiVahmAR94D	phase_1	p28	300.1760001182556
4	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 4, -1: 0, 2: 3, -2: 1, -3: 1, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 4, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 5, 2: 1, 1: 1, -3: 1, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 0, 2: 3, 1: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 1, -1: 0, 1: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 1, 3: 2, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 1, -2: 0, 1: 1, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 1, 64: 1, 53: 0, 51: 0, 65: 2, 54: 1, 63: 1, 75: 1, 76: 0, 74: 1, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 2, 2: 0, 12: 0, 10: 1, 6: 2, 11: 0, 15: 1, 14: 1, 7: 0, 3: 0, 13: 0, 18: 0, 4: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 2, 2: 0, -3: 3, 3: 0, 1: 2, 0: 0}}	1566836299828	add_to_committee	6XiVahmAR94D	phase_1	p66	311.5610001087189
5	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 4, -1: 0, 2: 3, -2: 1, -3: 1, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 4, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 5, 2: 1, 1: 1, -3: 1, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 0, 2: 3, 1: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 1, -1: 0, 1: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 1, 3: 2, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 1, -2: 0, 1: 1, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 1, 64: 1, 53: 0, 51: 0, 65: 2, 54: 1, 63: 1, 75: 1, 76: 0, 74: 1, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 2, 2: 0, 12: 0, 10: 1, 6: 2, 11: 0, 15: 1, 14: 1, 7: 0, 3: 0, 13: 0, 18: 0, 4: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 2, 2: 0, -3: 3, 3: 0, 1: 2, 0: 0}}	1566836304916	add_to_committee	6XiVahmAR94D	phase_1	p02	316.6489999294281
6	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 4, -1: 0, 2: 3, -2: 1, -3: 1, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 4, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 5, 2: 1, 1: 1, -3: 1, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 0, 2: 3, 1: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 1, -1: 0, 1: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 1, 3: 2, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 1, -2: 0, 1: 1, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 1, 64: 1, 53: 0, 51: 0, 65: 2, 54: 1, 63: 1, 75: 1, 76: 0, 74: 1, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 2, 2: 0, 12: 0, 10: 1, 6: 2, 11: 0, 15: 1, 14: 1, 7: 0, 3: 0, 13: 0, 18: 0, 4: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 2, 2: 0, -3: 3, 3: 0, 1: 2, 0: 0}}	1566836332052	add_to_committee	6XiVahmAR94D	phase_1	p84	343.7850000858307
7	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 4, -1: 0, 2: 3, -2: 1, -3: 1, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 4, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 5, 2: 1, 1: 1, -3: 1, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 0, 2: 3, 1: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 1, -1: 0, 1: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 1, 3: 2, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 1, -2: 0, 1: 1, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 1, 64: 1, 53: 0, 51: 0, 65: 2, 54: 1, 63: 1, 75: 1, 76: 0, 74: 1, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 2, 2: 0, 12: 0, 10: 1, 6: 2, 11: 0, 15: 1, 14: 1, 7: 0, 3: 0, 13: 0, 18: 0, 4: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 2, 2: 0, -3: 3, 3: 0, 1: 2, 0: 0}}	1566836336892	add_to_committee	6XiVahmAR94D	phase_1	p58	348.625
8	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 4, -1: 0, 2: 3, -2: 1, -3: 1, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 4, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 5, 2: 1, 1: 1, -3: 1, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 0, 2: 3, 1: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 1, -1: 0, 1: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 1, 3: 2, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 1, -2: 0, 1: 1, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 1, 64: 1, 53: 0, 51: 0, 65: 2, 54: 1, 63: 1, 75: 1, 76: 0, 74: 1, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 2, 2: 0, 12: 0, 10: 1, 6: 2, 11: 0, 15: 1, 14: 1, 7: 0, 3: 0, 13: 0, 18: 0, 4: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 2, 2: 0, -3: 3, 3: 0, 1: 2, 0: 0}}	1566836345709	add_to_committee	6XiVahmAR94D	phase_1	p24	357.44200015068054
9	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 4, -1: 0, 2: 3, -2: 1, -3: 1, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 4, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 5, 2: 1, 1: 1, -3: 1, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 0, 2: 3, 1: 1, 0: 1, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 1, -1: 0, 1: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 1, 3: 2, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 1, -2: 0, 1: 1, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 1, 64: 1, 53: 0, 51: 0, 65: 2, 54: 1, 63: 1, 75: 1, 76: 0, 74: 1, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 2, 2: 0, 12: 0, 10: 1, 6: 2, 11: 0, 15: 1, 14: 1, 7: 0, 3: 0, 13: 0, 18: 0, 4: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 2, 2: 0, -3: 3, 3: 0, 1: 2, 0: 0}}	1566836352406	add_to_committee	6XiVahmAR94D	phase_1	p78	364.13899993896484
