	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'party': {'Democrat': 8, 'Republican': 3}, 'gender': {'Male': 5, 'Female': 6}, 'religion': {'Christian': 5, 'Jewish': 2, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 6, -1: 1, 2: 2, -2: 2, -3: 0, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 2, 'Law Degree': 1, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 2, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 1, 'Educator': 3, 'Business': 3, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 4, -2: 3, 2: 1, 1: 1, -3: 0, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 1, 2: 4, 1: 1, 0: 1, -3: 1, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 3, -1: 2, 1: 2, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 5, -2: 2, 1: 1, 3: 0, 0: 3, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 1, -1: 2, 2: 5, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 2, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 1, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 2, 2: 0, 12: 0, 10: 1, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 1, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 2, 2: 1, -3: 0, 3: 1, 1: 1, 0: 1}}	1566569470463	add_to_committee	8oiaPu0yRfxr	phase_1	p52	2.763000011444092
1	{'party': {'Democrat': 8, 'Republican': 3}, 'gender': {'Male': 5, 'Female': 6}, 'religion': {'Christian': 5, 'Jewish': 2, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 6, -1: 1, 2: 2, -2: 2, -3: 0, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 2, 'Law Degree': 1, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 2, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 1, 'Educator': 3, 'Business': 3, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 4, -2: 3, 2: 1, 1: 1, -3: 0, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 1, 2: 4, 1: 1, 0: 1, -3: 1, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 3, -1: 2, 1: 2, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 5, -2: 2, 1: 1, 3: 0, 0: 3, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 1, -1: 2, 2: 5, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 2, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 1, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 2, 2: 0, 12: 0, 10: 1, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 1, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 2, 2: 1, -3: 0, 3: 1, 1: 1, 0: 1}}	1566569537987	add_to_committee	8oiaPu0yRfxr	phase_1	p59	70.28699994087219
2	{'party': {'Democrat': 8, 'Republican': 3}, 'gender': {'Male': 5, 'Female': 6}, 'religion': {'Christian': 5, 'Jewish': 2, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 6, -1: 1, 2: 2, -2: 2, -3: 0, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 2, 'Law Degree': 1, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 2, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 1, 'Educator': 3, 'Business': 3, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 4, -2: 3, 2: 1, 1: 1, -3: 0, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 1, 2: 4, 1: 1, 0: 1, -3: 1, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 3, -1: 2, 1: 2, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 5, -2: 2, 1: 1, 3: 0, 0: 3, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 1, -1: 2, 2: 5, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 2, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 1, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 2, 2: 0, 12: 0, 10: 1, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 1, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 2, 2: 1, -3: 0, 3: 1, 1: 1, 0: 1}}	1566569553046	remove_from_committee	8oiaPu0yRfxr	phase_1	p59	85.34599995613098
3	{'party': {'Democrat': 8, 'Republican': 3}, 'gender': {'Male': 5, 'Female': 6}, 'religion': {'Christian': 5, 'Jewish': 2, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 6, -1: 1, 2: 2, -2: 2, -3: 0, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 2, 'Law Degree': 1, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 2, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 1, 'Educator': 3, 'Business': 3, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 4, -2: 3, 2: 1, 1: 1, -3: 0, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 1, 2: 4, 1: 1, 0: 1, -3: 1, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 3, -1: 2, 1: 2, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 5, -2: 2, 1: 1, 3: 0, 0: 3, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 1, -1: 2, 2: 5, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 2, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 1, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 2, 2: 0, 12: 0, 10: 1, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 1, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 2, 2: 1, -3: 0, 3: 1, 1: 1, 0: 1}}	1566569554662	add_to_committee	8oiaPu0yRfxr	phase_1	p33	86.96199989318848
4	{'party': {'Democrat': 8, 'Republican': 3}, 'gender': {'Male': 5, 'Female': 6}, 'religion': {'Christian': 5, 'Jewish': 2, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 6, -1: 1, 2: 2, -2: 2, -3: 0, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 2, 'Law Degree': 1, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 2, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 1, 'Educator': 3, 'Business': 3, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 4, -2: 3, 2: 1, 1: 1, -3: 0, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 1, 2: 4, 1: 1, 0: 1, -3: 1, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 3, -1: 2, 1: 2, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 5, -2: 2, 1: 1, 3: 0, 0: 3, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 1, -1: 2, 2: 5, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 2, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 1, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 2, 2: 0, 12: 0, 10: 1, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 1, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 2, 2: 1, -3: 0, 3: 1, 1: 1, 0: 1}}	1566569564883	remove_from_committee	8oiaPu0yRfxr	phase_1	p33	97.18299984931946
5	{'party': {'Democrat': 8, 'Republican': 3}, 'gender': {'Male': 5, 'Female': 6}, 'religion': {'Christian': 5, 'Jewish': 2, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 6, -1: 1, 2: 2, -2: 2, -3: 0, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 2, 'Law Degree': 1, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 2, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 1, 'Educator': 3, 'Business': 3, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 4, -2: 3, 2: 1, 1: 1, -3: 0, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 1, 2: 4, 1: 1, 0: 1, -3: 1, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 3, -1: 2, 1: 2, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 5, -2: 2, 1: 1, 3: 0, 0: 3, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 1, -1: 2, 2: 5, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 2, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 1, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 2, 2: 0, 12: 0, 10: 1, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 1, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 2, 2: 1, -3: 0, 3: 1, 1: 1, 0: 1}}	1566569575599	add_to_committee	8oiaPu0yRfxr	phase_1	p100	107.8989999294281
6	{'party': {'Democrat': 8, 'Republican': 3}, 'gender': {'Male': 5, 'Female': 6}, 'religion': {'Christian': 5, 'Jewish': 2, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 6, -1: 1, 2: 2, -2: 2, -3: 0, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 2, 'Law Degree': 1, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 2, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 1, 'Educator': 3, 'Business': 3, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 4, -2: 3, 2: 1, 1: 1, -3: 0, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 1, 2: 4, 1: 1, 0: 1, -3: 1, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 3, -1: 2, 1: 2, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 5, -2: 2, 1: 1, 3: 0, 0: 3, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 1, -1: 2, 2: 5, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 2, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 1, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 2, 2: 0, 12: 0, 10: 1, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 1, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 2, 2: 1, -3: 0, 3: 1, 1: 1, 0: 1}}	1566569576734	add_to_committee	8oiaPu0yRfxr	phase_1	p100	109.03399991989136
7	{'party': {'Democrat': 8, 'Republican': 3}, 'gender': {'Male': 5, 'Female': 6}, 'religion': {'Christian': 5, 'Jewish': 2, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 6, -1: 1, 2: 2, -2: 2, -3: 0, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 2, 'Law Degree': 1, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 2, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 1, 'Educator': 3, 'Business': 3, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 4, -2: 3, 2: 1, 1: 1, -3: 0, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 1, 2: 4, 1: 1, 0: 1, -3: 1, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 3, -1: 2, 1: 2, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 5, -2: 2, 1: 1, 3: 0, 0: 3, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 1, -1: 2, 2: 5, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 2, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 1, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 2, 2: 0, 12: 0, 10: 1, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 1, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 2, 2: 1, -3: 0, 3: 1, 1: 1, 0: 1}}	1566569602247	remove_from_committee	8oiaPu0yRfxr	phase_1	p100	134.54699993133545
8	{'party': {'Democrat': 8, 'Republican': 3}, 'gender': {'Male': 5, 'Female': 6}, 'religion': {'Christian': 5, 'Jewish': 2, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 6, -1: 1, 2: 2, -2: 2, -3: 0, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 2, 'Law Degree': 1, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 2, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 1, 'Educator': 3, 'Business': 3, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 4, -2: 3, 2: 1, 1: 1, -3: 0, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 1, 2: 4, 1: 1, 0: 1, -3: 1, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 3, -1: 2, 1: 2, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 5, -2: 2, 1: 1, 3: 0, 0: 3, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 1, -1: 2, 2: 5, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 2, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 1, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 2, 2: 0, 12: 0, 10: 1, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 1, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 2, 2: 1, -3: 0, 3: 1, 1: 1, 0: 1}}	1566569625924	add_to_committee	8oiaPu0yRfxr	phase_1	p02	158.22399997711182
9	{'party': {'Democrat': 8, 'Republican': 3}, 'gender': {'Male': 5, 'Female': 6}, 'religion': {'Christian': 5, 'Jewish': 2, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 6, -1: 1, 2: 2, -2: 2, -3: 0, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 2, 'Law Degree': 1, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 2, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 1, 'Educator': 3, 'Business': 3, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 4, -2: 3, 2: 1, 1: 1, -3: 0, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 1, 2: 4, 1: 1, 0: 1, -3: 1, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 3, -1: 2, 1: 2, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 5, -2: 2, 1: 1, 3: 0, 0: 3, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 1, -1: 2, 2: 5, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 2, 53: 0, 51: 1, 65: 0, 54: 0, 63: 1, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 1, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 1, 8: 2, 2: 0, 12: 0, 10: 1, 6: 1, 11: 1, 15: 0, 14: 1, 7: 1, 3: 1, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 2, 2: 1, -3: 0, 3: 1, 1: 1, 0: 1}}	1566569649072	add_to_committee	8oiaPu0yRfxr	phase_1	p54	181.37199997901917
