	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 9, 'Female': 1}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 3, -1: 0, 2: 0, -2: 3, -3: 2, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 5, 'Lawyer': 0, 'Judge': 3, 'Educator': 0, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 4, -2: 1, 2: 1, 1: 4, -3: 0, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 2, -3: 1, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 0, -1: 2, 1: 1, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 2, 1: 3, 3: 0, 0: 2, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 3, 1: 2, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 1, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 0, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 1, 60: 1, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 0, 8: 1, 2: 0, 12: 4, 10: 1, 6: 0, 11: 0, 15: 0, 14: 1, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 2, 2: 1, -3: 0, 3: 1, 1: 2, 0: 1}}	1566846902965	add_to_committee	QBeuqPWNLnaC	phase_1	p52	39.59699988365173
1	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 9, 'Female': 1}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 3, -1: 0, 2: 0, -2: 3, -3: 2, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 5, 'Lawyer': 0, 'Judge': 3, 'Educator': 0, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 4, -2: 1, 2: 1, 1: 4, -3: 0, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 2, -3: 1, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 0, -1: 2, 1: 1, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 2, 1: 3, 3: 0, 0: 2, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 3, 1: 2, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 1, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 0, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 1, 60: 1, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 0, 8: 1, 2: 0, 12: 4, 10: 1, 6: 0, 11: 0, 15: 0, 14: 1, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 2, 2: 1, -3: 0, 3: 1, 1: 2, 0: 1}}	1566847028424	add_to_committee	QBeuqPWNLnaC	phase_1	p69	165.05599999427795
2	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 9, 'Female': 1}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 3, -1: 0, 2: 0, -2: 3, -3: 2, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 5, 'Lawyer': 0, 'Judge': 3, 'Educator': 0, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 4, -2: 1, 2: 1, 1: 4, -3: 0, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 2, -3: 1, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 0, -1: 2, 1: 1, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 2, 1: 3, 3: 0, 0: 2, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 3, 1: 2, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 1, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 0, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 1, 60: 1, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 0, 8: 1, 2: 0, 12: 4, 10: 1, 6: 0, 11: 0, 15: 0, 14: 1, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 2, 2: 1, -3: 0, 3: 1, 1: 2, 0: 1}}	1566847192638	add_to_committee	QBeuqPWNLnaC	phase_1	p60	329.2699999809265
3	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 9, 'Female': 1}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 3, -1: 0, 2: 0, -2: 3, -3: 2, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 5, 'Lawyer': 0, 'Judge': 3, 'Educator': 0, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 4, -2: 1, 2: 1, 1: 4, -3: 0, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 2, -3: 1, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 0, -1: 2, 1: 1, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 2, 1: 3, 3: 0, 0: 2, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 3, 1: 2, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 1, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 0, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 1, 60: 1, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 0, 8: 1, 2: 0, 12: 4, 10: 1, 6: 0, 11: 0, 15: 0, 14: 1, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 2, 2: 1, -3: 0, 3: 1, 1: 2, 0: 1}}	1566847194302	add_to_committee	QBeuqPWNLnaC	phase_1	p97	330.9340000152588
4	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 9, 'Female': 1}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 3, -1: 0, 2: 0, -2: 3, -3: 2, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 5, 'Lawyer': 0, 'Judge': 3, 'Educator': 0, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 4, -2: 1, 2: 1, 1: 4, -3: 0, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 2, -3: 1, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 0, -1: 2, 1: 1, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 2, 1: 3, 3: 0, 0: 2, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 3, 1: 2, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 1, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 0, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 1, 60: 1, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 0, 8: 1, 2: 0, 12: 4, 10: 1, 6: 0, 11: 0, 15: 0, 14: 1, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 2, 2: 1, -3: 0, 3: 1, 1: 2, 0: 1}}	1566847265210	add_to_committee	QBeuqPWNLnaC	phase_1	p66	401.8420000076294
5	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 9, 'Female': 1}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 3, -1: 0, 2: 0, -2: 3, -3: 2, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 5, 'Lawyer': 0, 'Judge': 3, 'Educator': 0, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 4, -2: 1, 2: 1, 1: 4, -3: 0, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 2, -3: 1, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 0, -1: 2, 1: 1, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 2, 1: 3, 3: 0, 0: 2, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 3, 1: 2, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 1, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 0, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 1, 60: 1, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 0, 8: 1, 2: 0, 12: 4, 10: 1, 6: 0, 11: 0, 15: 0, 14: 1, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 2, 2: 1, -3: 0, 3: 1, 1: 2, 0: 1}}	1566847267099	add_to_committee	QBeuqPWNLnaC	phase_1	p06	403.73099994659424
6	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 9, 'Female': 1}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 3, -1: 0, 2: 0, -2: 3, -3: 2, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 5, 'Lawyer': 0, 'Judge': 3, 'Educator': 0, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 4, -2: 1, 2: 1, 1: 4, -3: 0, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 2, -3: 1, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 0, -1: 2, 1: 1, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 2, 1: 3, 3: 0, 0: 2, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 3, 1: 2, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 1, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 0, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 1, 60: 1, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 0, 8: 1, 2: 0, 12: 4, 10: 1, 6: 0, 11: 0, 15: 0, 14: 1, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 2, 2: 1, -3: 0, 3: 1, 1: 2, 0: 1}}	1566847461279	add_to_committee	QBeuqPWNLnaC	phase_1	p53	597.9110000133514
7	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 9, 'Female': 1}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 3, -1: 0, 2: 0, -2: 3, -3: 2, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 5, 'Lawyer': 0, 'Judge': 3, 'Educator': 0, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 4, -2: 1, 2: 1, 1: 4, -3: 0, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 2, -3: 1, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 0, -1: 2, 1: 1, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 2, 1: 3, 3: 0, 0: 2, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 3, 1: 2, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 1, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 0, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 1, 60: 1, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 0, 8: 1, 2: 0, 12: 4, 10: 1, 6: 0, 11: 0, 15: 0, 14: 1, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 2, 2: 1, -3: 0, 3: 1, 1: 2, 0: 1}}	1566847462574	add_to_committee	QBeuqPWNLnaC	phase_1	p38	599.2059998512268
8	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 9, 'Female': 1}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 3, -1: 0, 2: 0, -2: 3, -3: 2, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 5, 'Lawyer': 0, 'Judge': 3, 'Educator': 0, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 4, -2: 1, 2: 1, 1: 4, -3: 0, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 2, -3: 1, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 0, -1: 2, 1: 1, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 2, 1: 3, 3: 0, 0: 2, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 3, 1: 2, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 1, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 0, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 1, 60: 1, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 0, 8: 1, 2: 0, 12: 4, 10: 1, 6: 0, 11: 0, 15: 0, 14: 1, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 2, 2: 1, -3: 0, 3: 1, 1: 2, 0: 1}}	1566847490014	add_to_committee	QBeuqPWNLnaC	phase_1	p71	626.6459999084473
9	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 9, 'Female': 1}, 'religion': {'Christian': 7, 'Jewish': 1, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 3, -1: 0, 2: 0, -2: 3, -3: 2, 0: 0}, 'education': {'Master Degree': 4, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 5, 'Lawyer': 0, 'Judge': 3, 'Educator': 0, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 4, -2: 1, 2: 1, 1: 4, -3: 0, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 2, -3: 1, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 0, -1: 2, 1: 1, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 2, 1: 3, 3: 0, 0: 2, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 3, 1: 2, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 1, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 0, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 1, 60: 1, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 0, 8: 1, 2: 0, 12: 4, 10: 1, 6: 0, 11: 0, 15: 0, 14: 1, 7: 0, 3: 0, 13: 0, 18: 1, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 2, 2: 1, -3: 0, 3: 1, 1: 2, 0: 1}}	1566847492902	add_to_committee	QBeuqPWNLnaC	phase_1	p95	629.5339999198914
