	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'party': {'Democrat': 7, 'Republican': 3}, 'gender': {'Male': 4, 'Female': 6}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 0, 2: 1, -2: 1, -3: 2, 0: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 3, 2: 2, 1: 0, -3: 1, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 2, -1: 2, 1: 1, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 2, 1: 1, 3: 3, 0: 1, -3: 1, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 2, -2: 1, 1: 1, -1: 1, 2: 1, -3: 1}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 1, 64: 0, 53: 1, 51: 0, 65: 1, 54: 0, 63: 1, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 0, 36: 1, 49: 0, 60: 0, 66: 1, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 1, 39: 0}, 'political_experience': {9: 2, 5: 3, 8: 1, 2: 0, 12: 1, 10: 0, 6: 0, 11: 1, 15: 0, 14: 1, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 0, -3: 3, 3: 2, 1: 1, 0: 0}}	1566577537400	add_to_committee	XWUiQs4zpxIx	phase_1	p90	20.97000002861023
1	{'party': {'Democrat': 7, 'Republican': 3}, 'gender': {'Male': 4, 'Female': 6}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 0, 2: 1, -2: 1, -3: 2, 0: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 3, 2: 2, 1: 0, -3: 1, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 2, -1: 2, 1: 1, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 2, 1: 1, 3: 3, 0: 1, -3: 1, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 2, -2: 1, 1: 1, -1: 1, 2: 1, -3: 1}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 1, 64: 0, 53: 1, 51: 0, 65: 1, 54: 0, 63: 1, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 0, 36: 1, 49: 0, 60: 0, 66: 1, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 1, 39: 0}, 'political_experience': {9: 2, 5: 3, 8: 1, 2: 0, 12: 1, 10: 0, 6: 0, 11: 1, 15: 0, 14: 1, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 0, -3: 3, 3: 2, 1: 1, 0: 0}}	1566577555586	add_to_committee	XWUiQs4zpxIx	phase_1	p02	39.15599989891052
2	{'party': {'Democrat': 7, 'Republican': 3}, 'gender': {'Male': 4, 'Female': 6}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 0, 2: 1, -2: 1, -3: 2, 0: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 3, 2: 2, 1: 0, -3: 1, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 2, -1: 2, 1: 1, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 2, 1: 1, 3: 3, 0: 1, -3: 1, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 2, -2: 1, 1: 1, -1: 1, 2: 1, -3: 1}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 1, 64: 0, 53: 1, 51: 0, 65: 1, 54: 0, 63: 1, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 0, 36: 1, 49: 0, 60: 0, 66: 1, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 1, 39: 0}, 'political_experience': {9: 2, 5: 3, 8: 1, 2: 0, 12: 1, 10: 0, 6: 0, 11: 1, 15: 0, 14: 1, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 0, -3: 3, 3: 2, 1: 1, 0: 0}}	1566577600211	add_to_committee	XWUiQs4zpxIx	phase_1	p44	83.78099989891052
3	{'party': {'Democrat': 7, 'Republican': 3}, 'gender': {'Male': 4, 'Female': 6}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 0, 2: 1, -2: 1, -3: 2, 0: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 3, 2: 2, 1: 0, -3: 1, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 2, -1: 2, 1: 1, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 2, 1: 1, 3: 3, 0: 1, -3: 1, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 2, -2: 1, 1: 1, -1: 1, 2: 1, -3: 1}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 1, 64: 0, 53: 1, 51: 0, 65: 1, 54: 0, 63: 1, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 0, 36: 1, 49: 0, 60: 0, 66: 1, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 1, 39: 0}, 'political_experience': {9: 2, 5: 3, 8: 1, 2: 0, 12: 1, 10: 0, 6: 0, 11: 1, 15: 0, 14: 1, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 0, -3: 3, 3: 2, 1: 1, 0: 0}}	1566577740102	add_to_committee	XWUiQs4zpxIx	phase_1	p30	223.67199993133545
4	{'party': {'Democrat': 7, 'Republican': 3}, 'gender': {'Male': 4, 'Female': 6}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 0, 2: 1, -2: 1, -3: 2, 0: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 3, 2: 2, 1: 0, -3: 1, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 2, -1: 2, 1: 1, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 2, 1: 1, 3: 3, 0: 1, -3: 1, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 2, -2: 1, 1: 1, -1: 1, 2: 1, -3: 1}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 1, 64: 0, 53: 1, 51: 0, 65: 1, 54: 0, 63: 1, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 0, 36: 1, 49: 0, 60: 0, 66: 1, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 1, 39: 0}, 'political_experience': {9: 2, 5: 3, 8: 1, 2: 0, 12: 1, 10: 0, 6: 0, 11: 1, 15: 0, 14: 1, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 0, -3: 3, 3: 2, 1: 1, 0: 0}}	1566577768405	add_to_committee	XWUiQs4zpxIx	phase_1	p62	251.97499990463257
5	{'party': {'Democrat': 7, 'Republican': 3}, 'gender': {'Male': 4, 'Female': 6}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 0, 2: 1, -2: 1, -3: 2, 0: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 3, 2: 2, 1: 0, -3: 1, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 2, -1: 2, 1: 1, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 2, 1: 1, 3: 3, 0: 1, -3: 1, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 2, -2: 1, 1: 1, -1: 1, 2: 1, -3: 1}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 1, 64: 0, 53: 1, 51: 0, 65: 1, 54: 0, 63: 1, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 0, 36: 1, 49: 0, 60: 0, 66: 1, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 1, 39: 0}, 'political_experience': {9: 2, 5: 3, 8: 1, 2: 0, 12: 1, 10: 0, 6: 0, 11: 1, 15: 0, 14: 1, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 0, -3: 3, 3: 2, 1: 1, 0: 0}}	1566577840871	add_to_committee	XWUiQs4zpxIx	phase_1	p34	324.4409999847412
6	{'party': {'Democrat': 7, 'Republican': 3}, 'gender': {'Male': 4, 'Female': 6}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 0, 2: 1, -2: 1, -3: 2, 0: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 3, 2: 2, 1: 0, -3: 1, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 2, -1: 2, 1: 1, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 2, 1: 1, 3: 3, 0: 1, -3: 1, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 2, -2: 1, 1: 1, -1: 1, 2: 1, -3: 1}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 1, 64: 0, 53: 1, 51: 0, 65: 1, 54: 0, 63: 1, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 0, 36: 1, 49: 0, 60: 0, 66: 1, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 1, 39: 0}, 'political_experience': {9: 2, 5: 3, 8: 1, 2: 0, 12: 1, 10: 0, 6: 0, 11: 1, 15: 0, 14: 1, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 0, -3: 3, 3: 2, 1: 1, 0: 0}}	1566577856015	add_to_committee	XWUiQs4zpxIx	phase_1	p98	339.585000038147
7	{'party': {'Democrat': 7, 'Republican': 3}, 'gender': {'Male': 4, 'Female': 6}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 0, 2: 1, -2: 1, -3: 2, 0: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 3, 2: 2, 1: 0, -3: 1, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 2, -1: 2, 1: 1, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 2, 1: 1, 3: 3, 0: 1, -3: 1, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 2, -2: 1, 1: 1, -1: 1, 2: 1, -3: 1}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 1, 64: 0, 53: 1, 51: 0, 65: 1, 54: 0, 63: 1, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 0, 36: 1, 49: 0, 60: 0, 66: 1, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 1, 39: 0}, 'political_experience': {9: 2, 5: 3, 8: 1, 2: 0, 12: 1, 10: 0, 6: 0, 11: 1, 15: 0, 14: 1, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 0, -3: 3, 3: 2, 1: 1, 0: 0}}	1566577924985	add_to_committee	XWUiQs4zpxIx	phase_1	p26	408.5549998283386
8	{'party': {'Democrat': 7, 'Republican': 3}, 'gender': {'Male': 4, 'Female': 6}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 0, 2: 1, -2: 1, -3: 2, 0: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 3, 2: 2, 1: 0, -3: 1, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 2, -1: 2, 1: 1, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 2, 1: 1, 3: 3, 0: 1, -3: 1, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 2, -2: 1, 1: 1, -1: 1, 2: 1, -3: 1}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 1, 64: 0, 53: 1, 51: 0, 65: 1, 54: 0, 63: 1, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 0, 36: 1, 49: 0, 60: 0, 66: 1, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 1, 39: 0}, 'political_experience': {9: 2, 5: 3, 8: 1, 2: 0, 12: 1, 10: 0, 6: 0, 11: 1, 15: 0, 14: 1, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 0, -3: 3, 3: 2, 1: 1, 0: 0}}	1566577946186	add_to_committee	XWUiQs4zpxIx	phase_1	p21	429.75600004196167
9	{'party': {'Democrat': 7, 'Republican': 3}, 'gender': {'Male': 4, 'Female': 6}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 0, 2: 1, -2: 1, -3: 2, 0: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 3, 2: 2, 1: 0, -3: 1, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 2, -1: 2, 1: 1, -2: 1, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 2, 1: 1, 3: 3, 0: 1, -3: 1, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 2, -2: 1, 1: 1, -1: 1, 2: 1, -3: 1}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 1, 64: 0, 53: 1, 51: 0, 65: 1, 54: 0, 63: 1, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 0, 36: 1, 49: 0, 60: 0, 66: 1, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 1, 39: 0}, 'political_experience': {9: 2, 5: 3, 8: 1, 2: 0, 12: 1, 10: 0, 6: 0, 11: 1, 15: 0, 14: 1, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 0, -3: 3, 3: 2, 1: 1, 0: 0}}	1566578036059	add_to_committee	XWUiQs4zpxIx	phase_1	p24	519.6289999485016
