	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 6, 'Female': 4}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 2, -1: 0, 2: 0, -2: 3, -3: 1, 0: 2}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 3, 'Educator': 0, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 0, -3: 1, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 0, -2: 2, 2: 4, 1: 1, 0: 0, -3: 0, -1: 3}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 0, -1: 2, 1: 2, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 4, 1: 2, 3: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 0, -2: 3, 1: 1, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 2, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 1, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 2, 8: 2, 2: 0, 12: 0, 10: 1, 6: 0, 11: 2, 15: 0, 14: 0, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 1, 2: 2, -3: 2, 3: 1, 1: 2, 0: 0}}	1566411214430	add_to_committee	dxNzpa5cz1lD	phase_1	p33	232.20500016212463
1	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 6, 'Female': 4}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 2, -1: 0, 2: 0, -2: 3, -3: 1, 0: 2}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 3, 'Educator': 0, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 0, -3: 1, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 0, -2: 2, 2: 4, 1: 1, 0: 0, -3: 0, -1: 3}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 0, -1: 2, 1: 2, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 4, 1: 2, 3: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 0, -2: 3, 1: 1, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 2, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 1, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 2, 8: 2, 2: 0, 12: 0, 10: 1, 6: 0, 11: 2, 15: 0, 14: 0, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 1, 2: 2, -3: 2, 3: 1, 1: 2, 0: 0}}	1566411338735	add_to_committee	dxNzpa5cz1lD	phase_1	p93	356.50999999046326
2	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 6, 'Female': 4}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 2, -1: 0, 2: 0, -2: 3, -3: 1, 0: 2}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 3, 'Educator': 0, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 0, -3: 1, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 0, -2: 2, 2: 4, 1: 1, 0: 0, -3: 0, -1: 3}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 0, -1: 2, 1: 2, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 4, 1: 2, 3: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 0, -2: 3, 1: 1, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 2, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 1, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 2, 8: 2, 2: 0, 12: 0, 10: 1, 6: 0, 11: 2, 15: 0, 14: 0, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 1, 2: 2, -3: 2, 3: 1, 1: 2, 0: 0}}	1566411418184	add_to_committee	dxNzpa5cz1lD	phase_1	p34	435.9590001106262
3	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 6, 'Female': 4}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 2, -1: 0, 2: 0, -2: 3, -3: 1, 0: 2}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 3, 'Educator': 0, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 0, -3: 1, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 0, -2: 2, 2: 4, 1: 1, 0: 0, -3: 0, -1: 3}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 0, -1: 2, 1: 2, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 4, 1: 2, 3: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 0, -2: 3, 1: 1, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 2, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 1, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 2, 8: 2, 2: 0, 12: 0, 10: 1, 6: 0, 11: 2, 15: 0, 14: 0, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 1, 2: 2, -3: 2, 3: 1, 1: 2, 0: 0}}	1566411420280	add_to_committee	dxNzpa5cz1lD	phase_1	p45	438.0550000667572
4	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 6, 'Female': 4}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 2, -1: 0, 2: 0, -2: 3, -3: 1, 0: 2}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 3, 'Educator': 0, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 0, -3: 1, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 0, -2: 2, 2: 4, 1: 1, 0: 0, -3: 0, -1: 3}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 0, -1: 2, 1: 2, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 4, 1: 2, 3: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 0, -2: 3, 1: 1, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 2, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 1, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 2, 8: 2, 2: 0, 12: 0, 10: 1, 6: 0, 11: 2, 15: 0, 14: 0, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 1, 2: 2, -3: 2, 3: 1, 1: 2, 0: 0}}	1566411645963	add_to_committee	dxNzpa5cz1lD	phase_1	p57	663.7380001544952
5	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 6, 'Female': 4}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 2, -1: 0, 2: 0, -2: 3, -3: 1, 0: 2}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 3, 'Educator': 0, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 0, -3: 1, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 0, -2: 2, 2: 4, 1: 1, 0: 0, -3: 0, -1: 3}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 0, -1: 2, 1: 2, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 4, 1: 2, 3: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 0, -2: 3, 1: 1, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 2, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 1, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 2, 8: 2, 2: 0, 12: 0, 10: 1, 6: 0, 11: 2, 15: 0, 14: 0, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 1, 2: 2, -3: 2, 3: 1, 1: 2, 0: 0}}	1566411662626	add_to_committee	dxNzpa5cz1lD	phase_1	p12	680.4010000228882
6	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 6, 'Female': 4}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 2, -1: 0, 2: 0, -2: 3, -3: 1, 0: 2}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 3, 'Educator': 0, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 0, -3: 1, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 0, -2: 2, 2: 4, 1: 1, 0: 0, -3: 0, -1: 3}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 0, -1: 2, 1: 2, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 4, 1: 2, 3: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 0, -2: 3, 1: 1, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 2, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 1, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 2, 8: 2, 2: 0, 12: 0, 10: 1, 6: 0, 11: 2, 15: 0, 14: 0, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 1, 2: 2, -3: 2, 3: 1, 1: 2, 0: 0}}	1566411689866	add_to_committee	dxNzpa5cz1lD	phase_1	p90	707.6410000324249
7	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 6, 'Female': 4}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 2, -1: 0, 2: 0, -2: 3, -3: 1, 0: 2}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 3, 'Educator': 0, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 0, -3: 1, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 0, -2: 2, 2: 4, 1: 1, 0: 0, -3: 0, -1: 3}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 0, -1: 2, 1: 2, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 4, 1: 2, 3: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 0, -2: 3, 1: 1, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 2, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 1, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 2, 8: 2, 2: 0, 12: 0, 10: 1, 6: 0, 11: 2, 15: 0, 14: 0, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 1, 2: 2, -3: 2, 3: 1, 1: 2, 0: 0}}	1566411717898	add_to_committee	dxNzpa5cz1lD	phase_1	p44	735.6730000972748
8	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 6, 'Female': 4}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 2, -1: 0, 2: 0, -2: 3, -3: 1, 0: 2}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 3, 'Educator': 0, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 0, -3: 1, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 0, -2: 2, 2: 4, 1: 1, 0: 0, -3: 0, -1: 3}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 0, -1: 2, 1: 2, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 4, 1: 2, 3: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 0, -2: 3, 1: 1, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 2, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 1, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 2, 8: 2, 2: 0, 12: 0, 10: 1, 6: 0, 11: 2, 15: 0, 14: 0, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 1, 2: 2, -3: 2, 3: 1, 1: 2, 0: 0}}	1566411793682	add_to_committee	dxNzpa5cz1lD	phase_1	p92	811.4570000171661
9	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 6, 'Female': 4}, 'religion': {'Christian': 8, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 2, -1: 0, 2: 0, -2: 3, -3: 1, 0: 2}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 3, 'Educator': 0, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 0, -3: 1, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 0, -2: 2, 2: 4, 1: 1, 0: 0, -3: 0, -1: 3}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 0, -1: 2, 1: 2, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 4, 1: 2, 3: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 0, -2: 3, 1: 1, -1: 2, 2: 3, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 2, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 1, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 2, 8: 2, 2: 0, 12: 0, 10: 1, 6: 0, 11: 2, 15: 0, 14: 0, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 1, 2: 2, -3: 2, 3: 1, 1: 2, 0: 0}}	1566411829091	add_to_committee	dxNzpa5cz1lD	phase_1	p78	846.8660001754761
