	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'party': {'Democrat': 6, 'Republican': 5}, 'gender': {'Male': 5, 'Female': 6}, 'religion': {'Christian': 5, 'Jewish': 2, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 0, 'Mormon': 2}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 5, -1: 1, 2: 0, -2: 3, -3: 1, 0: 1}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 1, 'Business': 3, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 2, -3: 1, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 2, -1: 2, 1: 1, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 4, 1: 0, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 0, -1: 3, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 3, 64: 0, 53: 0, 51: 0, 65: 0, 54: 1, 63: 1, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 3, 8: 1, 2: 0, 12: 0, 10: 1, 6: 0, 11: 2, 15: 0, 14: 1, 7: 0, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 3, -3: 2, 3: 2, 1: 0, 0: 0}}	1566491135333	add_to_committee	eCcNRmXRTXP6	phase_1	p90	341.80599999427795
1	{'party': {'Democrat': 6, 'Republican': 5}, 'gender': {'Male': 5, 'Female': 6}, 'religion': {'Christian': 5, 'Jewish': 2, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 0, 'Mormon': 2}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 5, -1: 1, 2: 0, -2: 3, -3: 1, 0: 1}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 1, 'Business': 3, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 2, -3: 1, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 2, -1: 2, 1: 1, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 4, 1: 0, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 0, -1: 3, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 3, 64: 0, 53: 0, 51: 0, 65: 0, 54: 1, 63: 1, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 3, 8: 1, 2: 0, 12: 0, 10: 1, 6: 0, 11: 2, 15: 0, 14: 1, 7: 0, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 3, -3: 2, 3: 2, 1: 0, 0: 0}}	1566491213983	add_to_committee	eCcNRmXRTXP6	phase_1	p52	420.4560000896454
2	{'party': {'Democrat': 6, 'Republican': 5}, 'gender': {'Male': 5, 'Female': 6}, 'religion': {'Christian': 5, 'Jewish': 2, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 0, 'Mormon': 2}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 5, -1: 1, 2: 0, -2: 3, -3: 1, 0: 1}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 1, 'Business': 3, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 2, -3: 1, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 2, -1: 2, 1: 1, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 4, 1: 0, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 0, -1: 3, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 3, 64: 0, 53: 0, 51: 0, 65: 0, 54: 1, 63: 1, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 3, 8: 1, 2: 0, 12: 0, 10: 1, 6: 0, 11: 2, 15: 0, 14: 1, 7: 0, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 3, -3: 2, 3: 2, 1: 0, 0: 0}}	1566491267624	add_to_committee	eCcNRmXRTXP6	phase_1	p02	474.0970001220703
3	{'party': {'Democrat': 6, 'Republican': 5}, 'gender': {'Male': 5, 'Female': 6}, 'religion': {'Christian': 5, 'Jewish': 2, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 0, 'Mormon': 2}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 5, -1: 1, 2: 0, -2: 3, -3: 1, 0: 1}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 1, 'Business': 3, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 2, -3: 1, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 2, -1: 2, 1: 1, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 4, 1: 0, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 0, -1: 3, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 3, 64: 0, 53: 0, 51: 0, 65: 0, 54: 1, 63: 1, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 3, 8: 1, 2: 0, 12: 0, 10: 1, 6: 0, 11: 2, 15: 0, 14: 1, 7: 0, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 3, -3: 2, 3: 2, 1: 0, 0: 0}}	1566491283024	add_to_committee	eCcNRmXRTXP6	phase_1	p06	489.49699997901917
4	{'party': {'Democrat': 6, 'Republican': 5}, 'gender': {'Male': 5, 'Female': 6}, 'religion': {'Christian': 5, 'Jewish': 2, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 0, 'Mormon': 2}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 5, -1: 1, 2: 0, -2: 3, -3: 1, 0: 1}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 1, 'Business': 3, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 2, -3: 1, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 2, -1: 2, 1: 1, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 4, 1: 0, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 0, -1: 3, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 3, 64: 0, 53: 0, 51: 0, 65: 0, 54: 1, 63: 1, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 3, 8: 1, 2: 0, 12: 0, 10: 1, 6: 0, 11: 2, 15: 0, 14: 1, 7: 0, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 3, -3: 2, 3: 2, 1: 0, 0: 0}}	1566491323865	add_to_committee	eCcNRmXRTXP6	phase_1	p93	530.3380000591278
5	{'party': {'Democrat': 6, 'Republican': 5}, 'gender': {'Male': 5, 'Female': 6}, 'religion': {'Christian': 5, 'Jewish': 2, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 0, 'Mormon': 2}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 5, -1: 1, 2: 0, -2: 3, -3: 1, 0: 1}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 1, 'Business': 3, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 2, -3: 1, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 2, -1: 2, 1: 1, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 4, 1: 0, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 0, -1: 3, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 3, 64: 0, 53: 0, 51: 0, 65: 0, 54: 1, 63: 1, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 3, 8: 1, 2: 0, 12: 0, 10: 1, 6: 0, 11: 2, 15: 0, 14: 1, 7: 0, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 3, -3: 2, 3: 2, 1: 0, 0: 0}}	1566491359779	add_to_committee	eCcNRmXRTXP6	phase_1	p12	566.2520000934601
6	{'party': {'Democrat': 6, 'Republican': 5}, 'gender': {'Male': 5, 'Female': 6}, 'religion': {'Christian': 5, 'Jewish': 2, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 0, 'Mormon': 2}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 5, -1: 1, 2: 0, -2: 3, -3: 1, 0: 1}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 1, 'Business': 3, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 2, -3: 1, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 2, -1: 2, 1: 1, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 4, 1: 0, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 0, -1: 3, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 3, 64: 0, 53: 0, 51: 0, 65: 0, 54: 1, 63: 1, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 3, 8: 1, 2: 0, 12: 0, 10: 1, 6: 0, 11: 2, 15: 0, 14: 1, 7: 0, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 3, -3: 2, 3: 2, 1: 0, 0: 0}}	1566491411207	add_to_committee	eCcNRmXRTXP6	phase_1	p40	617.6800000667572
7	{'party': {'Democrat': 6, 'Republican': 5}, 'gender': {'Male': 5, 'Female': 6}, 'religion': {'Christian': 5, 'Jewish': 2, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 0, 'Mormon': 2}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 5, -1: 1, 2: 0, -2: 3, -3: 1, 0: 1}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 1, 'Business': 3, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 2, -3: 1, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 2, -1: 2, 1: 1, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 4, 1: 0, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 0, -1: 3, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 3, 64: 0, 53: 0, 51: 0, 65: 0, 54: 1, 63: 1, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 3, 8: 1, 2: 0, 12: 0, 10: 1, 6: 0, 11: 2, 15: 0, 14: 1, 7: 0, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 3, -3: 2, 3: 2, 1: 0, 0: 0}}	1566491451355	remove_from_committee	eCcNRmXRTXP6	phase_1	p40	657.8280000686646
8	{'party': {'Democrat': 6, 'Republican': 5}, 'gender': {'Male': 5, 'Female': 6}, 'religion': {'Christian': 5, 'Jewish': 2, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 0, 'Mormon': 2}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 5, -1: 1, 2: 0, -2: 3, -3: 1, 0: 1}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 1, 'Business': 3, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 2, -3: 1, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 2, -1: 2, 1: 1, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 4, 1: 0, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 0, -1: 3, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 3, 64: 0, 53: 0, 51: 0, 65: 0, 54: 1, 63: 1, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 3, 8: 1, 2: 0, 12: 0, 10: 1, 6: 0, 11: 2, 15: 0, 14: 1, 7: 0, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 3, -3: 2, 3: 2, 1: 0, 0: 0}}	1566491472518	add_to_committee	eCcNRmXRTXP6	phase_1	p33	678.9909999370575
9	{'party': {'Democrat': 6, 'Republican': 5}, 'gender': {'Male': 5, 'Female': 6}, 'religion': {'Christian': 5, 'Jewish': 2, 'Muslim': 1, 'Unaffiliated': 1, 'Hindu': 0, 'Mormon': 2}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 5, -1: 1, 2: 0, -2: 3, -3: 1, 0: 1}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 3, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 1, 'Business': 3, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 3, 2: 3, 1: 2, -3: 1, 3: 0, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 2, -1: 2, 1: 1, -2: 3, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 4, 1: 0, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 0, -1: 3, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 3, 64: 0, 53: 0, 51: 0, 65: 0, 54: 1, 63: 1, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 1, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 3, 8: 1, 2: 0, 12: 0, 10: 1, 6: 0, 11: 2, 15: 0, 14: 1, 7: 0, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 3, -3: 2, 3: 2, 1: 0, 0: 0}}	1566491516671	add_to_committee	eCcNRmXRTXP6	phase_1	p21	723.1440000534058
