	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'party': {'Democrat': 7, 'Republican': 3}, 'gender': {'Male': 8, 'Female': 2}, 'religion': {'Christian': 8, 'Jewish': 0, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 1, 2: 1, -2: 1, -3: 0, 0: 1}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 1}, 'occupation': {'Financier': 2, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 0, 'Business': 0, 'Doctor': 1, 'Farmer': 1, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 6, -2: 0, 2: 0, 1: 2, -3: 0, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 0, 2: 4, 1: 1, 0: 1, -3: 2, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 1, -1: 1, 1: 1, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 2, 1: 1, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 2, 1: 2, -1: 1, 2: 3, -3: 0}, 'age': {42: 1, 45: 0, 44: 0, 55: 0, 43: 0, 50: 1, 58: 2, 57: 1, 46: 0, 77: 0, 52: 0, 61: 0, 64: 0, 53: 1, 51: 0, 65: 0, 54: 0, 63: 3, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 2, 8: 0, 2: 1, 12: 1, 10: 0, 6: 1, 11: 0, 15: 0, 14: 1, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 0, 2: 2, -3: 1, 3: 0, 1: 1, 0: 1}}	1566581010771	add_to_committee	f0eJoDsKT8si	phase_1	p21	0.1419999599456787
1	{'party': {'Democrat': 7, 'Republican': 3}, 'gender': {'Male': 8, 'Female': 2}, 'religion': {'Christian': 8, 'Jewish': 0, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 1, 2: 1, -2: 1, -3: 0, 0: 1}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 1}, 'occupation': {'Financier': 2, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 0, 'Business': 0, 'Doctor': 1, 'Farmer': 1, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 6, -2: 0, 2: 0, 1: 2, -3: 0, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 0, 2: 4, 1: 1, 0: 1, -3: 2, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 1, -1: 1, 1: 1, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 2, 1: 1, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 2, 1: 2, -1: 1, 2: 3, -3: 0}, 'age': {42: 1, 45: 0, 44: 0, 55: 0, 43: 0, 50: 1, 58: 2, 57: 1, 46: 0, 77: 0, 52: 0, 61: 0, 64: 0, 53: 1, 51: 0, 65: 0, 54: 0, 63: 3, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 2, 8: 0, 2: 1, 12: 1, 10: 0, 6: 1, 11: 0, 15: 0, 14: 1, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 0, 2: 2, -3: 1, 3: 0, 1: 1, 0: 1}}	1566581014603	remove_from_committee	f0eJoDsKT8si	phase_1	p21	3.9739999771118164
2	{'party': {'Democrat': 7, 'Republican': 3}, 'gender': {'Male': 8, 'Female': 2}, 'religion': {'Christian': 8, 'Jewish': 0, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 1, 2: 1, -2: 1, -3: 0, 0: 1}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 1}, 'occupation': {'Financier': 2, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 0, 'Business': 0, 'Doctor': 1, 'Farmer': 1, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 6, -2: 0, 2: 0, 1: 2, -3: 0, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 0, 2: 4, 1: 1, 0: 1, -3: 2, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 1, -1: 1, 1: 1, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 2, 1: 1, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 2, 1: 2, -1: 1, 2: 3, -3: 0}, 'age': {42: 1, 45: 0, 44: 0, 55: 0, 43: 0, 50: 1, 58: 2, 57: 1, 46: 0, 77: 0, 52: 0, 61: 0, 64: 0, 53: 1, 51: 0, 65: 0, 54: 0, 63: 3, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 2, 8: 0, 2: 1, 12: 1, 10: 0, 6: 1, 11: 0, 15: 0, 14: 1, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 0, 2: 2, -3: 1, 3: 0, 1: 1, 0: 1}}	1566581200156	add_to_committee	f0eJoDsKT8si	phase_1	p21	189.52699995040894
3	{'party': {'Democrat': 7, 'Republican': 3}, 'gender': {'Male': 8, 'Female': 2}, 'religion': {'Christian': 8, 'Jewish': 0, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 1, 2: 1, -2: 1, -3: 0, 0: 1}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 1}, 'occupation': {'Financier': 2, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 0, 'Business': 0, 'Doctor': 1, 'Farmer': 1, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 6, -2: 0, 2: 0, 1: 2, -3: 0, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 0, 2: 4, 1: 1, 0: 1, -3: 2, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 1, -1: 1, 1: 1, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 2, 1: 1, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 2, 1: 2, -1: 1, 2: 3, -3: 0}, 'age': {42: 1, 45: 0, 44: 0, 55: 0, 43: 0, 50: 1, 58: 2, 57: 1, 46: 0, 77: 0, 52: 0, 61: 0, 64: 0, 53: 1, 51: 0, 65: 0, 54: 0, 63: 3, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 2, 8: 0, 2: 1, 12: 1, 10: 0, 6: 1, 11: 0, 15: 0, 14: 1, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 0, 2: 2, -3: 1, 3: 0, 1: 1, 0: 1}}	1566581324943	add_to_committee	f0eJoDsKT8si	phase_1	p24	314.3140001296997
4	{'party': {'Democrat': 7, 'Republican': 3}, 'gender': {'Male': 8, 'Female': 2}, 'religion': {'Christian': 8, 'Jewish': 0, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 1, 2: 1, -2: 1, -3: 0, 0: 1}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 1}, 'occupation': {'Financier': 2, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 0, 'Business': 0, 'Doctor': 1, 'Farmer': 1, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 6, -2: 0, 2: 0, 1: 2, -3: 0, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 0, 2: 4, 1: 1, 0: 1, -3: 2, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 1, -1: 1, 1: 1, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 2, 1: 1, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 2, 1: 2, -1: 1, 2: 3, -3: 0}, 'age': {42: 1, 45: 0, 44: 0, 55: 0, 43: 0, 50: 1, 58: 2, 57: 1, 46: 0, 77: 0, 52: 0, 61: 0, 64: 0, 53: 1, 51: 0, 65: 0, 54: 0, 63: 3, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 2, 8: 0, 2: 1, 12: 1, 10: 0, 6: 1, 11: 0, 15: 0, 14: 1, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 0, 2: 2, -3: 1, 3: 0, 1: 1, 0: 1}}	1566581478951	add_to_committee	f0eJoDsKT8si	phase_1	p67	468.3220000267029
5	{'party': {'Democrat': 7, 'Republican': 3}, 'gender': {'Male': 8, 'Female': 2}, 'religion': {'Christian': 8, 'Jewish': 0, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 1, 2: 1, -2: 1, -3: 0, 0: 1}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 1}, 'occupation': {'Financier': 2, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 0, 'Business': 0, 'Doctor': 1, 'Farmer': 1, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 6, -2: 0, 2: 0, 1: 2, -3: 0, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 0, 2: 4, 1: 1, 0: 1, -3: 2, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 1, -1: 1, 1: 1, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 2, 1: 1, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 2, 1: 2, -1: 1, 2: 3, -3: 0}, 'age': {42: 1, 45: 0, 44: 0, 55: 0, 43: 0, 50: 1, 58: 2, 57: 1, 46: 0, 77: 0, 52: 0, 61: 0, 64: 0, 53: 1, 51: 0, 65: 0, 54: 0, 63: 3, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 2, 8: 0, 2: 1, 12: 1, 10: 0, 6: 1, 11: 0, 15: 0, 14: 1, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 0, 2: 2, -3: 1, 3: 0, 1: 1, 0: 1}}	1566581509728	add_to_committee	f0eJoDsKT8si	phase_1	p06	499.0989999771118
6	{'party': {'Democrat': 7, 'Republican': 3}, 'gender': {'Male': 8, 'Female': 2}, 'religion': {'Christian': 8, 'Jewish': 0, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 1, 2: 1, -2: 1, -3: 0, 0: 1}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 1}, 'occupation': {'Financier': 2, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 0, 'Business': 0, 'Doctor': 1, 'Farmer': 1, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 6, -2: 0, 2: 0, 1: 2, -3: 0, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 0, 2: 4, 1: 1, 0: 1, -3: 2, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 1, -1: 1, 1: 1, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 2, 1: 1, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 2, 1: 2, -1: 1, 2: 3, -3: 0}, 'age': {42: 1, 45: 0, 44: 0, 55: 0, 43: 0, 50: 1, 58: 2, 57: 1, 46: 0, 77: 0, 52: 0, 61: 0, 64: 0, 53: 1, 51: 0, 65: 0, 54: 0, 63: 3, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 2, 8: 0, 2: 1, 12: 1, 10: 0, 6: 1, 11: 0, 15: 0, 14: 1, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 0, 2: 2, -3: 1, 3: 0, 1: 1, 0: 1}}	1566581607215	add_to_committee	f0eJoDsKT8si	phase_1	p73	596.5859999656677
7	{'party': {'Democrat': 7, 'Republican': 3}, 'gender': {'Male': 8, 'Female': 2}, 'religion': {'Christian': 8, 'Jewish': 0, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 1, 2: 1, -2: 1, -3: 0, 0: 1}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 1}, 'occupation': {'Financier': 2, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 0, 'Business': 0, 'Doctor': 1, 'Farmer': 1, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 6, -2: 0, 2: 0, 1: 2, -3: 0, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 0, 2: 4, 1: 1, 0: 1, -3: 2, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 1, -1: 1, 1: 1, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 2, 1: 1, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 2, 1: 2, -1: 1, 2: 3, -3: 0}, 'age': {42: 1, 45: 0, 44: 0, 55: 0, 43: 0, 50: 1, 58: 2, 57: 1, 46: 0, 77: 0, 52: 0, 61: 0, 64: 0, 53: 1, 51: 0, 65: 0, 54: 0, 63: 3, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 2, 8: 0, 2: 1, 12: 1, 10: 0, 6: 1, 11: 0, 15: 0, 14: 1, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 0, 2: 2, -3: 1, 3: 0, 1: 1, 0: 1}}	1566581614256	add_to_committee	f0eJoDsKT8si	phase_1	p88	603.6270000934601
8	{'party': {'Democrat': 7, 'Republican': 3}, 'gender': {'Male': 8, 'Female': 2}, 'religion': {'Christian': 8, 'Jewish': 0, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 1, 2: 1, -2: 1, -3: 0, 0: 1}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 1}, 'occupation': {'Financier': 2, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 0, 'Business': 0, 'Doctor': 1, 'Farmer': 1, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 6, -2: 0, 2: 0, 1: 2, -3: 0, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 0, 2: 4, 1: 1, 0: 1, -3: 2, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 1, -1: 1, 1: 1, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 2, 1: 1, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 2, 1: 2, -1: 1, 2: 3, -3: 0}, 'age': {42: 1, 45: 0, 44: 0, 55: 0, 43: 0, 50: 1, 58: 2, 57: 1, 46: 0, 77: 0, 52: 0, 61: 0, 64: 0, 53: 1, 51: 0, 65: 0, 54: 0, 63: 3, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 2, 8: 0, 2: 1, 12: 1, 10: 0, 6: 1, 11: 0, 15: 0, 14: 1, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 0, 2: 2, -3: 1, 3: 0, 1: 1, 0: 1}}	1566581625168	add_to_committee	f0eJoDsKT8si	phase_1	p54	614.5390000343323
9	{'party': {'Democrat': 7, 'Republican': 3}, 'gender': {'Male': 8, 'Female': 2}, 'religion': {'Christian': 8, 'Jewish': 0, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 1, 2: 1, -2: 1, -3: 0, 0: 1}, 'education': {'Master Degree': 2, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 1, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 1}, 'occupation': {'Financier': 2, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 1, 'Judge': 2, 'Educator': 0, 'Business': 0, 'Doctor': 1, 'Farmer': 1, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 6, -2: 0, 2: 0, 1: 2, -3: 0, 3: 1, 0: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 0, 2: 4, 1: 1, 0: 1, -3: 2, -1: 0}, 'policy_strength_legalize_medical_marijuana': {2: 5, 3: 1, -1: 1, 1: 1, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 2, 1: 1, 3: 3, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 2, 1: 2, -1: 1, 2: 3, -3: 0}, 'age': {42: 1, 45: 0, 44: 0, 55: 0, 43: 0, 50: 1, 58: 2, 57: 1, 46: 0, 77: 0, 52: 0, 61: 0, 64: 0, 53: 1, 51: 0, 65: 0, 54: 0, 63: 3, 75: 0, 76: 1, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 2, 5: 2, 8: 0, 2: 1, 12: 1, 10: 0, 6: 1, 11: 0, 15: 0, 14: 1, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 0, 2: 2, -3: 1, 3: 0, 1: 1, 0: 1}}	1566581644432	add_to_committee	f0eJoDsKT8si	phase_1	p97	633.8029999732971
