	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'party': {'Democrat': 15, 'Republican': 0}, 'gender': {'Male': 14, 'Female': 1}, 'religion': {'Christian': 13, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 1, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 3, 1: 2, -1: 0, 2: 10, -2: 0, -3: 0, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 7, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 4}, 'occupation': {'Financier': 1, 'Engineer': 0, 'Career Politician': 3, 'Lawyer': 2, 'Judge': 3, 'Educator': 1, 'Business': 1, 'Doctor': 0, 'Farmer': 4, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 12, 2: 0, 1: 0, -3: 2, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 0, -2: 0, 2: 1, 1: 10, 0: 0, -3: 0, -1: 4}, 'policy_strength_legalize_medical_marijuana': {2: 10, 3: 5, -1: 0, 1: 0, -2: 0, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 10, -2: 0, 1: 0, 3: 4, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 0, 1: 5, -1: 0, 2: 8, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 4, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 1, 51: 0, 65: 1, 54: 0, 63: 0, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 3, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 1, 56: 2, 69: 0, 39: 0}, 'political_experience': {9: 4, 5: 0, 8: 1, 2: 0, 12: 1, 10: 0, 6: 1, 11: 0, 15: 0, 14: 0, 7: 6, 3: 0, 13: 2, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 10, 2: 0, -3: 1, 3: 0, 1: 0, 0: 1}}	1566405310735	add_to_committee	fQgKCA4w7L0D	phase_1	p12	95.1269998550415
1	{'party': {'Democrat': 15, 'Republican': 0}, 'gender': {'Male': 14, 'Female': 1}, 'religion': {'Christian': 13, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 1, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 3, 1: 2, -1: 0, 2: 10, -2: 0, -3: 0, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 7, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 4}, 'occupation': {'Financier': 1, 'Engineer': 0, 'Career Politician': 3, 'Lawyer': 2, 'Judge': 3, 'Educator': 1, 'Business': 1, 'Doctor': 0, 'Farmer': 4, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 12, 2: 0, 1: 0, -3: 2, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 0, -2: 0, 2: 1, 1: 10, 0: 0, -3: 0, -1: 4}, 'policy_strength_legalize_medical_marijuana': {2: 10, 3: 5, -1: 0, 1: 0, -2: 0, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 10, -2: 0, 1: 0, 3: 4, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 0, 1: 5, -1: 0, 2: 8, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 4, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 1, 51: 0, 65: 1, 54: 0, 63: 0, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 3, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 1, 56: 2, 69: 0, 39: 0}, 'political_experience': {9: 4, 5: 0, 8: 1, 2: 0, 12: 1, 10: 0, 6: 1, 11: 0, 15: 0, 14: 0, 7: 6, 3: 0, 13: 2, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 10, 2: 0, -3: 1, 3: 0, 1: 0, 0: 1}}	1566405377479	remove_from_committee	fQgKCA4w7L0D	phase_1	p12	161.8710000514984
2	{'party': {'Democrat': 15, 'Republican': 0}, 'gender': {'Male': 14, 'Female': 1}, 'religion': {'Christian': 13, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 1, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 3, 1: 2, -1: 0, 2: 10, -2: 0, -3: 0, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 7, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 4}, 'occupation': {'Financier': 1, 'Engineer': 0, 'Career Politician': 3, 'Lawyer': 2, 'Judge': 3, 'Educator': 1, 'Business': 1, 'Doctor': 0, 'Farmer': 4, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 12, 2: 0, 1: 0, -3: 2, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 0, -2: 0, 2: 1, 1: 10, 0: 0, -3: 0, -1: 4}, 'policy_strength_legalize_medical_marijuana': {2: 10, 3: 5, -1: 0, 1: 0, -2: 0, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 10, -2: 0, 1: 0, 3: 4, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 0, 1: 5, -1: 0, 2: 8, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 4, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 1, 51: 0, 65: 1, 54: 0, 63: 0, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 3, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 1, 56: 2, 69: 0, 39: 0}, 'political_experience': {9: 4, 5: 0, 8: 1, 2: 0, 12: 1, 10: 0, 6: 1, 11: 0, 15: 0, 14: 0, 7: 6, 3: 0, 13: 2, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 10, 2: 0, -3: 1, 3: 0, 1: 0, 0: 1}}	1566405594449	add_to_committee	fQgKCA4w7L0D	phase_1	p23	378.84099984169006
3	{'party': {'Democrat': 15, 'Republican': 0}, 'gender': {'Male': 14, 'Female': 1}, 'religion': {'Christian': 13, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 1, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 3, 1: 2, -1: 0, 2: 10, -2: 0, -3: 0, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 7, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 4}, 'occupation': {'Financier': 1, 'Engineer': 0, 'Career Politician': 3, 'Lawyer': 2, 'Judge': 3, 'Educator': 1, 'Business': 1, 'Doctor': 0, 'Farmer': 4, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 12, 2: 0, 1: 0, -3: 2, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 0, -2: 0, 2: 1, 1: 10, 0: 0, -3: 0, -1: 4}, 'policy_strength_legalize_medical_marijuana': {2: 10, 3: 5, -1: 0, 1: 0, -2: 0, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 10, -2: 0, 1: 0, 3: 4, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 0, 1: 5, -1: 0, 2: 8, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 4, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 1, 51: 0, 65: 1, 54: 0, 63: 0, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 3, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 1, 56: 2, 69: 0, 39: 0}, 'political_experience': {9: 4, 5: 0, 8: 1, 2: 0, 12: 1, 10: 0, 6: 1, 11: 0, 15: 0, 14: 0, 7: 6, 3: 0, 13: 2, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 10, 2: 0, -3: 1, 3: 0, 1: 0, 0: 1}}	1566405663529	add_to_committee	fQgKCA4w7L0D	phase_1	p74	447.9210000038147
4	{'party': {'Democrat': 15, 'Republican': 0}, 'gender': {'Male': 14, 'Female': 1}, 'religion': {'Christian': 13, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 1, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 3, 1: 2, -1: 0, 2: 10, -2: 0, -3: 0, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 7, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 4}, 'occupation': {'Financier': 1, 'Engineer': 0, 'Career Politician': 3, 'Lawyer': 2, 'Judge': 3, 'Educator': 1, 'Business': 1, 'Doctor': 0, 'Farmer': 4, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 12, 2: 0, 1: 0, -3: 2, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 0, -2: 0, 2: 1, 1: 10, 0: 0, -3: 0, -1: 4}, 'policy_strength_legalize_medical_marijuana': {2: 10, 3: 5, -1: 0, 1: 0, -2: 0, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 10, -2: 0, 1: 0, 3: 4, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 0, 1: 5, -1: 0, 2: 8, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 4, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 1, 51: 0, 65: 1, 54: 0, 63: 0, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 3, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 1, 56: 2, 69: 0, 39: 0}, 'political_experience': {9: 4, 5: 0, 8: 1, 2: 0, 12: 1, 10: 0, 6: 1, 11: 0, 15: 0, 14: 0, 7: 6, 3: 0, 13: 2, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 10, 2: 0, -3: 1, 3: 0, 1: 0, 0: 1}}	1566405753770	add_to_committee	fQgKCA4w7L0D	phase_1	p74	538.1619999408722
5	{'party': {'Democrat': 15, 'Republican': 0}, 'gender': {'Male': 14, 'Female': 1}, 'religion': {'Christian': 13, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 1, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 3, 1: 2, -1: 0, 2: 10, -2: 0, -3: 0, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 7, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 4}, 'occupation': {'Financier': 1, 'Engineer': 0, 'Career Politician': 3, 'Lawyer': 2, 'Judge': 3, 'Educator': 1, 'Business': 1, 'Doctor': 0, 'Farmer': 4, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 12, 2: 0, 1: 0, -3: 2, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 0, -2: 0, 2: 1, 1: 10, 0: 0, -3: 0, -1: 4}, 'policy_strength_legalize_medical_marijuana': {2: 10, 3: 5, -1: 0, 1: 0, -2: 0, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 10, -2: 0, 1: 0, 3: 4, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 0, 1: 5, -1: 0, 2: 8, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 4, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 1, 51: 0, 65: 1, 54: 0, 63: 0, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 3, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 1, 56: 2, 69: 0, 39: 0}, 'political_experience': {9: 4, 5: 0, 8: 1, 2: 0, 12: 1, 10: 0, 6: 1, 11: 0, 15: 0, 14: 0, 7: 6, 3: 0, 13: 2, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 10, 2: 0, -3: 1, 3: 0, 1: 0, 0: 1}}	1566405759874	remove_from_committee	fQgKCA4w7L0D	phase_1	p23	544.2660000324249
6	{'party': {'Democrat': 15, 'Republican': 0}, 'gender': {'Male': 14, 'Female': 1}, 'religion': {'Christian': 13, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 1, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 3, 1: 2, -1: 0, 2: 10, -2: 0, -3: 0, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 7, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 4}, 'occupation': {'Financier': 1, 'Engineer': 0, 'Career Politician': 3, 'Lawyer': 2, 'Judge': 3, 'Educator': 1, 'Business': 1, 'Doctor': 0, 'Farmer': 4, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 12, 2: 0, 1: 0, -3: 2, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 0, -2: 0, 2: 1, 1: 10, 0: 0, -3: 0, -1: 4}, 'policy_strength_legalize_medical_marijuana': {2: 10, 3: 5, -1: 0, 1: 0, -2: 0, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 10, -2: 0, 1: 0, 3: 4, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 0, 1: 5, -1: 0, 2: 8, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 4, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 1, 51: 0, 65: 1, 54: 0, 63: 0, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 3, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 1, 56: 2, 69: 0, 39: 0}, 'political_experience': {9: 4, 5: 0, 8: 1, 2: 0, 12: 1, 10: 0, 6: 1, 11: 0, 15: 0, 14: 0, 7: 6, 3: 0, 13: 2, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 10, 2: 0, -3: 1, 3: 0, 1: 0, 0: 1}}	1566405776770	add_to_committee	fQgKCA4w7L0D	phase_1	p34	561.1619999408722
7	{'party': {'Democrat': 15, 'Republican': 0}, 'gender': {'Male': 14, 'Female': 1}, 'religion': {'Christian': 13, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 1, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 3, 1: 2, -1: 0, 2: 10, -2: 0, -3: 0, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 7, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 4}, 'occupation': {'Financier': 1, 'Engineer': 0, 'Career Politician': 3, 'Lawyer': 2, 'Judge': 3, 'Educator': 1, 'Business': 1, 'Doctor': 0, 'Farmer': 4, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 12, 2: 0, 1: 0, -3: 2, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 0, -2: 0, 2: 1, 1: 10, 0: 0, -3: 0, -1: 4}, 'policy_strength_legalize_medical_marijuana': {2: 10, 3: 5, -1: 0, 1: 0, -2: 0, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 10, -2: 0, 1: 0, 3: 4, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 0, 1: 5, -1: 0, 2: 8, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 4, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 1, 51: 0, 65: 1, 54: 0, 63: 0, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 3, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 1, 56: 2, 69: 0, 39: 0}, 'political_experience': {9: 4, 5: 0, 8: 1, 2: 0, 12: 1, 10: 0, 6: 1, 11: 0, 15: 0, 14: 0, 7: 6, 3: 0, 13: 2, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 10, 2: 0, -3: 1, 3: 0, 1: 0, 0: 1}}	1566406147726	add_to_committee	fQgKCA4w7L0D	phase_1	p74	932.1180000305176
8	{'party': {'Democrat': 15, 'Republican': 0}, 'gender': {'Male': 14, 'Female': 1}, 'religion': {'Christian': 13, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 1, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 3, 1: 2, -1: 0, 2: 10, -2: 0, -3: 0, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 7, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 4}, 'occupation': {'Financier': 1, 'Engineer': 0, 'Career Politician': 3, 'Lawyer': 2, 'Judge': 3, 'Educator': 1, 'Business': 1, 'Doctor': 0, 'Farmer': 4, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 12, 2: 0, 1: 0, -3: 2, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 0, -2: 0, 2: 1, 1: 10, 0: 0, -3: 0, -1: 4}, 'policy_strength_legalize_medical_marijuana': {2: 10, 3: 5, -1: 0, 1: 0, -2: 0, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 10, -2: 0, 1: 0, 3: 4, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 0, 1: 5, -1: 0, 2: 8, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 4, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 1, 51: 0, 65: 1, 54: 0, 63: 0, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 3, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 1, 56: 2, 69: 0, 39: 0}, 'political_experience': {9: 4, 5: 0, 8: 1, 2: 0, 12: 1, 10: 0, 6: 1, 11: 0, 15: 0, 14: 0, 7: 6, 3: 0, 13: 2, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 10, 2: 0, -3: 1, 3: 0, 1: 0, 0: 1}}	1566406159158	add_to_committee	fQgKCA4w7L0D	phase_1	p74	943.5499999523163
9	{'party': {'Democrat': 15, 'Republican': 0}, 'gender': {'Male': 14, 'Female': 1}, 'religion': {'Christian': 13, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 1, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 3, 1: 2, -1: 0, 2: 10, -2: 0, -3: 0, 0: 0}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 7, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 4}, 'occupation': {'Financier': 1, 'Engineer': 0, 'Career Politician': 3, 'Lawyer': 2, 'Judge': 3, 'Educator': 1, 'Business': 1, 'Doctor': 0, 'Farmer': 4, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 12, 2: 0, 1: 0, -3: 2, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 0, -2: 0, 2: 1, 1: 10, 0: 0, -3: 0, -1: 4}, 'policy_strength_legalize_medical_marijuana': {2: 10, 3: 5, -1: 0, 1: 0, -2: 0, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 10, -2: 0, 1: 0, 3: 4, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 2, 0: 0, -2: 0, 1: 5, -1: 0, 2: 8, -3: 0}, 'age': {42: 0, 45: 0, 44: 0, 55: 0, 43: 0, 50: 0, 58: 4, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 1, 51: 0, 65: 1, 54: 0, 63: 0, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 3, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 1, 56: 2, 69: 0, 39: 0}, 'political_experience': {9: 4, 5: 0, 8: 1, 2: 0, 12: 1, 10: 0, 6: 1, 11: 0, 15: 0, 14: 0, 7: 6, 3: 0, 13: 2, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 10, 2: 0, -3: 1, 3: 0, 1: 0, 0: 1}}	1566406203742	add_to_committee	fQgKCA4w7L0D	phase_1	p34	988.1340000629425
