	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 6, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 1, 2: 2, -2: 0, -3: 0, 0: 1}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 5, 'Bachelor Degree': 1, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 2, 'Judge': 1, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 5, 2: 0, 1: 1, -3: 2, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 1, 2: 4, 1: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 2, -1: 0, 1: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 0, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 2, -1: 1, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 1, 43: 0, 50: 0, 58: 1, 57: 1, 46: 0, 77: 0, 52: 0, 61: 1, 64: 0, 53: 0, 51: 0, 65: 1, 54: 0, 63: 1, 75: 1, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 2, 8: 2, 2: 0, 12: 1, 10: 0, 6: 2, 11: 0, 15: 0, 14: 0, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 0, -1: 4, 2: 1, -3: 3, 3: 0, 1: 1, 0: 1}}	1566915518675	add_to_committee	g2c4CLlqIc97	phase_1	p12	153.7699999809265
1	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 6, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 1, 2: 2, -2: 0, -3: 0, 0: 1}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 5, 'Bachelor Degree': 1, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 2, 'Judge': 1, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 5, 2: 0, 1: 1, -3: 2, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 1, 2: 4, 1: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 2, -1: 0, 1: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 0, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 2, -1: 1, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 1, 43: 0, 50: 0, 58: 1, 57: 1, 46: 0, 77: 0, 52: 0, 61: 1, 64: 0, 53: 0, 51: 0, 65: 1, 54: 0, 63: 1, 75: 1, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 2, 8: 2, 2: 0, 12: 1, 10: 0, 6: 2, 11: 0, 15: 0, 14: 0, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 0, -1: 4, 2: 1, -3: 3, 3: 0, 1: 1, 0: 1}}	1566915655104	add_to_committee	g2c4CLlqIc97	phase_1	p02	290.19900012016296
2	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 6, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 1, 2: 2, -2: 0, -3: 0, 0: 1}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 5, 'Bachelor Degree': 1, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 2, 'Judge': 1, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 5, 2: 0, 1: 1, -3: 2, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 1, 2: 4, 1: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 2, -1: 0, 1: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 0, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 2, -1: 1, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 1, 43: 0, 50: 0, 58: 1, 57: 1, 46: 0, 77: 0, 52: 0, 61: 1, 64: 0, 53: 0, 51: 0, 65: 1, 54: 0, 63: 1, 75: 1, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 2, 8: 2, 2: 0, 12: 1, 10: 0, 6: 2, 11: 0, 15: 0, 14: 0, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 0, -1: 4, 2: 1, -3: 3, 3: 0, 1: 1, 0: 1}}	1566915811649	add_to_committee	g2c4CLlqIc97	phase_1	p08	446.74399995803833
3	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 6, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 1, 2: 2, -2: 0, -3: 0, 0: 1}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 5, 'Bachelor Degree': 1, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 2, 'Judge': 1, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 5, 2: 0, 1: 1, -3: 2, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 1, 2: 4, 1: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 2, -1: 0, 1: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 0, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 2, -1: 1, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 1, 43: 0, 50: 0, 58: 1, 57: 1, 46: 0, 77: 0, 52: 0, 61: 1, 64: 0, 53: 0, 51: 0, 65: 1, 54: 0, 63: 1, 75: 1, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 2, 8: 2, 2: 0, 12: 1, 10: 0, 6: 2, 11: 0, 15: 0, 14: 0, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 0, -1: 4, 2: 1, -3: 3, 3: 0, 1: 1, 0: 1}}	1566915914775	add_to_committee	g2c4CLlqIc97	phase_1	p79	549.8700001239777
4	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 6, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 1, 2: 2, -2: 0, -3: 0, 0: 1}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 5, 'Bachelor Degree': 1, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 2, 'Judge': 1, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 5, 2: 0, 1: 1, -3: 2, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 1, 2: 4, 1: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 2, -1: 0, 1: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 0, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 2, -1: 1, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 1, 43: 0, 50: 0, 58: 1, 57: 1, 46: 0, 77: 0, 52: 0, 61: 1, 64: 0, 53: 0, 51: 0, 65: 1, 54: 0, 63: 1, 75: 1, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 2, 8: 2, 2: 0, 12: 1, 10: 0, 6: 2, 11: 0, 15: 0, 14: 0, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 0, -1: 4, 2: 1, -3: 3, 3: 0, 1: 1, 0: 1}}	1566915951993	add_to_committee	g2c4CLlqIc97	phase_1	p82	587.0880000591278
5	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 6, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 1, 2: 2, -2: 0, -3: 0, 0: 1}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 5, 'Bachelor Degree': 1, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 2, 'Judge': 1, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 5, 2: 0, 1: 1, -3: 2, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 1, 2: 4, 1: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 2, -1: 0, 1: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 0, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 2, -1: 1, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 1, 43: 0, 50: 0, 58: 1, 57: 1, 46: 0, 77: 0, 52: 0, 61: 1, 64: 0, 53: 0, 51: 0, 65: 1, 54: 0, 63: 1, 75: 1, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 2, 8: 2, 2: 0, 12: 1, 10: 0, 6: 2, 11: 0, 15: 0, 14: 0, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 0, -1: 4, 2: 1, -3: 3, 3: 0, 1: 1, 0: 1}}	1566916222833	add_to_committee	g2c4CLlqIc97	phase_1	p28	857.9279999732971
6	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 6, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 1, 2: 2, -2: 0, -3: 0, 0: 1}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 5, 'Bachelor Degree': 1, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 2, 'Judge': 1, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 5, 2: 0, 1: 1, -3: 2, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 1, 2: 4, 1: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 2, -1: 0, 1: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 0, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 2, -1: 1, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 1, 43: 0, 50: 0, 58: 1, 57: 1, 46: 0, 77: 0, 52: 0, 61: 1, 64: 0, 53: 0, 51: 0, 65: 1, 54: 0, 63: 1, 75: 1, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 2, 8: 2, 2: 0, 12: 1, 10: 0, 6: 2, 11: 0, 15: 0, 14: 0, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 0, -1: 4, 2: 1, -3: 3, 3: 0, 1: 1, 0: 1}}	1566916306580	add_to_committee	g2c4CLlqIc97	phase_1	p20	941.6749999523163
7	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 6, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 1, 2: 2, -2: 0, -3: 0, 0: 1}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 5, 'Bachelor Degree': 1, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 2, 'Judge': 1, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 5, 2: 0, 1: 1, -3: 2, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 1, 2: 4, 1: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 2, -1: 0, 1: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 0, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 2, -1: 1, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 1, 43: 0, 50: 0, 58: 1, 57: 1, 46: 0, 77: 0, 52: 0, 61: 1, 64: 0, 53: 0, 51: 0, 65: 1, 54: 0, 63: 1, 75: 1, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 2, 8: 2, 2: 0, 12: 1, 10: 0, 6: 2, 11: 0, 15: 0, 14: 0, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 0, -1: 4, 2: 1, -3: 3, 3: 0, 1: 1, 0: 1}}	1566916379280	add_to_committee	g2c4CLlqIc97	phase_1	p92	1014.375
8	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 6, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 1, 2: 2, -2: 0, -3: 0, 0: 1}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 5, 'Bachelor Degree': 1, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 2, 'Judge': 1, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 5, 2: 0, 1: 1, -3: 2, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 1, 2: 4, 1: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 2, -1: 0, 1: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 0, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 2, -1: 1, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 1, 43: 0, 50: 0, 58: 1, 57: 1, 46: 0, 77: 0, 52: 0, 61: 1, 64: 0, 53: 0, 51: 0, 65: 1, 54: 0, 63: 1, 75: 1, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 2, 8: 2, 2: 0, 12: 1, 10: 0, 6: 2, 11: 0, 15: 0, 14: 0, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 0, -1: 4, 2: 1, -3: 3, 3: 0, 1: 1, 0: 1}}	1566916450383	add_to_committee	g2c4CLlqIc97	phase_1	p37	1085.4779999256134
9	{'party': {'Democrat': 8, 'Republican': 2}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 6, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 1, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 2, 1: 4, -1: 1, 2: 2, -2: 0, -3: 0, 0: 1}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 5, 'Bachelor Degree': 1, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 2, 'Lawyer': 2, 'Judge': 1, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 5, 2: 0, 1: 1, -3: 2, 3: 0, 0: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 1, 2: 4, 1: 2, 0: 0, -3: 0, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 2, -1: 0, 1: 2, -2: 2, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 4, -2: 1, 1: 1, 3: 3, 0: 0, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 1, 1: 2, -1: 1, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 1, 43: 0, 50: 0, 58: 1, 57: 1, 46: 0, 77: 0, 52: 0, 61: 1, 64: 0, 53: 0, 51: 0, 65: 1, 54: 0, 63: 1, 75: 1, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 2, 8: 2, 2: 0, 12: 1, 10: 0, 6: 2, 11: 0, 15: 0, 14: 0, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 0, -1: 4, 2: 1, -3: 3, 3: 0, 1: 1, 0: 1}}	1566916521801	add_to_committee	g2c4CLlqIc97	phase_1	p44	1156.8960001468658
