	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 5, 'Jewish': 3, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 4, -1: 0, 2: 1, -2: 3, -3: 1, 0: 1}, 'education': {'Master Degree': 0, 'PhD': 1, 'Law Degree': 2, 'Bachelor Degree': 6, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 2, 'Educator': 0, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 2, 2: 2, 1: 1, -3: 0, 3: 0, 0: 2}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 2, 1: 0, 0: 1, -3: 1, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 2, 3: 2, -1: 1, 1: 1, -2: 4, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 2, 1: 1, 3: 1, 0: 2, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 1, -2: 2, 1: 1, -1: 3, 2: 3, -3: 0}, 'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 2, 8: 1, 2: 0, 12: 0, 10: 1, 6: 1, 11: 1, 15: 1, 14: 2, 7: 0, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 1, 2: 3, -3: 1, 3: 1, 1: 1, 0: 0}}	1566843204148	add_to_committee	m8YdCZB7euiy	phase_1	p02	47.361000061035156
1	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 5, 'Jewish': 3, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 4, -1: 0, 2: 1, -2: 3, -3: 1, 0: 1}, 'education': {'Master Degree': 0, 'PhD': 1, 'Law Degree': 2, 'Bachelor Degree': 6, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 2, 'Educator': 0, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 2, 2: 2, 1: 1, -3: 0, 3: 0, 0: 2}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 2, 1: 0, 0: 1, -3: 1, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 2, 3: 2, -1: 1, 1: 1, -2: 4, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 2, 1: 1, 3: 1, 0: 2, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 1, -2: 2, 1: 1, -1: 3, 2: 3, -3: 0}, 'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 2, 8: 1, 2: 0, 12: 0, 10: 1, 6: 1, 11: 1, 15: 1, 14: 2, 7: 0, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 1, 2: 3, -3: 1, 3: 1, 1: 1, 0: 0}}	1566843229716	add_to_committee	m8YdCZB7euiy	phase_1	p45	72.92900013923645
2	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 5, 'Jewish': 3, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 4, -1: 0, 2: 1, -2: 3, -3: 1, 0: 1}, 'education': {'Master Degree': 0, 'PhD': 1, 'Law Degree': 2, 'Bachelor Degree': 6, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 2, 'Educator': 0, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 2, 2: 2, 1: 1, -3: 0, 3: 0, 0: 2}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 2, 1: 0, 0: 1, -3: 1, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 2, 3: 2, -1: 1, 1: 1, -2: 4, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 2, 1: 1, 3: 1, 0: 2, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 1, -2: 2, 1: 1, -1: 3, 2: 3, -3: 0}, 'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 2, 8: 1, 2: 0, 12: 0, 10: 1, 6: 1, 11: 1, 15: 1, 14: 2, 7: 0, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 1, 2: 3, -3: 1, 3: 1, 1: 1, 0: 0}}	1566843246075	add_to_committee	m8YdCZB7euiy	phase_1	p06	89.28800010681152
3	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 5, 'Jewish': 3, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 4, -1: 0, 2: 1, -2: 3, -3: 1, 0: 1}, 'education': {'Master Degree': 0, 'PhD': 1, 'Law Degree': 2, 'Bachelor Degree': 6, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 2, 'Educator': 0, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 2, 2: 2, 1: 1, -3: 0, 3: 0, 0: 2}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 2, 1: 0, 0: 1, -3: 1, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 2, 3: 2, -1: 1, 1: 1, -2: 4, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 2, 1: 1, 3: 1, 0: 2, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 1, -2: 2, 1: 1, -1: 3, 2: 3, -3: 0}, 'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 2, 8: 1, 2: 0, 12: 0, 10: 1, 6: 1, 11: 1, 15: 1, 14: 2, 7: 0, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 1, 2: 3, -3: 1, 3: 1, 1: 1, 0: 0}}	1566843330821	add_to_committee	m8YdCZB7euiy	phase_1	p23	174.03400015830994
4	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 5, 'Jewish': 3, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 4, -1: 0, 2: 1, -2: 3, -3: 1, 0: 1}, 'education': {'Master Degree': 0, 'PhD': 1, 'Law Degree': 2, 'Bachelor Degree': 6, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 2, 'Educator': 0, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 2, 2: 2, 1: 1, -3: 0, 3: 0, 0: 2}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 2, 1: 0, 0: 1, -3: 1, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 2, 3: 2, -1: 1, 1: 1, -2: 4, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 2, 1: 1, 3: 1, 0: 2, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 1, -2: 2, 1: 1, -1: 3, 2: 3, -3: 0}, 'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 2, 8: 1, 2: 0, 12: 0, 10: 1, 6: 1, 11: 1, 15: 1, 14: 2, 7: 0, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 1, 2: 3, -3: 1, 3: 1, 1: 1, 0: 0}}	1566843399111	add_to_committee	m8YdCZB7euiy	phase_1	p92	242.32400012016296
5	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 5, 'Jewish': 3, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 4, -1: 0, 2: 1, -2: 3, -3: 1, 0: 1}, 'education': {'Master Degree': 0, 'PhD': 1, 'Law Degree': 2, 'Bachelor Degree': 6, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 2, 'Educator': 0, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 2, 2: 2, 1: 1, -3: 0, 3: 0, 0: 2}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 2, 1: 0, 0: 1, -3: 1, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 2, 3: 2, -1: 1, 1: 1, -2: 4, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 2, 1: 1, 3: 1, 0: 2, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 1, -2: 2, 1: 1, -1: 3, 2: 3, -3: 0}, 'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 2, 8: 1, 2: 0, 12: 0, 10: 1, 6: 1, 11: 1, 15: 1, 14: 2, 7: 0, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 1, 2: 3, -3: 1, 3: 1, 1: 1, 0: 0}}	1566843418696	add_to_committee	m8YdCZB7euiy	phase_1	p89	261.90900015830994
6	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 5, 'Jewish': 3, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 4, -1: 0, 2: 1, -2: 3, -3: 1, 0: 1}, 'education': {'Master Degree': 0, 'PhD': 1, 'Law Degree': 2, 'Bachelor Degree': 6, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 2, 'Educator': 0, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 2, 2: 2, 1: 1, -3: 0, 3: 0, 0: 2}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 2, 1: 0, 0: 1, -3: 1, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 2, 3: 2, -1: 1, 1: 1, -2: 4, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 2, 1: 1, 3: 1, 0: 2, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 1, -2: 2, 1: 1, -1: 3, 2: 3, -3: 0}, 'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 2, 8: 1, 2: 0, 12: 0, 10: 1, 6: 1, 11: 1, 15: 1, 14: 2, 7: 0, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 1, 2: 3, -3: 1, 3: 1, 1: 1, 0: 0}}	1566843437209	add_to_committee	m8YdCZB7euiy	phase_1	p90	280.422000169754
7	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 5, 'Jewish': 3, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 4, -1: 0, 2: 1, -2: 3, -3: 1, 0: 1}, 'education': {'Master Degree': 0, 'PhD': 1, 'Law Degree': 2, 'Bachelor Degree': 6, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 2, 'Educator': 0, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 2, 2: 2, 1: 1, -3: 0, 3: 0, 0: 2}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 2, 1: 0, 0: 1, -3: 1, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 2, 3: 2, -1: 1, 1: 1, -2: 4, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 2, 1: 1, 3: 1, 0: 2, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 1, -2: 2, 1: 1, -1: 3, 2: 3, -3: 0}, 'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 2, 8: 1, 2: 0, 12: 0, 10: 1, 6: 1, 11: 1, 15: 1, 14: 2, 7: 0, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 1, 2: 3, -3: 1, 3: 1, 1: 1, 0: 0}}	1566843446297	add_to_committee	m8YdCZB7euiy	phase_1	p66	289.50999999046326
8	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 5, 'Jewish': 3, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 4, -1: 0, 2: 1, -2: 3, -3: 1, 0: 1}, 'education': {'Master Degree': 0, 'PhD': 1, 'Law Degree': 2, 'Bachelor Degree': 6, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 2, 'Educator': 0, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 2, 2: 2, 1: 1, -3: 0, 3: 0, 0: 2}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 2, 1: 0, 0: 1, -3: 1, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 2, 3: 2, -1: 1, 1: 1, -2: 4, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 2, 1: 1, 3: 1, 0: 2, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 1, -2: 2, 1: 1, -1: 3, 2: 3, -3: 0}, 'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 2, 8: 1, 2: 0, 12: 0, 10: 1, 6: 1, 11: 1, 15: 1, 14: 2, 7: 0, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 1, 2: 3, -3: 1, 3: 1, 1: 1, 0: 0}}	1566843476730	add_to_committee	m8YdCZB7euiy	phase_1	p78	319.9430000782013
9	{'party': {'Democrat': 5, 'Republican': 5}, 'gender': {'Male': 5, 'Female': 5}, 'religion': {'Christian': 5, 'Jewish': 3, 'Muslim': 1, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 4, -1: 0, 2: 1, -2: 3, -3: 1, 0: 1}, 'education': {'Master Degree': 0, 'PhD': 1, 'Law Degree': 2, 'Bachelor Degree': 6, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 2, 'Educator': 0, 'Business': 6, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 3, -2: 2, 2: 2, 1: 1, -3: 0, 3: 0, 0: 2}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 3, -2: 2, 2: 2, 1: 0, 0: 1, -3: 1, -1: 1}, 'policy_strength_legalize_medical_marijuana': {2: 2, 3: 2, -1: 1, 1: 1, -2: 4, -3: 0, 0: 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 2, 1: 1, 3: 1, 0: 2, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 1, -2: 2, 1: 1, -1: 3, 2: 3, -3: 0}, 'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 1, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 1, 53: 0, 51: 1, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 0, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'political_experience': {9: 1, 5: 2, 8: 1, 2: 0, 12: 0, 10: 1, 6: 1, 11: 1, 15: 1, 14: 2, 7: 0, 3: 0, 13: 0, 18: 0, 4: 0}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 1, 2: 3, -3: 1, 3: 1, 1: 1, 0: 0}}	1566843651720	add_to_committee	m8YdCZB7euiy	phase_1	p24	494.93300008773804
