	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	1	1566396863218	add_to_committee	531UXi27EEuE	phase_1	p34	0.034999847412109375
1	2	1566396866510	add_to_committee	531UXi27EEuE	phase_1	p45	3.3269999027252197
2	3	1566396867790	add_to_committee	531UXi27EEuE	phase_1	p45	4.60699987411499
3	4	1566396868543	add_to_committee	531UXi27EEuE	phase_1	p34	5.359999895095825
4	3	1566396870287	remove_from_committee	531UXi27EEuE	phase_1	p34	7.103999853134155
5	2	1566396878751	remove_from_committee	531UXi27EEuE	phase_1	p45	15.567999839782715
6	3	1566397253801	add_to_committee	531UXi27EEuE	phase_1	p34	390.6180000305176
7	4	1566397292586	add_to_committee	531UXi27EEuE	phase_1	p01	429.4029998779297
8	5	1566397305771	add_to_committee	531UXi27EEuE	phase_1	p05	442.58799982070923
9	6	1566397307538	add_to_committee	531UXi27EEuE	phase_1	p34	444.3550000190735
10	5	1566397309362	remove_from_committee	531UXi27EEuE	phase_1	p34	446.17899990081787
11	6	1566397318330	add_to_committee	531UXi27EEuE	phase_1	p02	455.146999835968
12	7	1566397330314	add_to_committee	531UXi27EEuE	phase_1	p23	467.1309998035431
13	8	1566397348131	add_to_committee	531UXi27EEuE	phase_1	p09	484.94799995422363
14	9	1566397376035	add_to_committee	531UXi27EEuE	phase_1	p35	512.8519999980927
15	10	1566397412171	add_to_committee	531UXi27EEuE	phase_1	p30	548.9879999160767
16	11	1566397420475	add_to_committee	531UXi27EEuE	phase_1	p97	557.2919998168945
17	12	1566397638973	add_to_committee	531UXi27EEuE	phase_1	p54	775.789999961853
18	13	1566397651909	add_to_committee	531UXi27EEuE	phase_1	p50	788.7259998321533
19	12	1566397704463	remove_from_committee	531UXi27EEuE	phase_1	p02	841.2799999713898
20	11	1566397711261	remove_from_committee	531UXi27EEuE	phase_1	p09	848.077999830246
21	10	1566397724382	remove_from_committee	531UXi27EEuE	phase_1	p30	861.1989998817444
22	11	1566397747966	add_to_committee	531UXi27EEuE	phase_1	p24	884.7829999923706
23	12	1566397750886	add_to_committee	531UXi27EEuE	phase_1	p88	887.702999830246
24	13	1566397760614	add_to_committee	531UXi27EEuE	phase_1	p48	897.430999994278
25	12	1566397813967	remove_from_committee	531UXi27EEuE	phase_1	p35	950.7839999198914
26	13	1566397832543	add_to_committee	531UXi27EEuE	phase_1	p65	969.3599998950958
