	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	1	1566836256946	add_to_committee	6XiVahmAR94D	phase_1	p44	268.67900013923645
1	2	1566836271523	add_to_committee	6XiVahmAR94D	phase_1	p12	283.25600004196167
2	3	1566836275371	add_to_committee	6XiVahmAR94D	phase_1	p20	287.10400009155273
3	4	1566836288443	add_to_committee	6XiVahmAR94D	phase_1	p28	300.1760001182556
4	5	1566836299828	add_to_committee	6XiVahmAR94D	phase_1	p66	311.5610001087189
5	6	1566836304916	add_to_committee	6XiVahmAR94D	phase_1	p02	316.6489999294281
6	7	1566836332052	add_to_committee	6XiVahmAR94D	phase_1	p84	343.7850000858307
7	8	1566836336892	add_to_committee	6XiVahmAR94D	phase_1	p58	348.625
8	9	1566836345709	add_to_committee	6XiVahmAR94D	phase_1	p24	357.44200015068054
9	10	1566836352406	add_to_committee	6XiVahmAR94D	phase_1	p78	364.13899993896484
10	9	1566836518458	remove_from_committee	6XiVahmAR94D	phase_1	p66	530.1909999847412
11	10	1566836523027	add_to_committee	6XiVahmAR94D	phase_1	p29	534.7599999904633
12	9	1566836560619	remove_from_committee	6XiVahmAR94D	phase_1	p28	572.3519999980927
13	10	1566836562355	add_to_committee	6XiVahmAR94D	phase_1	p30	574.0880000591278
14	9	1566836590621	remove_from_committee	6XiVahmAR94D	phase_1	p44	602.3540000915527
15	10	1566836599166	add_to_committee	6XiVahmAR94D	phase_1	p36	610.8989999294281
16	9	1566836616877	remove_from_committee	6XiVahmAR94D	phase_1	p30	628.6100001335144
17	10	1566836618524	add_to_committee	6XiVahmAR94D	phase_1	p77	630.2569999694824
18	9	1566836646925	remove_from_committee	6XiVahmAR94D	phase_1	p58	658.6579999923706
19	8	1566836652134	remove_from_committee	6XiVahmAR94D	phase_1	p78	663.8670001029968
20	9	1566836661399	add_to_committee	6XiVahmAR94D	phase_1	p87	673.1319999694824
21	10	1566836667001	add_to_committee	6XiVahmAR94D	phase_1	p44	678.7339999675751
