	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	1	1565905573046	add_to_committee	WmtJlhR8J1J0	phase_1	p59	41.60700011253357
1	2	1565905599615	add_to_committee	WmtJlhR8J1J0	phase_1	p33	68.17600011825562
2	1	1565905602879	remove_from_committee	WmtJlhR8J1J0	phase_1	p33	71.44000005722046
3	0	1565905603695	remove_from_committee	WmtJlhR8J1J0	phase_1	p59	72.25600004196167
4	1	1565905641944	add_to_committee	WmtJlhR8J1J0	phase_1	p59	110.50500011444092
5	2	1565905734561	add_to_committee	WmtJlhR8J1J0	phase_1	p99	203.12200021743774
6	3	1565905756649	add_to_committee	WmtJlhR8J1J0	phase_1	p45	225.21000003814697
7	2	1565905760376	remove_from_committee	WmtJlhR8J1J0	phase_1	p99	228.93700003623962
8	3	1565905831337	add_to_committee	WmtJlhR8J1J0	phase_1	p92	299.89800000190735
9	4	1565905980180	add_to_committee	WmtJlhR8J1J0	phase_1	p07	448.7410001754761
10	3	1565905983108	remove_from_committee	WmtJlhR8J1J0	phase_1	p07	451.6690001487732
11	4	1565906001756	add_to_committee	WmtJlhR8J1J0	phase_1	p08	470.31700015068054
12	5	1565906055197	add_to_committee	WmtJlhR8J1J0	phase_1	p05	523.7580001354218
13	6	1565906090909	add_to_committee	WmtJlhR8J1J0	phase_1	p41	559.4700000286102
14	5	1565906101388	remove_from_committee	WmtJlhR8J1J0	phase_1	p41	569.949000120163
15	6	1565906144085	add_to_committee	WmtJlhR8J1J0	phase_1	p90	612.6460001468658
16	7	1565906207005	add_to_committee	WmtJlhR8J1J0	phase_1	p48	675.5660002231598
17	8	1565906249382	add_to_committee	WmtJlhR8J1J0	phase_1	p02	717.9430000782013
18	9	1565906314839	add_to_committee	WmtJlhR8J1J0	phase_1	p66	783.4000000953674
19	10	1565906365047	add_to_committee	WmtJlhR8J1J0	phase_1	p12	833.6080000400543
20	9	1565906378752	remove_from_committee	WmtJlhR8J1J0	phase_1	p66	847.313000202179
21	10	1565906388768	add_to_committee	WmtJlhR8J1J0	phase_1	p78	857.3289999961853
22	9	1565906461746	remove_from_committee	WmtJlhR8J1J0	phase_1	p05	930.3070001602173
23	10	1565906537490	add_to_committee	WmtJlhR8J1J0	phase_1	p89	1006.0510001182556
