	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	1	1566405310735	add_to_committee	fQgKCA4w7L0D	phase_1	p12	95.1269998550415
1	0	1566405377479	remove_from_committee	fQgKCA4w7L0D	phase_1	p12	161.8710000514984
2	1	1566405594449	add_to_committee	fQgKCA4w7L0D	phase_1	p23	378.84099984169006
3	2	1566405663529	add_to_committee	fQgKCA4w7L0D	phase_1	p74	447.9210000038147
4	3	1566405753770	add_to_committee	fQgKCA4w7L0D	phase_1	p74	538.1619999408722
5	2	1566405759874	remove_from_committee	fQgKCA4w7L0D	phase_1	p23	544.2660000324249
6	3	1566405776770	add_to_committee	fQgKCA4w7L0D	phase_1	p34	561.1619999408722
7	4	1566406147726	add_to_committee	fQgKCA4w7L0D	phase_1	p74	932.1180000305176
8	5	1566406159158	add_to_committee	fQgKCA4w7L0D	phase_1	p74	943.5499999523163
9	6	1566406203742	add_to_committee	fQgKCA4w7L0D	phase_1	p34	988.1340000629425
10	7	1566406210582	add_to_committee	fQgKCA4w7L0D	phase_1	p34	994.9739999771118
11	8	1566406211758	add_to_committee	fQgKCA4w7L0D	phase_1	p29	996.1499998569489
12	9	1566406212414	add_to_committee	fQgKCA4w7L0D	phase_1	p35	996.805999994278
13	10	1566406213214	add_to_committee	fQgKCA4w7L0D	phase_1	p72	997.6059999465942
14	11	1566406214479	add_to_committee	fQgKCA4w7L0D	phase_1	p30	998.8710000514984
15	12	1566406215193	add_to_committee	fQgKCA4w7L0D	phase_1	p79	999.585000038147
16	13	1566406216149	add_to_committee	fQgKCA4w7L0D	phase_1	p70	1000.5409998893738
17	14	1566406217710	add_to_committee	fQgKCA4w7L0D	phase_1	p28	1002.1019999980927
18	15	1566406271014	add_to_committee	fQgKCA4w7L0D	phase_1	p91	1055.4059998989105
