	age	appMode	appPhase	appType	education	first_name	gender	id	interactionAt	interactionType	last_name	occupation	participantId	party	policy_strength_ban_abortion_after_6_weeks	policy_strength_ban_alcohol_sales_on_sundays	policy_strength_budget_for_free_school_lunch_program	policy_strength_increase_budget_for_medicare_coverage	policy_strength_increase_budget_for_veterans_affairs	policy_strength_increase_gun_control_legislation	policy_strength_legalize_medical_marijuana	political_experience	processed_at	relativeInteractionAt	religion
0	0.0	live	phase_1	CONTROL	0.0	0.0	0.0	0.0	1566910875254	mouseout	0.0	0.0	28brBef2NP77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566910875266	2.7960000038146973	0.0
1	0.0	live	phase_1	CONTROL	0.0	0.0	0.0	0.0	1566910890371	mouseout	0.0	0.0	28brBef2NP77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566910890382	17.913000106811523	0.0
2	0.0	live	phase_1	CONTROL	0.0	0.0	0.0	0.0	1566910885000	mouseout	0.0	0.0	28brBef2NP77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566910885013	12.54200005531311	0.0
3	0.0	live	phase_1	CONTROL	0.0	0.0	0.0	0.0	1566910896725	add_to_list_via_scatterplot_click	0.0	0.0	28brBef2NP77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566910896738	24.26699995994568	0.0
4	0.0	live	phase_1	CONTROL	0.0	0.0	0.0	0.0	1566910896866	mouseout	0.0	0.0	28brBef2NP77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566910896880	24.407999992370605	0.0
5	0.0	live	phase_1	CONTROL	0.0	0.0	0.0	0.0	1566910901045	mouseout	0.0	0.0	28brBef2NP77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566910901057	28.587000131607056	0.0
6	0.0	live	phase_1	CONTROL	0.0	0.0	0.0	0.0	1566910905199	mouseout	0.0	0.0	28brBef2NP77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566910905211	32.740999937057495	0.0
7	0.0	live	phase_1	CONTROL	0.0	0.0	0.0	0.0	1566910917395	add_to_list_via_scatterplot_click	0.0	0.0	28brBef2NP77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566910917407	44.937000036239624	0.0
8	0.0	live	phase_1	CONTROL	0.0	0.0	0.0	0.0	1566910917833	mouseout	0.0	0.0	28brBef2NP77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566910917846	45.375	0.0
9	0.20524452591995979	live	phase_1	CONTROL	0.09117212069976977	0.3659077097999961	0.0	0.3725025929445259	1566910920698	mouseout	0.3713351732311372	0.2323300336061852	28brBef2NP77	0.0	0.4701630172799731	0.20524452591995979	0.0	0.4701630172799731	0.0	0.0	0.20524452591995979	0.4701630172799731	1566910920713	48.24000000953674	0.6024620718619015
