id,Title,Worldwide Gross,Production Budget,Release Year,Content Rating,Running Time,Genre,Creative Type,Rotten Tomatoes Rating,IMDB Rating
p001,Going To The Mist,24489150,23000000,2007,R,120,Drama,Dramatization,73,7.4
p002,Dwelling In Nightmares,100853753,65000000,1999,R,139,Drama,Contemporary Fiction,81,8.8
p003,Weep For The World,218673959,75000000,2004,PG-13,128,Drama,Dramatization,60,7.1
p004,Challenging The Swamp,30199105,40000000,2000,R,117,Thriller,Contemporary Fiction,16,5.5
p005,Pleasing The Ocean,230327671,7000000,2007,PG-13,95,Comedy,Contemporary Fiction,93,7.9
p006,Healing My Family,95708457,22000000,2003,R,121,Action,Contemporary Fiction,30,6.7
p007,Rescue At The Castle,48265581,50000000,1997,R,128,Thriller,Contemporary Fiction,80,7.7
p008,Searching In My Dreams,449239855,151500000,2001,PG-13,183,Action,Dramatization,26,5.4
p009,Weep For The Nation,308700000,70000000,1996,R,121,Action,Contemporary Fiction,70,6.6
p010,Escape Technology,158908290,80000000,1996,PG-13,115,Action,Contemporary Fiction,22,5.4
p011,Right About The Past,253025968,180000000,2007,PG-13,91,Action,Contemporary Fiction,19,6
p012,Escaping Nightmares,131237688,45000000,1998,R,121,Action,Super Hero,55,7
p013,Escape The Mist,31487293,10000000,2008,PG-13,90,Drama,Contemporary Fiction,73,6.8
p014,Temptations Of The Nation,238317814,125000000,1997,PG-13,130,Action,Super Hero,11,3.5
p015,Begging In The River,92958031,40000000,2004,PG-13,96,Thriller,Fantasy,46,6.5
p016,Guarding The Leaders,372353017,150000000,2005,PG-13,140,Action,Super Hero,84,8.3
p017,Pleasing The World,5549923,12000000,2006,PG-13,86,Comedy,Contemporary Fiction,50,6.2
p018,New In Town,43607627,27500000,2008,PG-13,114,Comedy,Contemporary Fiction,23,4.5
p019,Shelter At The King,71523271,75000000,2001,PG-13,123,Comedy,Contemporary Fiction,63,6.5
p020,Forsaken By The South,187858642,50000000,2009,PG-13,121,Thriller,Contemporary Fiction,32,6.4
p021,Escaping The End,8135024,20000000,2007,PG-13,91,Comedy,Contemporary Fiction,4,4
p022,Separated In The Immortals,286601374,60000000,1999,R,187,Drama,Fantasy,77,8.4
p023,Trust The Fires,32773011,50000000,1996,R,115,Comedy,Contemporary Fiction,12,3.9
p024,Healing Dreams,185708462,85000000,2007,PG-13,115,Comedy,Contemporary Fiction,14,6.1
p025,Commanding The Sea,301500000,55000000,2000,PG-13,108,Comedy,Contemporary Fiction,84,7
p026,Remember History,90453550,10000000,2000,PG-13,99,Comedy,Contemporary Fiction,63,5.9
p027,Invited By The Mist,241200000,80000000,1997,R,138,Action,Contemporary Fiction,93,7.3
p028,Looking At The Universe,222414517,6000000,2004,R,122,Documentary,Factual,83,7.6
p029,Losing The Shadows,26613620,35000000,1999,PG-13,111,Comedy,Contemporary Fiction,60,6.4
p030,Symbols In The Maze,75383563,60000000,1998,PG-13,168,Drama,Contemporary Fiction,71,6.3
p031,Losing The King,60209334,55000000,1996,PG-13,106,Action,Contemporary Fiction,13,5.2
p032,Mending The Leaders,72383924,20000000,2003,PG,117,Drama,Contemporary Fiction,77,7.1
p033,Eliminating The Animals,86325829,24000000,2003,R,91,Comedy,Contemporary Fiction,60,7
p034,Prepare For My Husband,91036760,25000000,2000,R,114,Action,Contemporary Fiction,33,5.9
p035,Over By The East,97837138,11000000,2003,R,81,Thriller,Contemporary Fiction,71,7.2
p036,Helping My Wife,56709981,60000000,1998,PG-13,112,Drama,Contemporary Fiction,61,6.4
p037,Hurt By History,340934768,75000000,2008,R,110,Action,Science Fiction,71,6.4
p038,Origin Of The Past,46189568,15000000,1998,R,127,Comedy,Contemporary Fiction,78,8.2
p039,Hunting My Leader,20819601,20000000,2007,R,111,Drama,Contemporary Fiction,17,5.8
p040,Fade Into The Ocean,213500000,75000000,2000,PG-13,124,Action,Contemporary Fiction,47,5.6
p041,Sounds In The Void,45016494,55000000,2003,R,94,Action,Contemporary Fiction,31,5.8
p042,Death To Technology,234779795,30000000,1999,PG-13,95,Comedy,Contemporary Fiction,40,4.7
p043,Blinded By The End,95203582,60000000,2007,R,125,Thriller,Contemporary Fiction,48,7.2
p044,Rescue In Nightmares,36850101,60000000,1999,PG,93,Comedy,Science Fiction,13,4.5
p045,Painting My Husband,38283765,35200000,2003,PG-13,95,Comedy,Contemporary Fiction,30,5.1
p046,Battle My Future,257938649,3500000,1997,R,90,Comedy,Contemporary Fiction,95,7.2
p047,Still Breathing In The Town,113542091,68000000,2001,R,124,Thriller,Contemporary Fiction,74,6.8
p048,Crying In The Stars,103891409,73000000,1998,R,99,Thriller,Contemporary Fiction,41,5.8
p049,Running In The City,424259759,110000000,2003,R,129,Action,Science Fiction,37,6.5
p050,Guarded By My Future,118706816,60000000,2004,R,146,Thriller,Contemporary Fiction,38,7.7
p051,Challenge Of The Elements,211700000,66000000,1999,PG-13,112,Thriller,Contemporary Fiction,38,6.1
p052,Praised By The Ships,25873145,14000000,2002,R,95,Comedy,Contemporary Fiction,29,5.3
p053,Rejecting The Emperor,98699769,55000000,1999,PG-13,96,Comedy,Contemporary Fiction,79,6.4
p054,Signs At My Friends,76781410,60000000,2008,R,100,Thriller,Contemporary Fiction,20,6
p055,Dancing In The Castle,63118386,12000000,1996,PG-13,80,Comedy,Contemporary Fiction,71,6.6
p056,Sheltered By The Sun,18582965,55000000,1996,R,117,Thriller,Contemporary Fiction,40,5.6
p057,Crying In My Dreams,60265197,68000000,1999,R,157,Drama,Dramatization,96,8
p058,Chasing Time,178200000,115000000,1997,PG-13,108,Drama,Contemporary Fiction,28,5.6
p059,Delaying My Destiny,26199517,50000000,2002,R,110,Thriller,Contemporary Fiction,54,6.3
p060,Driving Into My End,156835191,30000000,2003,R,137,Drama,Contemporary Fiction,87,8
p061,Eliminating Technology,260197520,71682975,2004,PG-13,108,Thriller,Contemporary Fiction,42,6.6
p062,Eating At The Mines,122840603,15000000,2006,PG-13,103,Drama,Dramatization,97,7.6
p063,Looking At My Past,96398826,40000000,1999,R,119,Thriller,Contemporary Fiction,22,6.3
p064,Separated By The Commander,184319402,29000000,2005,PG-13,80,Drama,Dramatization,82,7.9
p065,Choking In The Swamp,42064105,35000000,2006,PG-13,118,Drama,Contemporary Fiction,24,6.8
p066,Taste Of The Mountains,129425746,30000000,2007,R,130,Drama,Contemporary Fiction,83,7.9
p067,Kicking The Beginning,117448157,36000000,1999,PG-13,95,Action,Contemporary Fiction,35,5.9
p068,Found By My Wife,38329114,57000000,2004,PG-13,97,Action,Contemporary Fiction,18,6.2
p069,Grasping At Secrets,32030610,40000000,2007,R,108,Thriller,Science Fiction,74,7.3
p070,Songs Of The Dungeons,347425832,90000000,2001,PG-13,90,Action,Contemporary Fiction,51,6.4
