appMode,appType,appPhase,interactionType,interactionDuration,interactionAt,participantId,axisChanged,x,y,size,eventX,eventY,id,attribute,value
live,CONTROL,phase_1,axes_attribute_changed,0,1566828722650,0YhSRQx5Cdp5,y_axis,age,policy_strength_legalize_medical_marijuana,NA,333.5,278.0,,,
live,CONTROL,phase_1,axes_attribute_changed,0,1566828736150,0YhSRQx5Cdp5,y_axis,age,policy_strength_ban_abortion_after_6_weeks,NA,333.5,278.0,,,
live,CONTROL,phase_1,axes_attribute_changed,0,1566828746056,0YhSRQx5Cdp5,x_axis,policy_strength_ban_abortion_after_6_weeks,policy_strength_ban_abortion_after_6_weeks,NA,805.0,508.5,,,
live,CONTROL,phase_1,axes_attribute_changed,0,1566828748639,0YhSRQx5Cdp5,y_axis,policy_strength_ban_abortion_after_6_weeks,age,NA,333.5,278.0,,,
live,CONTROL,phase_1,axes_attribute_changed,0,1566828759811,0YhSRQx5Cdp5,y_axis,policy_strength_ban_abortion_after_6_weeks,policy_strength_ban_abortion_after_6_weeks,NA,333.5,278.0,,,
live,CONTROL,phase_1,axes_attribute_changed,0,1566828762535,0YhSRQx5Cdp5,y_axis,policy_strength_ban_abortion_after_6_weeks,policy_strength_budget_for_free_school_lunch_program,NA,333.5,275.0,,,
live,CONTROL,phase_1,mouseover,252,1566828779947,0YhSRQx5Cdp5,,"{'name': 'policy_strength_ban_abortion_after_6_weeks', 'value': -3}","{'name': 'policy_strength_budget_for_free_school_lunch_program', 'value': 3}",,502.0,139.0,p07,,
live,CONTROL,phase_1,mouseout,2334,1566828782029,0YhSRQx5Cdp5,,"{'name': 'policy_strength_ban_abortion_after_6_weeks', 'value': -3}","{'name': 'policy_strength_budget_for_free_school_lunch_program', 'value': 3}",,509.0,159.0,p07,,
live,CONTROL,phase_1,mouseover,254,1566828785033,0YhSRQx5Cdp5,,"{'name': 'policy_strength_ban_abortion_after_6_weeks', 'value': -3}","{'name': 'policy_strength_budget_for_free_school_lunch_program', 'value': 3}",,513.0,144.0,p07,,
live,CONTROL,phase_1,mouseout,1966,1566828786745,0YhSRQx5Cdp5,,"{'name': 'policy_strength_ban_abortion_after_6_weeks', 'value': -3}","{'name': 'policy_strength_budget_for_free_school_lunch_program', 'value': 3}",,511.0,154.0,p07,,
live,CONTROL,phase_1,mouseover,261,1566828803523,0YhSRQx5Cdp5,,"{'name': 'policy_strength_ban_abortion_after_6_weeks', 'value': 3}","{'name': 'policy_strength_budget_for_free_school_lunch_program', 'value': -3}",,1412.0,481.0,p15,,
live,CONTROL,phase_1,mouseout,716,1566828803978,0YhSRQx5Cdp5,,"{'name': 'policy_strength_ban_abortion_after_6_weeks', 'value': 3}","{'name': 'policy_strength_budget_for_free_school_lunch_program', 'value': -3}",,1412.0,480.0,p15,,
live,CONTROL,phase_1,mouseover,254,1566828804866,0YhSRQx5Cdp5,,"{'name': 'policy_strength_ban_abortion_after_6_weeks', 'value': 3}","{'name': 'policy_strength_budget_for_free_school_lunch_program', 'value': 0}",,1409.0,304.0,p83,,
