	participantId	age	education	gender	occupation	party	policy_strength_ban_abortion_after_6_weeks	policy_strength_ban_alcohol_sales_on_sundays	policy_strength_budget_for_free_school_lunch_program	policy_strength_increase_budget_for_medicare_coverage	policy_strength_increase_budget_for_veterans_affairs	policy_strength_increase_gun_control_legislation	policy_strength_legalize_medical_marijuana	political_experience	religion
0	0YhSRQx5Cdp5	4.0	8.0	12.0	5.0	2.0	6.0	0.0	1.0	1.0	1.0	1.0	1.0	3.0	9.0
1	28brBef2NP77	3.0	11.0	8.0	0.0	6.0	3.0	2.0	3.0	2.0	0.0	2.0	2.0	4.0	0.0
2	531UXi27EEuE	4.0	0.0	0.0	0.0	0.0	2.0	10.0	0.0	0.0	1.0	2.0	8.0	4.0	0.0
3	5iOVxCAHC8yo	7.0	8.0	6.0	0.0	4.0	3.0	1.0	0.0	2.0	0.0	0.0	1.0	7.0	0.0
4	6XiVahmAR94D	3.0	0.0	7.0	0.0	0.0	7.0	0.0	4.0	4.0	5.0	4.0	1.0	4.0	0.0
5	8oiaPu0yRfxr	10.0	8.0	10.0	21.0	7.0	5.0	10.0	5.0	4.0	4.0	6.0	4.0	19.0	11.0
6	94ciAzx6D4Bt	9.0	0.0	3.0	0.0	7.0	8.0	1.0	0.0	1.0	1.0	1.0	0.0	4.0	1.0
7	9xOrWE8cZEqz	14.0	3.0	9.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	10.0
8	CjsOuAfO5NuJ	3.0	0.0	0.0	0.0	0.0	6.0	1.0	0.0	1.0	1.0	8.0	8.0	3.0	0.0
9	NMvdaYNL49Mt	5.0	12.0	5.0	1.0	16.0	7.0	5.0	2.0	2.0	2.0	9.0	2.0	17.0	5.0
10	QBeuqPWNLnaC	3.0	0.0	2.0	1.0	16.0	5.0	1.0	2.0	1.0	1.0	2.0	1.0	5.0	3.0
11	QQx6IjEb7ps6	5.0	2.0	5.0	1.0	7.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0
12	WmtJlhR8J1J0	1.0	0.0	8.0	10.0	10.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
13	XWUiQs4zpxIx	4.0	3.0	9.0	23.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	0.0
14	dxNzpa5cz1lD	3.0	11.0	6.0	38.0	22.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	4.0	17.0
15	eCcNRmXRTXP6	6.0	8.0	15.0	9.0	9.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	11.0	6.0
16	f0eJoDsKT8si	7.0	3.0	2.0	4.0	2.0	5.0	1.0	2.0	3.0	3.0	3.0	2.0	5.0	2.0
17	fQgKCA4w7L0D	7.0	6.0	2.0	6.0	5.0	5.0	7.0	6.0	7.0	11.0	9.0	7.0	16.0	2.0
18	g2c4CLlqIc97	5.0	4.0	9.0	2.0	5.0	5.0	1.0	0.0	0.0	0.0	3.0	0.0	4.0	12.0
19	m8YdCZB7euiy	6.0	0.0	6.0	0.0	0.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	0.0
20	nY9fN95eZQaX	9.0	0.0	8.0	1.0	8.0	1.0	3.0	2.0	3.0	1.0	1.0	2.0	5.0	4.0
21	oxTwBvZsd5HT	8.0	2.0	3.0	0.0	0.0	2.0	3.0	1.0	3.0	0.0	3.0	0.0	4.0	0.0
22	q4Eycyoegu9K	11.0	0.0	5.0	0.0	9.0	3.0	0.0	0.0	1.0	0.0	1.0	1.0	4.0	14.0
23	xGba4x11AgqF	9.0	3.0	16.0	18.0	13.0	8.0	2.0	4.0	6.0	7.0	1.0	3.0	6.0	7.0
