	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'age': {42: 1, 45: 1, 44: 0, 55: 0, 43: 1, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 0, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 2, 49: 0, 60: 1, 66: 0, 37: 1, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 8, -2: 3, 2: 1, 1: 0, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 10, 'Female': 3}, 'occupation': {'Financier': 1, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 2, 'Judge': 3, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 1, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 3, 1: 4, -1: 0, 2: 4, -2: 1, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 8, -1: 2, 2: 0, -3: 2, 3: 0, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 9, 3: 2, -1: 0, 1: 1, -2: 1, -3: 0, 0: 0}, 'political_experience': {9: 1, 5: 1, 8: 1, 2: 1, 12: 1, 10: 1, 6: 1, 11: 0, 15: 1, 14: 1, 7: 2, 3: 2, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 5, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 1}, 'religion': {'Christian': 12, 'Jewish': 0, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 6, -2: 0, 1: 1, 3: 4, 0: 1, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 0, -2: 1, 1: 5, -1: 0, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 5, 1: 3, 0: 0, -3: 0, -1: 0}, 'party': {'Democrat': 12, 'Republican': 1}}	1566396863218	add_to_committee	531UXi27EEuE	phase_1	p34	0.034999847412109375
1	{'age': {42: 1, 45: 1, 44: 0, 55: 0, 43: 1, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 0, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 2, 49: 0, 60: 1, 66: 0, 37: 1, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 8, -2: 3, 2: 1, 1: 0, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 10, 'Female': 3}, 'occupation': {'Financier': 1, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 2, 'Judge': 3, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 1, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 3, 1: 4, -1: 0, 2: 4, -2: 1, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 8, -1: 2, 2: 0, -3: 2, 3: 0, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 9, 3: 2, -1: 0, 1: 1, -2: 1, -3: 0, 0: 0}, 'political_experience': {9: 1, 5: 1, 8: 1, 2: 1, 12: 1, 10: 1, 6: 1, 11: 0, 15: 1, 14: 1, 7: 2, 3: 2, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 5, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 1}, 'religion': {'Christian': 12, 'Jewish': 0, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 6, -2: 0, 1: 1, 3: 4, 0: 1, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 0, -2: 1, 1: 5, -1: 0, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 5, 1: 3, 0: 0, -3: 0, -1: 0}, 'party': {'Democrat': 12, 'Republican': 1}}	1566396866510	add_to_committee	531UXi27EEuE	phase_1	p45	3.3269999027252197
2	{'age': {42: 1, 45: 1, 44: 0, 55: 0, 43: 1, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 0, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 2, 49: 0, 60: 1, 66: 0, 37: 1, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 8, -2: 3, 2: 1, 1: 0, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 10, 'Female': 3}, 'occupation': {'Financier': 1, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 2, 'Judge': 3, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 1, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 3, 1: 4, -1: 0, 2: 4, -2: 1, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 8, -1: 2, 2: 0, -3: 2, 3: 0, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 9, 3: 2, -1: 0, 1: 1, -2: 1, -3: 0, 0: 0}, 'political_experience': {9: 1, 5: 1, 8: 1, 2: 1, 12: 1, 10: 1, 6: 1, 11: 0, 15: 1, 14: 1, 7: 2, 3: 2, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 5, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 1}, 'religion': {'Christian': 12, 'Jewish': 0, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 6, -2: 0, 1: 1, 3: 4, 0: 1, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 0, -2: 1, 1: 5, -1: 0, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 5, 1: 3, 0: 0, -3: 0, -1: 0}, 'party': {'Democrat': 12, 'Republican': 1}}	1566396867790	add_to_committee	531UXi27EEuE	phase_1	p45	4.60699987411499
3	{'age': {42: 1, 45: 1, 44: 0, 55: 0, 43: 1, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 0, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 2, 49: 0, 60: 1, 66: 0, 37: 1, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 8, -2: 3, 2: 1, 1: 0, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 10, 'Female': 3}, 'occupation': {'Financier': 1, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 2, 'Judge': 3, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 1, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 3, 1: 4, -1: 0, 2: 4, -2: 1, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 8, -1: 2, 2: 0, -3: 2, 3: 0, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 9, 3: 2, -1: 0, 1: 1, -2: 1, -3: 0, 0: 0}, 'political_experience': {9: 1, 5: 1, 8: 1, 2: 1, 12: 1, 10: 1, 6: 1, 11: 0, 15: 1, 14: 1, 7: 2, 3: 2, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 5, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 1}, 'religion': {'Christian': 12, 'Jewish': 0, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 6, -2: 0, 1: 1, 3: 4, 0: 1, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 0, -2: 1, 1: 5, -1: 0, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 5, 1: 3, 0: 0, -3: 0, -1: 0}, 'party': {'Democrat': 12, 'Republican': 1}}	1566396868543	add_to_committee	531UXi27EEuE	phase_1	p34	5.359999895095825
4	{'age': {42: 1, 45: 1, 44: 0, 55: 0, 43: 1, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 0, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 2, 49: 0, 60: 1, 66: 0, 37: 1, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 8, -2: 3, 2: 1, 1: 0, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 10, 'Female': 3}, 'occupation': {'Financier': 1, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 2, 'Judge': 3, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 1, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 3, 1: 4, -1: 0, 2: 4, -2: 1, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 8, -1: 2, 2: 0, -3: 2, 3: 0, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 9, 3: 2, -1: 0, 1: 1, -2: 1, -3: 0, 0: 0}, 'political_experience': {9: 1, 5: 1, 8: 1, 2: 1, 12: 1, 10: 1, 6: 1, 11: 0, 15: 1, 14: 1, 7: 2, 3: 2, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 5, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 1}, 'religion': {'Christian': 12, 'Jewish': 0, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 6, -2: 0, 1: 1, 3: 4, 0: 1, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 0, -2: 1, 1: 5, -1: 0, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 5, 1: 3, 0: 0, -3: 0, -1: 0}, 'party': {'Democrat': 12, 'Republican': 1}}	1566396870287	remove_from_committee	531UXi27EEuE	phase_1	p34	7.103999853134155
5	{'age': {42: 1, 45: 1, 44: 0, 55: 0, 43: 1, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 0, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 2, 49: 0, 60: 1, 66: 0, 37: 1, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 8, -2: 3, 2: 1, 1: 0, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 10, 'Female': 3}, 'occupation': {'Financier': 1, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 2, 'Judge': 3, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 1, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 3, 1: 4, -1: 0, 2: 4, -2: 1, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 8, -1: 2, 2: 0, -3: 2, 3: 0, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 9, 3: 2, -1: 0, 1: 1, -2: 1, -3: 0, 0: 0}, 'political_experience': {9: 1, 5: 1, 8: 1, 2: 1, 12: 1, 10: 1, 6: 1, 11: 0, 15: 1, 14: 1, 7: 2, 3: 2, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 5, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 1}, 'religion': {'Christian': 12, 'Jewish': 0, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 6, -2: 0, 1: 1, 3: 4, 0: 1, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 0, -2: 1, 1: 5, -1: 0, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 5, 1: 3, 0: 0, -3: 0, -1: 0}, 'party': {'Democrat': 12, 'Republican': 1}}	1566396878751	remove_from_committee	531UXi27EEuE	phase_1	p45	15.567999839782715
6	{'age': {42: 1, 45: 1, 44: 0, 55: 0, 43: 1, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 0, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 2, 49: 0, 60: 1, 66: 0, 37: 1, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 8, -2: 3, 2: 1, 1: 0, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 10, 'Female': 3}, 'occupation': {'Financier': 1, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 2, 'Judge': 3, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 1, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 3, 1: 4, -1: 0, 2: 4, -2: 1, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 8, -1: 2, 2: 0, -3: 2, 3: 0, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 9, 3: 2, -1: 0, 1: 1, -2: 1, -3: 0, 0: 0}, 'political_experience': {9: 1, 5: 1, 8: 1, 2: 1, 12: 1, 10: 1, 6: 1, 11: 0, 15: 1, 14: 1, 7: 2, 3: 2, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 5, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 1}, 'religion': {'Christian': 12, 'Jewish': 0, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 6, -2: 0, 1: 1, 3: 4, 0: 1, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 0, -2: 1, 1: 5, -1: 0, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 5, 1: 3, 0: 0, -3: 0, -1: 0}, 'party': {'Democrat': 12, 'Republican': 1}}	1566397253801	add_to_committee	531UXi27EEuE	phase_1	p34	390.6180000305176
7	{'age': {42: 1, 45: 1, 44: 0, 55: 0, 43: 1, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 0, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 2, 49: 0, 60: 1, 66: 0, 37: 1, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 8, -2: 3, 2: 1, 1: 0, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 10, 'Female': 3}, 'occupation': {'Financier': 1, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 2, 'Judge': 3, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 1, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 3, 1: 4, -1: 0, 2: 4, -2: 1, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 8, -1: 2, 2: 0, -3: 2, 3: 0, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 9, 3: 2, -1: 0, 1: 1, -2: 1, -3: 0, 0: 0}, 'political_experience': {9: 1, 5: 1, 8: 1, 2: 1, 12: 1, 10: 1, 6: 1, 11: 0, 15: 1, 14: 1, 7: 2, 3: 2, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 5, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 1}, 'religion': {'Christian': 12, 'Jewish': 0, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 6, -2: 0, 1: 1, 3: 4, 0: 1, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 0, -2: 1, 1: 5, -1: 0, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 5, 1: 3, 0: 0, -3: 0, -1: 0}, 'party': {'Democrat': 12, 'Republican': 1}}	1566397292586	add_to_committee	531UXi27EEuE	phase_1	p01	429.4029998779297
8	{'age': {42: 1, 45: 1, 44: 0, 55: 0, 43: 1, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 0, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 2, 49: 0, 60: 1, 66: 0, 37: 1, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 8, -2: 3, 2: 1, 1: 0, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 10, 'Female': 3}, 'occupation': {'Financier': 1, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 2, 'Judge': 3, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 1, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 3, 1: 4, -1: 0, 2: 4, -2: 1, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 8, -1: 2, 2: 0, -3: 2, 3: 0, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 9, 3: 2, -1: 0, 1: 1, -2: 1, -3: 0, 0: 0}, 'political_experience': {9: 1, 5: 1, 8: 1, 2: 1, 12: 1, 10: 1, 6: 1, 11: 0, 15: 1, 14: 1, 7: 2, 3: 2, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 5, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 1}, 'religion': {'Christian': 12, 'Jewish': 0, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 6, -2: 0, 1: 1, 3: 4, 0: 1, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 0, -2: 1, 1: 5, -1: 0, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 5, 1: 3, 0: 0, -3: 0, -1: 0}, 'party': {'Democrat': 12, 'Republican': 1}}	1566397305771	add_to_committee	531UXi27EEuE	phase_1	p05	442.58799982070923
9	{'age': {42: 1, 45: 1, 44: 0, 55: 0, 43: 1, 50: 0, 58: 1, 57: 0, 46: 0, 77: 0, 52: 0, 61: 0, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 2, 49: 0, 60: 1, 66: 0, 37: 1, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 8, -2: 3, 2: 1, 1: 0, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 10, 'Female': 3}, 'occupation': {'Financier': 1, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 2, 'Judge': 3, 'Educator': 2, 'Business': 2, 'Doctor': 0, 'Farmer': 1, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 3, 1: 4, -1: 0, 2: 4, -2: 1, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 8, -1: 2, 2: 0, -3: 2, 3: 0, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 9, 3: 2, -1: 0, 1: 1, -2: 1, -3: 0, 0: 0}, 'political_experience': {9: 1, 5: 1, 8: 1, 2: 1, 12: 1, 10: 1, 6: 1, 11: 0, 15: 1, 14: 1, 7: 2, 3: 2, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 1, 'Law Degree': 5, 'Bachelor Degree': 3, 'Associate Degree': 0, 'Medical Degree': 0, 'High School': 1}, 'religion': {'Christian': 12, 'Jewish': 0, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 6, -2: 0, 1: 1, 3: 4, 0: 1, -3: 0, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 3, 0: 0, -2: 1, 1: 5, -1: 0, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 4, -2: 1, 2: 5, 1: 3, 0: 0, -3: 0, -1: 0}, 'party': {'Democrat': 12, 'Republican': 1}}	1566397307538	add_to_committee	531UXi27EEuE	phase_1	p34	444.3550000190735
