	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 1, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 3, 2: 2, 1: 1, -3: 0, 3: 1, 0: 1}, 'gender': {'Male': 8, 'Female': 2}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 2, 'Educator': 1, 'Business': 3, 'Doctor': 1, 'Farmer': 1, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 0, -3: 3, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 2, -3: 1, 3: 1, 1: 2, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 2, 3: 2, -1: 1, 1: 1, -2: 3, -3: 1, 0: 0}, 'political_experience': {9: 1, 5: 2, 8: 3, 2: 0, 12: 1, 10: 0, 6: 0, 11: 0, 15: 1, 14: 0, 7: 2, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 0, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 2, 'High School': 1}, 'religion': {'Christian': 8, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 3, 1: 3, 3: 1, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 1, -2: 2, 1: 2, -1: 1, 2: 2, -3: 2}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 1, 2: 2, 1: 1, 0: 0, -3: 1, -1: 3}, 'party': {'Democrat': 5, 'Republican': 5}}	1567013002631	add_to_committee	NMvdaYNL49Mt	phase_1	p10	433.7520000934601
1	{'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 1, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 3, 2: 2, 1: 1, -3: 0, 3: 1, 0: 1}, 'gender': {'Male': 8, 'Female': 2}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 2, 'Educator': 1, 'Business': 3, 'Doctor': 1, 'Farmer': 1, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 0, -3: 3, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 2, -3: 1, 3: 1, 1: 2, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 2, 3: 2, -1: 1, 1: 1, -2: 3, -3: 1, 0: 0}, 'political_experience': {9: 1, 5: 2, 8: 3, 2: 0, 12: 1, 10: 0, 6: 0, 11: 0, 15: 1, 14: 0, 7: 2, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 0, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 2, 'High School': 1}, 'religion': {'Christian': 8, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 3, 1: 3, 3: 1, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 1, -2: 2, 1: 2, -1: 1, 2: 2, -3: 2}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 1, 2: 2, 1: 1, 0: 0, -3: 1, -1: 3}, 'party': {'Democrat': 5, 'Republican': 5}}	1567013097447	remove_from_committee	NMvdaYNL49Mt	phase_1	p10	528.5680000782013
2	{'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 1, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 3, 2: 2, 1: 1, -3: 0, 3: 1, 0: 1}, 'gender': {'Male': 8, 'Female': 2}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 2, 'Educator': 1, 'Business': 3, 'Doctor': 1, 'Farmer': 1, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 0, -3: 3, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 2, -3: 1, 3: 1, 1: 2, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 2, 3: 2, -1: 1, 1: 1, -2: 3, -3: 1, 0: 0}, 'political_experience': {9: 1, 5: 2, 8: 3, 2: 0, 12: 1, 10: 0, 6: 0, 11: 0, 15: 1, 14: 0, 7: 2, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 0, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 2, 'High School': 1}, 'religion': {'Christian': 8, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 3, 1: 3, 3: 1, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 1, -2: 2, 1: 2, -1: 1, 2: 2, -3: 2}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 1, 2: 2, 1: 1, 0: 0, -3: 1, -1: 3}, 'party': {'Democrat': 5, 'Republican': 5}}	1567013302400	add_to_committee	NMvdaYNL49Mt	phase_1	p78	733.5210001468658
3	{'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 1, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 3, 2: 2, 1: 1, -3: 0, 3: 1, 0: 1}, 'gender': {'Male': 8, 'Female': 2}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 2, 'Educator': 1, 'Business': 3, 'Doctor': 1, 'Farmer': 1, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 0, -3: 3, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 2, -3: 1, 3: 1, 1: 2, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 2, 3: 2, -1: 1, 1: 1, -2: 3, -3: 1, 0: 0}, 'political_experience': {9: 1, 5: 2, 8: 3, 2: 0, 12: 1, 10: 0, 6: 0, 11: 0, 15: 1, 14: 0, 7: 2, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 0, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 2, 'High School': 1}, 'religion': {'Christian': 8, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 3, 1: 3, 3: 1, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 1, -2: 2, 1: 2, -1: 1, 2: 2, -3: 2}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 1, 2: 2, 1: 1, 0: 0, -3: 1, -1: 3}, 'party': {'Democrat': 5, 'Republican': 5}}	1567013430720	add_to_committee	NMvdaYNL49Mt	phase_1	p23	861.8410000801086
4	{'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 1, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 3, 2: 2, 1: 1, -3: 0, 3: 1, 0: 1}, 'gender': {'Male': 8, 'Female': 2}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 2, 'Educator': 1, 'Business': 3, 'Doctor': 1, 'Farmer': 1, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 0, -3: 3, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 2, -3: 1, 3: 1, 1: 2, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 2, 3: 2, -1: 1, 1: 1, -2: 3, -3: 1, 0: 0}, 'political_experience': {9: 1, 5: 2, 8: 3, 2: 0, 12: 1, 10: 0, 6: 0, 11: 0, 15: 1, 14: 0, 7: 2, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 0, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 2, 'High School': 1}, 'religion': {'Christian': 8, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 3, 1: 3, 3: 1, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 1, -2: 2, 1: 2, -1: 1, 2: 2, -3: 2}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 1, 2: 2, 1: 1, 0: 0, -3: 1, -1: 3}, 'party': {'Democrat': 5, 'Republican': 5}}	1567013463217	add_to_committee	NMvdaYNL49Mt	phase_1	p64	894.3380000591278
5	{'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 1, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 3, 2: 2, 1: 1, -3: 0, 3: 1, 0: 1}, 'gender': {'Male': 8, 'Female': 2}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 2, 'Educator': 1, 'Business': 3, 'Doctor': 1, 'Farmer': 1, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 0, -3: 3, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 2, -3: 1, 3: 1, 1: 2, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 2, 3: 2, -1: 1, 1: 1, -2: 3, -3: 1, 0: 0}, 'political_experience': {9: 1, 5: 2, 8: 3, 2: 0, 12: 1, 10: 0, 6: 0, 11: 0, 15: 1, 14: 0, 7: 2, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 0, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 2, 'High School': 1}, 'religion': {'Christian': 8, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 3, 1: 3, 3: 1, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 1, -2: 2, 1: 2, -1: 1, 2: 2, -3: 2}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 1, 2: 2, 1: 1, 0: 0, -3: 1, -1: 3}, 'party': {'Democrat': 5, 'Republican': 5}}	1567013525249	add_to_committee	NMvdaYNL49Mt	phase_1	p33	956.3700001239777
6	{'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 1, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 3, 2: 2, 1: 1, -3: 0, 3: 1, 0: 1}, 'gender': {'Male': 8, 'Female': 2}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 2, 'Educator': 1, 'Business': 3, 'Doctor': 1, 'Farmer': 1, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 0, -3: 3, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 2, -3: 1, 3: 1, 1: 2, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 2, 3: 2, -1: 1, 1: 1, -2: 3, -3: 1, 0: 0}, 'political_experience': {9: 1, 5: 2, 8: 3, 2: 0, 12: 1, 10: 0, 6: 0, 11: 0, 15: 1, 14: 0, 7: 2, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 0, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 2, 'High School': 1}, 'religion': {'Christian': 8, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 3, 1: 3, 3: 1, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 1, -2: 2, 1: 2, -1: 1, 2: 2, -3: 2}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 1, 2: 2, 1: 1, 0: 0, -3: 1, -1: 3}, 'party': {'Democrat': 5, 'Republican': 5}}	1567013529337	remove_from_committee	NMvdaYNL49Mt	phase_1	p33	960.4579999446869
7	{'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 1, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 3, 2: 2, 1: 1, -3: 0, 3: 1, 0: 1}, 'gender': {'Male': 8, 'Female': 2}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 2, 'Educator': 1, 'Business': 3, 'Doctor': 1, 'Farmer': 1, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 0, -3: 3, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 2, -3: 1, 3: 1, 1: 2, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 2, 3: 2, -1: 1, 1: 1, -2: 3, -3: 1, 0: 0}, 'political_experience': {9: 1, 5: 2, 8: 3, 2: 0, 12: 1, 10: 0, 6: 0, 11: 0, 15: 1, 14: 0, 7: 2, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 0, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 2, 'High School': 1}, 'religion': {'Christian': 8, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 3, 1: 3, 3: 1, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 1, -2: 2, 1: 2, -1: 1, 2: 2, -3: 2}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 1, 2: 2, 1: 1, 0: 0, -3: 1, -1: 3}, 'party': {'Democrat': 5, 'Republican': 5}}	1567013533154	add_to_committee	NMvdaYNL49Mt	phase_1	p100	964.2750000953674
8	{'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 1, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 3, 2: 2, 1: 1, -3: 0, 3: 1, 0: 1}, 'gender': {'Male': 8, 'Female': 2}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 2, 'Educator': 1, 'Business': 3, 'Doctor': 1, 'Farmer': 1, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 0, -3: 3, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 2, -3: 1, 3: 1, 1: 2, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 2, 3: 2, -1: 1, 1: 1, -2: 3, -3: 1, 0: 0}, 'political_experience': {9: 1, 5: 2, 8: 3, 2: 0, 12: 1, 10: 0, 6: 0, 11: 0, 15: 1, 14: 0, 7: 2, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 0, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 2, 'High School': 1}, 'religion': {'Christian': 8, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 3, 1: 3, 3: 1, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 1, -2: 2, 1: 2, -1: 1, 2: 2, -3: 2}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 1, 2: 2, 1: 1, 0: 0, -3: 1, -1: 3}, 'party': {'Democrat': 5, 'Republican': 5}}	1567013591386	add_to_committee	NMvdaYNL49Mt	phase_1	p02	1022.5069999694824
9	{'age': {42: 0, 45: 2, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 1, 49: 0, 60: 1, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 3, 2: 2, 1: 1, -3: 0, 3: 1, 0: 1}, 'gender': {'Male': 8, 'Female': 2}, 'occupation': {'Financier': 0, 'Engineer': 1, 'Career Politician': 1, 'Lawyer': 0, 'Judge': 2, 'Educator': 1, 'Business': 3, 'Doctor': 1, 'Farmer': 1, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 0, -3: 3, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 2, 2: 2, -3: 1, 3: 1, 1: 2, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 2, 3: 2, -1: 1, 1: 1, -2: 3, -3: 1, 0: 0}, 'political_experience': {9: 1, 5: 2, 8: 3, 2: 0, 12: 1, 10: 0, 6: 0, 11: 0, 15: 1, 14: 0, 7: 2, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 0, 'PhD': 1, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 0, 'Medical Degree': 2, 'High School': 1}, 'religion': {'Christian': 8, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_increase_gun_control_legislation': {2: 2, -2: 3, 1: 3, 3: 1, 0: 1, -3: 0, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 1, -2: 2, 1: 2, -1: 1, 2: 2, -3: 2}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 1, 2: 2, 1: 1, 0: 0, -3: 1, -1: 3}, 'party': {'Democrat': 5, 'Republican': 5}}	1567013651643	add_to_committee	NMvdaYNL49Mt	phase_1	p18	1082.7639999389648
