	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 2, 3: 0, 0: 0, -3: 1, -1: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 3, 2: 3, -3: 1, 3: 0, 1: 1, 0: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 3, 1: 2, -1: 1, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 0, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 1, -2: 1, 2: 4, 1: 1, 0: 0, -3: 1, -1: 2}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 1, 'Bachelor Degree': 6, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'gender': {'Male': 9, 'Female': 1}, 'party': {'Democrat': 6, 'Republican': 4}, 'occupation': {'Financier': 1, 'Engineer': 0, 'Career Politician': 2, 'Lawyer': 0, 'Judge': 1, 'Educator': 0, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 4, 2: 3, 1: 0, -3: 1, 3: 0, 0: 1}, 'religion': {'Christian': 9, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 2, -1: 0, 2: 3, -2: 2, -3: 2, 0: 1}, 'political_experience': {9: 1, 5: 2, 8: 1, 2: 0, 12: 0, 10: 1, 6: 2, 11: 0, 15: 1, 14: 0, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 1, -1: 1, 1: 2, -2: 3, -3: 0, 0: 0}}	1565187066603	add_to_committee	nbwOx66VjVnd	phase_1	p89	257.1779999732971
1	{'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 2, 3: 0, 0: 0, -3: 1, -1: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 3, 2: 3, -3: 1, 3: 0, 1: 1, 0: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 3, 1: 2, -1: 1, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 0, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 1, -2: 1, 2: 4, 1: 1, 0: 0, -3: 1, -1: 2}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 1, 'Bachelor Degree': 6, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'gender': {'Male': 9, 'Female': 1}, 'party': {'Democrat': 6, 'Republican': 4}, 'occupation': {'Financier': 1, 'Engineer': 0, 'Career Politician': 2, 'Lawyer': 0, 'Judge': 1, 'Educator': 0, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 4, 2: 3, 1: 0, -3: 1, 3: 0, 0: 1}, 'religion': {'Christian': 9, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 2, -1: 0, 2: 3, -2: 2, -3: 2, 0: 1}, 'political_experience': {9: 1, 5: 2, 8: 1, 2: 0, 12: 0, 10: 1, 6: 2, 11: 0, 15: 1, 14: 0, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 1, -1: 1, 1: 2, -2: 3, -3: 0, 0: 0}}	1565187125320	add_to_committee	nbwOx66VjVnd	phase_1	p23	315.8949999809265
2	{'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 2, 3: 0, 0: 0, -3: 1, -1: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 3, 2: 3, -3: 1, 3: 0, 1: 1, 0: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 3, 1: 2, -1: 1, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 0, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 1, -2: 1, 2: 4, 1: 1, 0: 0, -3: 1, -1: 2}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 1, 'Bachelor Degree': 6, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'gender': {'Male': 9, 'Female': 1}, 'party': {'Democrat': 6, 'Republican': 4}, 'occupation': {'Financier': 1, 'Engineer': 0, 'Career Politician': 2, 'Lawyer': 0, 'Judge': 1, 'Educator': 0, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 4, 2: 3, 1: 0, -3: 1, 3: 0, 0: 1}, 'religion': {'Christian': 9, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 2, -1: 0, 2: 3, -2: 2, -3: 2, 0: 1}, 'political_experience': {9: 1, 5: 2, 8: 1, 2: 0, 12: 0, 10: 1, 6: 2, 11: 0, 15: 1, 14: 0, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 1, -1: 1, 1: 2, -2: 3, -3: 0, 0: 0}}	1565187273574	add_to_committee	nbwOx66VjVnd	phase_1	p33	464.1489999294281
3	{'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 2, 3: 0, 0: 0, -3: 1, -1: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 3, 2: 3, -3: 1, 3: 0, 1: 1, 0: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 3, 1: 2, -1: 1, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 0, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 1, -2: 1, 2: 4, 1: 1, 0: 0, -3: 1, -1: 2}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 1, 'Bachelor Degree': 6, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'gender': {'Male': 9, 'Female': 1}, 'party': {'Democrat': 6, 'Republican': 4}, 'occupation': {'Financier': 1, 'Engineer': 0, 'Career Politician': 2, 'Lawyer': 0, 'Judge': 1, 'Educator': 0, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 4, 2: 3, 1: 0, -3: 1, 3: 0, 0: 1}, 'religion': {'Christian': 9, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 2, -1: 0, 2: 3, -2: 2, -3: 2, 0: 1}, 'political_experience': {9: 1, 5: 2, 8: 1, 2: 0, 12: 0, 10: 1, 6: 2, 11: 0, 15: 1, 14: 0, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 1, -1: 1, 1: 2, -2: 3, -3: 0, 0: 0}}	1565187442284	add_to_committee	nbwOx66VjVnd	phase_1	p45	632.8589999675751
4	{'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 2, 3: 0, 0: 0, -3: 1, -1: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 3, 2: 3, -3: 1, 3: 0, 1: 1, 0: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 3, 1: 2, -1: 1, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 0, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 1, -2: 1, 2: 4, 1: 1, 0: 0, -3: 1, -1: 2}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 1, 'Bachelor Degree': 6, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'gender': {'Male': 9, 'Female': 1}, 'party': {'Democrat': 6, 'Republican': 4}, 'occupation': {'Financier': 1, 'Engineer': 0, 'Career Politician': 2, 'Lawyer': 0, 'Judge': 1, 'Educator': 0, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 4, 2: 3, 1: 0, -3: 1, 3: 0, 0: 1}, 'religion': {'Christian': 9, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 2, -1: 0, 2: 3, -2: 2, -3: 2, 0: 1}, 'political_experience': {9: 1, 5: 2, 8: 1, 2: 0, 12: 0, 10: 1, 6: 2, 11: 0, 15: 1, 14: 0, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 1, -1: 1, 1: 2, -2: 3, -3: 0, 0: 0}}	1565187445157	add_to_committee	nbwOx66VjVnd	phase_1	p99	635.7320001125336
5	{'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 2, 3: 0, 0: 0, -3: 1, -1: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 3, 2: 3, -3: 1, 3: 0, 1: 1, 0: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 3, 1: 2, -1: 1, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 0, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 1, -2: 1, 2: 4, 1: 1, 0: 0, -3: 1, -1: 2}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 1, 'Bachelor Degree': 6, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'gender': {'Male': 9, 'Female': 1}, 'party': {'Democrat': 6, 'Republican': 4}, 'occupation': {'Financier': 1, 'Engineer': 0, 'Career Politician': 2, 'Lawyer': 0, 'Judge': 1, 'Educator': 0, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 4, 2: 3, 1: 0, -3: 1, 3: 0, 0: 1}, 'religion': {'Christian': 9, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 2, -1: 0, 2: 3, -2: 2, -3: 2, 0: 1}, 'political_experience': {9: 1, 5: 2, 8: 1, 2: 0, 12: 0, 10: 1, 6: 2, 11: 0, 15: 1, 14: 0, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 1, -1: 1, 1: 2, -2: 3, -3: 0, 0: 0}}	1565187462804	add_to_committee	nbwOx66VjVnd	phase_1	p09	653.3789999485016
6	{'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 2, 3: 0, 0: 0, -3: 1, -1: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 3, 2: 3, -3: 1, 3: 0, 1: 1, 0: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 3, 1: 2, -1: 1, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 0, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 1, -2: 1, 2: 4, 1: 1, 0: 0, -3: 1, -1: 2}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 1, 'Bachelor Degree': 6, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'gender': {'Male': 9, 'Female': 1}, 'party': {'Democrat': 6, 'Republican': 4}, 'occupation': {'Financier': 1, 'Engineer': 0, 'Career Politician': 2, 'Lawyer': 0, 'Judge': 1, 'Educator': 0, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 4, 2: 3, 1: 0, -3: 1, 3: 0, 0: 1}, 'religion': {'Christian': 9, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 2, -1: 0, 2: 3, -2: 2, -3: 2, 0: 1}, 'political_experience': {9: 1, 5: 2, 8: 1, 2: 0, 12: 0, 10: 1, 6: 2, 11: 0, 15: 1, 14: 0, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 1, -1: 1, 1: 2, -2: 3, -3: 0, 0: 0}}	1565187478877	add_to_committee	nbwOx66VjVnd	phase_1	p78	669.4520001411438
7	{'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 2, 3: 0, 0: 0, -3: 1, -1: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 3, 2: 3, -3: 1, 3: 0, 1: 1, 0: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 3, 1: 2, -1: 1, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 0, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 1, -2: 1, 2: 4, 1: 1, 0: 0, -3: 1, -1: 2}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 1, 'Bachelor Degree': 6, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'gender': {'Male': 9, 'Female': 1}, 'party': {'Democrat': 6, 'Republican': 4}, 'occupation': {'Financier': 1, 'Engineer': 0, 'Career Politician': 2, 'Lawyer': 0, 'Judge': 1, 'Educator': 0, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 4, 2: 3, 1: 0, -3: 1, 3: 0, 0: 1}, 'religion': {'Christian': 9, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 2, -1: 0, 2: 3, -2: 2, -3: 2, 0: 1}, 'political_experience': {9: 1, 5: 2, 8: 1, 2: 0, 12: 0, 10: 1, 6: 2, 11: 0, 15: 1, 14: 0, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 1, -1: 1, 1: 2, -2: 3, -3: 0, 0: 0}}	1565187507182	add_to_committee	nbwOx66VjVnd	phase_1	p93	697.7569999694824
8	{'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 2, 3: 0, 0: 0, -3: 1, -1: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 3, 2: 3, -3: 1, 3: 0, 1: 1, 0: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 3, 1: 2, -1: 1, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 0, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 1, -2: 1, 2: 4, 1: 1, 0: 0, -3: 1, -1: 2}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 1, 'Bachelor Degree': 6, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'gender': {'Male': 9, 'Female': 1}, 'party': {'Democrat': 6, 'Republican': 4}, 'occupation': {'Financier': 1, 'Engineer': 0, 'Career Politician': 2, 'Lawyer': 0, 'Judge': 1, 'Educator': 0, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 4, 2: 3, 1: 0, -3: 1, 3: 0, 0: 1}, 'religion': {'Christian': 9, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 2, -1: 0, 2: 3, -2: 2, -3: 2, 0: 1}, 'political_experience': {9: 1, 5: 2, 8: 1, 2: 0, 12: 0, 10: 1, 6: 2, 11: 0, 15: 1, 14: 0, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 1, -1: 1, 1: 2, -2: 3, -3: 0, 0: 0}}	1565187515111	add_to_committee	nbwOx66VjVnd	phase_1	p72	705.6860001087189
9	{'policy_strength_increase_gun_control_legislation': {2: 4, -2: 2, 1: 2, 3: 0, 0: 0, -3: 1, -1: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 2, -1: 3, 2: 3, -3: 1, 3: 0, 1: 1, 0: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 3, 1: 2, -1: 1, 2: 4, -3: 0}, 'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 1, 77: 0, 52: 0, 61: 0, 64: 0, 53: 0, 51: 1, 65: 1, 54: 1, 63: 0, 75: 0, 76: 0, 74: 0, 59: 1, 78: 0, 48: 1, 36: 0, 49: 0, 60: 0, 66: 0, 37: 1, 40: 0, 47: 0, 67: 0, 72: 0, 56: 1, 69: 0, 39: 1}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 1, -2: 1, 2: 4, 1: 1, 0: 0, -3: 1, -1: 2}, 'education': {'Master Degree': 2, 'PhD': 0, 'Law Degree': 1, 'Bachelor Degree': 6, 'Associate Degree': 0, 'Medical Degree': 1, 'High School': 0}, 'gender': {'Male': 9, 'Female': 1}, 'party': {'Democrat': 6, 'Republican': 4}, 'occupation': {'Financier': 1, 'Engineer': 0, 'Career Politician': 2, 'Lawyer': 0, 'Judge': 1, 'Educator': 0, 'Business': 5, 'Doctor': 1, 'Farmer': 0, 'Military': 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 1, -2: 4, 2: 3, 1: 0, -3: 1, 3: 0, 0: 1}, 'religion': {'Christian': 9, 'Jewish': 1, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 0, 1: 2, -1: 0, 2: 3, -2: 2, -3: 2, 0: 1}, 'political_experience': {9: 1, 5: 2, 8: 1, 2: 0, 12: 0, 10: 1, 6: 2, 11: 0, 15: 1, 14: 0, 7: 1, 3: 0, 13: 1, 18: 0, 4: 0}, 'policy_strength_legalize_medical_marijuana': {2: 3, 3: 1, -1: 1, 1: 2, -2: 3, -3: 0, 0: 0}}	1565187528279	add_to_committee	nbwOx66VjVnd	phase_1	p91	718.8540000915527
