	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'age': {42: 0, 45: 0, 44: 0, 55: 1, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 3, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 5, -2: 0, 2: 2, 1: 2, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 6, 'Female': 4}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 3, 'Educator': 1, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 3, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 0, 2: 2, -3: 0, 3: 2, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 0, -1: 3, 1: 1, -2: 2, -3: 0, 0: 0}, 'political_experience': {9: 0, 5: 1, 8: 2, 2: 0, 12: 2, 10: 0, 6: 1, 11: 1, 15: 0, 14: 2, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 3, 1: 2, 3: 1, 0: 1, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 1, 1: 1, -1: 4, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'party': {'Democrat': 5, 'Republican': 5}}	1566239365599	add_to_committee	xGba4x11AgqF	phase_1	p37	370.25300002098083
1	{'age': {42: 0, 45: 0, 44: 0, 55: 1, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 3, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 5, -2: 0, 2: 2, 1: 2, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 6, 'Female': 4}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 3, 'Educator': 1, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 3, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 0, 2: 2, -3: 0, 3: 2, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 0, -1: 3, 1: 1, -2: 2, -3: 0, 0: 0}, 'political_experience': {9: 0, 5: 1, 8: 2, 2: 0, 12: 2, 10: 0, 6: 1, 11: 1, 15: 0, 14: 2, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 3, 1: 2, 3: 1, 0: 1, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 1, 1: 1, -1: 4, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'party': {'Democrat': 5, 'Republican': 5}}	1566239443631	add_to_committee	xGba4x11AgqF	phase_1	p90	448.2850000858307
2	{'age': {42: 0, 45: 0, 44: 0, 55: 1, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 3, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 5, -2: 0, 2: 2, 1: 2, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 6, 'Female': 4}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 3, 'Educator': 1, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 3, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 0, 2: 2, -3: 0, 3: 2, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 0, -1: 3, 1: 1, -2: 2, -3: 0, 0: 0}, 'political_experience': {9: 0, 5: 1, 8: 2, 2: 0, 12: 2, 10: 0, 6: 1, 11: 1, 15: 0, 14: 2, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 3, 1: 2, 3: 1, 0: 1, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 1, 1: 1, -1: 4, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'party': {'Democrat': 5, 'Republican': 5}}	1566239544688	add_to_committee	xGba4x11AgqF	phase_1	p24	549.3420000076294
3	{'age': {42: 0, 45: 0, 44: 0, 55: 1, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 3, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 5, -2: 0, 2: 2, 1: 2, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 6, 'Female': 4}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 3, 'Educator': 1, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 3, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 0, 2: 2, -3: 0, 3: 2, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 0, -1: 3, 1: 1, -2: 2, -3: 0, 0: 0}, 'political_experience': {9: 0, 5: 1, 8: 2, 2: 0, 12: 2, 10: 0, 6: 1, 11: 1, 15: 0, 14: 2, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 3, 1: 2, 3: 1, 0: 1, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 1, 1: 1, -1: 4, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'party': {'Democrat': 5, 'Republican': 5}}	1566239641928	add_to_committee	xGba4x11AgqF	phase_1	p66	646.5820000171661
4	{'age': {42: 0, 45: 0, 44: 0, 55: 1, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 3, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 5, -2: 0, 2: 2, 1: 2, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 6, 'Female': 4}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 3, 'Educator': 1, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 3, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 0, 2: 2, -3: 0, 3: 2, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 0, -1: 3, 1: 1, -2: 2, -3: 0, 0: 0}, 'political_experience': {9: 0, 5: 1, 8: 2, 2: 0, 12: 2, 10: 0, 6: 1, 11: 1, 15: 0, 14: 2, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 3, 1: 2, 3: 1, 0: 1, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 1, 1: 1, -1: 4, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'party': {'Democrat': 5, 'Republican': 5}}	1566239655394	add_to_committee	xGba4x11AgqF	phase_1	p01	660.0480000972748
5	{'age': {42: 0, 45: 0, 44: 0, 55: 1, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 3, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 5, -2: 0, 2: 2, 1: 2, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 6, 'Female': 4}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 3, 'Educator': 1, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 3, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 0, 2: 2, -3: 0, 3: 2, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 0, -1: 3, 1: 1, -2: 2, -3: 0, 0: 0}, 'political_experience': {9: 0, 5: 1, 8: 2, 2: 0, 12: 2, 10: 0, 6: 1, 11: 1, 15: 0, 14: 2, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 3, 1: 2, 3: 1, 0: 1, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 1, 1: 1, -1: 4, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'party': {'Democrat': 5, 'Republican': 5}}	1566239686216	add_to_committee	xGba4x11AgqF	phase_1	p92	690.8700001239777
6	{'age': {42: 0, 45: 0, 44: 0, 55: 1, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 3, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 5, -2: 0, 2: 2, 1: 2, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 6, 'Female': 4}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 3, 'Educator': 1, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 3, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 0, 2: 2, -3: 0, 3: 2, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 0, -1: 3, 1: 1, -2: 2, -3: 0, 0: 0}, 'political_experience': {9: 0, 5: 1, 8: 2, 2: 0, 12: 2, 10: 0, 6: 1, 11: 1, 15: 0, 14: 2, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 3, 1: 2, 3: 1, 0: 1, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 1, 1: 1, -1: 4, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'party': {'Democrat': 5, 'Republican': 5}}	1566239815666	add_to_committee	xGba4x11AgqF	phase_1	p60	820.3199999332428
7	{'age': {42: 0, 45: 0, 44: 0, 55: 1, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 3, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 5, -2: 0, 2: 2, 1: 2, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 6, 'Female': 4}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 3, 'Educator': 1, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 3, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 0, 2: 2, -3: 0, 3: 2, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 0, -1: 3, 1: 1, -2: 2, -3: 0, 0: 0}, 'political_experience': {9: 0, 5: 1, 8: 2, 2: 0, 12: 2, 10: 0, 6: 1, 11: 1, 15: 0, 14: 2, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 3, 1: 2, 3: 1, 0: 1, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 1, 1: 1, -1: 4, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'party': {'Democrat': 5, 'Republican': 5}}	1566239936629	add_to_committee	xGba4x11AgqF	phase_1	p65	941.2829999923706
8	{'age': {42: 0, 45: 0, 44: 0, 55: 1, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 3, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 5, -2: 0, 2: 2, 1: 2, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 6, 'Female': 4}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 3, 'Educator': 1, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 3, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 0, 2: 2, -3: 0, 3: 2, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 0, -1: 3, 1: 1, -2: 2, -3: 0, 0: 0}, 'political_experience': {9: 0, 5: 1, 8: 2, 2: 0, 12: 2, 10: 0, 6: 1, 11: 1, 15: 0, 14: 2, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 3, 1: 2, 3: 1, 0: 1, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 1, 1: 1, -1: 4, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'party': {'Democrat': 5, 'Republican': 5}}	1566239956916	add_to_committee	xGba4x11AgqF	phase_1	p95	961.5699999332428
9	{'age': {42: 0, 45: 0, 44: 0, 55: 1, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 0, 61: 1, 64: 1, 53: 1, 51: 0, 65: 0, 54: 0, 63: 3, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 0, 36: 0, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 1, 72: 0, 56: 0, 69: 0, 39: 1}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 5, -2: 0, 2: 2, 1: 2, -3: 0, 3: 0, 0: 1}, 'gender': {'Male': 6, 'Female': 4}, 'occupation': {'Financier': 0, 'Engineer': 0, 'Career Politician': 3, 'Lawyer': 1, 'Judge': 3, 'Educator': 1, 'Business': 2, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 3, -1: 1, 2: 1, -2: 3, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 5, -1: 0, 2: 2, -3: 0, 3: 2, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 0, -1: 3, 1: 1, -2: 2, -3: 0, 0: 0}, 'political_experience': {9: 0, 5: 1, 8: 2, 2: 0, 12: 2, 10: 0, 6: 1, 11: 1, 15: 0, 14: 2, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 3, 'PhD': 0, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 7, 'Jewish': 2, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 1, -2: 3, 1: 2, 3: 1, 0: 1, -3: 1, -1: 1}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 0, 0: 0, -2: 1, 1: 1, -1: 4, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 0, 0: 1, -3: 0, -1: 2}, 'party': {'Democrat': 5, 'Republican': 5}}	1566240035478	add_to_committee	xGba4x11AgqF	phase_1	p99	1040.1319999694824
