	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	1	1565900222762	add_to_committee	q4Eycyoegu9K	phase_1	p27	28.890000104904175
1	2	1565900233842	add_to_committee	q4Eycyoegu9K	phase_1	p82	39.97000002861023
2	1	1565900302243	remove_from_committee	q4Eycyoegu9K	phase_1	p27	108.37100005149841
3	0	1565900303851	remove_from_committee	q4Eycyoegu9K	phase_1	p82	109.97900009155273
4	1	1565900400052	add_to_committee	q4Eycyoegu9K	phase_1	p24	206.1800000667572
5	2	1565900440132	add_to_committee	q4Eycyoegu9K	phase_1	p23	246.25999999046326
6	3	1565900467981	add_to_committee	q4Eycyoegu9K	phase_1	p59	274.1089999675751
7	2	1565900469765	remove_from_committee	q4Eycyoegu9K	phase_1	p59	275.893000125885
8	3	1565900507004	add_to_committee	q4Eycyoegu9K	phase_1	p47	313.1319999694824
9	4	1565900558567	add_to_committee	q4Eycyoegu9K	phase_1	p62	364.6949999332428
10	5	1565900691390	add_to_committee	q4Eycyoegu9K	phase_1	p69	497.518000125885
11	6	1565900801328	add_to_committee	q4Eycyoegu9K	phase_1	p95	607.4560000896454
12	7	1565900858392	add_to_committee	q4Eycyoegu9K	phase_1	p78	664.5199999809265
13	8	1565900907360	add_to_committee	q4Eycyoegu9K	phase_1	p06	713.4879999160767
14	7	1565900910698	remove_from_committee	q4Eycyoegu9K	phase_1	p06	716.8259999752045
15	8	1565900917552	add_to_committee	q4Eycyoegu9K	phase_1	p06	723.6800000667572
16	9	1565900930001	add_to_committee	q4Eycyoegu9K	phase_1	p52	736.1289999485016
17	10	1565901175107	add_to_committee	q4Eycyoegu9K	phase_1	p65	981.2350001335144
18	9	1565901177587	remove_from_committee	q4Eycyoegu9K	phase_1	p65	983.7149999141693
19	10	1565901186123	add_to_committee	q4Eycyoegu9K	phase_1	p66	992.2509999275208
