	age	appMode	appPhase	appType	education	first_name	gender	id	interactionAt	interactionType	last_name	occupation	participantId	party	policy_strength_ban_abortion_after_6_weeks	policy_strength_ban_alcohol_sales_on_sundays	policy_strength_budget_for_free_school_lunch_program	policy_strength_increase_budget_for_medicare_coverage	policy_strength_increase_budget_for_veterans_affairs	policy_strength_increase_gun_control_legislation	policy_strength_legalize_medical_marijuana	political_experience	processed_at	relativeInteractionAt	religion
0	0.0	live	phase_1	CONTROL	0.0	0.0	0.0	0.0	1566836137569	mouseout	0.0	0.0	6XiVahmAR94D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566836137583	149.30200004577637	0.0
1	0.0	live	phase_1	CONTROL	0.0	0.0	0.0	0.0	1566836256946	add_to_list_via_scatterplot_click	0.0	0.0	6XiVahmAR94D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566836256956	268.67900013923645	0.0
2	0.0	live	phase_1	CONTROL	0.0	0.0	0.0	0.0	1566836257672	mouseout	0.0	0.0	6XiVahmAR94D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566836257683	269.40499997138977	0.0
3	0.0	live	phase_1	CONTROL	0.0	0.0	0.0	0.0	1566836262739	mouseout	0.0	0.0	6XiVahmAR94D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566836262749	274.4720001220703	0.0
4	0.0	live	phase_1	CONTROL	0.0	0.0	0.0	0.0	1566836265059	mouseout	0.0	0.0	6XiVahmAR94D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566836265068	276.7920000553131	0.0
5	0.0	live	phase_1	CONTROL	0.0	0.0	0.0	0.0	1566836271523	add_to_list_via_scatterplot_click	0.0	0.0	6XiVahmAR94D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566836271536	283.25600004196167	0.0
6	0.0	live	phase_1	CONTROL	0.0	0.0	0.0	0.0	1566836271840	mouseout	0.0	0.0	6XiVahmAR94D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566836271852	283.57299995422363	0.0
7	0.0	live	phase_1	CONTROL	0.0	0.0	0.0	0.0	1566836275371	add_to_list_via_scatterplot_click	0.0	0.0	6XiVahmAR94D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566836275382	287.10400009155273	0.0
8	0.0	live	phase_1	CONTROL	0.0	0.0	0.0	0.0	1566836275523	mouseout	0.0	0.0	6XiVahmAR94D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566836275533	287.25600004196167	0.0
9	0.9994724171434461	live	phase_1	CONTROL	0.6948934106025568	0.99999999999987	0.9999999999999997	0.9999999994352781	1566836279156	mouseout	0.999999999885867	0.10388977750623485	6XiVahmAR94D	0.9990031099035604	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.7456420442278544	1566836279165	290.88899993896484	0.11935080670848952
