appType,participantId,interactionType,id,age,gender,party,age_binned
CONTROL,0YhSRQx5Cdp5,mouseover,p07,58,Male,Democrat,"(55, 60]"
CONTROL,0YhSRQx5Cdp5,mouseover,p07,58,Male,Democrat,"(55, 60]"
CONTROL,0YhSRQx5Cdp5,mouseover,p15,51,Male,Republican,"(50, 55]"
CONTROL,0YhSRQx5Cdp5,mouseover,p83,58,Male,Republican,"(55, 60]"
CONTROL,0YhSRQx5Cdp5,mouseover,p78,51,Female,Democrat,"(50, 55]"
CONTROL,0YhSRQx5Cdp5,mouseover,p07,58,Male,Democrat,"(55, 60]"
CONTROL,0YhSRQx5Cdp5,mouseover,p07,58,Male,Democrat,"(55, 60]"
CONTROL,0YhSRQx5Cdp5,mouseover,p30,53,Male,Democrat,"(50, 55]"
CONTROL,0YhSRQx5Cdp5,mouseover,p44,65,Female,Democrat,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover,p29,46,Male,Democrat,"(45, 50]"
CONTROL,0YhSRQx5Cdp5,mouseover,p02,45,Female,Democrat,"(40, 45]"
CONTROL,0YhSRQx5Cdp5,mouseover,p07,58,Male,Democrat,"(55, 60]"
CONTROL,0YhSRQx5Cdp5,mouseover,p65,67,Female,Democrat,"(65, 70]"
CONTROL,0YhSRQx5Cdp5,mouseover,p44,65,Female,Democrat,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover,p20,75,Female,Democrat,"(70, 75]"
CONTROL,0YhSRQx5Cdp5,mouseover,p02,45,Female,Democrat,"(40, 45]"
CONTROL,0YhSRQx5Cdp5,mouseover,p90,61,Female,Republican,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover,p02,45,Female,Democrat,"(40, 45]"
CONTROL,0YhSRQx5Cdp5,mouseover,p90,61,Female,Republican,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,add_to_list_via_scatterplot_click,p90,61,Female,Republican,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover,p02,45,Female,Democrat,"(40, 45]"
CONTROL,0YhSRQx5Cdp5,mouseover,p44,65,Female,Democrat,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover,p20,75,Female,Democrat,"(70, 75]"
CONTROL,0YhSRQx5Cdp5,mouseover,p44,65,Female,Democrat,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover,p02,45,Female,Democrat,"(40, 45]"
CONTROL,0YhSRQx5Cdp5,mouseover,p44,65,Female,Democrat,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover,p20,75,Female,Democrat,"(70, 75]"
CONTROL,0YhSRQx5Cdp5,mouseover,p44,65,Female,Democrat,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover,p44,65,Female,Democrat,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,add_to_list_via_scatterplot_click,p44,65,Female,Democrat,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover,p20,75,Female,Democrat,"(70, 75]"
CONTROL,0YhSRQx5Cdp5,add_to_list_via_scatterplot_click,p20,75,Female,Democrat,"(70, 75]"
CONTROL,0YhSRQx5Cdp5,mouseover,p02,45,Female,Democrat,"(40, 45]"
CONTROL,0YhSRQx5Cdp5,mouseover,p78,51,Female,Democrat,"(50, 55]"
CONTROL,0YhSRQx5Cdp5,mouseover,p24,63,Female,Democrat,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover,p90,61,Female,Republican,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover_from_list,p90,61,Female,Republican,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover_from_list,p44,65,Female,Democrat,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover_from_list,p44,65,Female,Democrat,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover_from_list,p20,75,Female,Democrat,"(70, 75]"
CONTROL,0YhSRQx5Cdp5,mouseover,p02,45,Female,Democrat,"(40, 45]"
CONTROL,0YhSRQx5Cdp5,add_to_list_via_scatterplot_click,p02,45,Female,Democrat,"(40, 45]"
CONTROL,0YhSRQx5Cdp5,mouseover,p21,76,Female,Democrat,"(75, 80]"
CONTROL,0YhSRQx5Cdp5,mouseover,p78,51,Female,Democrat,"(50, 55]"
CONTROL,0YhSRQx5Cdp5,mouseover,p23,45,Male,Democrat,"(40, 45]"
CONTROL,0YhSRQx5Cdp5,mouseover,p23,45,Male,Democrat,"(40, 45]"
CONTROL,0YhSRQx5Cdp5,add_to_list_via_scatterplot_click,p23,45,Male,Democrat,"(40, 45]"
CONTROL,0YhSRQx5Cdp5,mouseover,p69,60,Male,Republican,"(55, 60]"
CONTROL,0YhSRQx5Cdp5,add_to_list_via_scatterplot_click,p69,60,Male,Republican,"(55, 60]"
CONTROL,0YhSRQx5Cdp5,mouseover,p72,56,Male,Democrat,"(55, 60]"
CONTROL,0YhSRQx5Cdp5,add_to_list_via_scatterplot_click,p72,56,Male,Democrat,"(55, 60]"
CONTROL,0YhSRQx5Cdp5,mouseover,p40,64,Male,Republican,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,add_to_list_via_scatterplot_click,p40,64,Male,Republican,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover,p79,56,Male,Democrat,"(55, 60]"
CONTROL,0YhSRQx5Cdp5,mouseover,p52,40,Male,Democrat,"(35, 40]"
CONTROL,0YhSRQx5Cdp5,mouseover_from_list,p69,60,Male,Republican,"(55, 60]"
CONTROL,0YhSRQx5Cdp5,mouseover_from_list,p23,45,Male,Democrat,"(40, 45]"
CONTROL,0YhSRQx5Cdp5,mouseover,p91,65,Male,Democrat,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,add_to_list_via_scatterplot_click,p91,65,Male,Democrat,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover,p66,64,Female,Democrat,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover_from_list,p91,65,Male,Democrat,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover_from_list,p91,65,Male,Democrat,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover_from_list,p91,65,Male,Democrat,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover_from_list,p91,65,Male,Democrat,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,remove_from_list_via_list_item_click,p91,65,Male,Democrat,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover,p66,64,Female,Democrat,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,add_to_list_via_scatterplot_click,p66,64,Female,Democrat,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover,p87,64,Male,Republican,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,add_to_list_via_scatterplot_click,p87,64,Male,Republican,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover_from_list,p90,61,Female,Republican,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover_from_list,p72,56,Male,Democrat,"(55, 60]"
CONTROL,0YhSRQx5Cdp5,mouseover_from_list,p90,61,Female,Republican,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover_from_list,p72,56,Male,Democrat,"(55, 60]"
CONTROL,0YhSRQx5Cdp5,mouseover,p75,56,Male,Republican,"(55, 60]"
CONTROL,0YhSRQx5Cdp5,mouseover,p59,47,Male,Republican,"(45, 50]"
CONTROL,0YhSRQx5Cdp5,mouseover,p02,45,Female,Democrat,"(40, 45]"
CONTROL,0YhSRQx5Cdp5,mouseover_from_list,p90,61,Female,Republican,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover_from_list,p44,65,Female,Democrat,"(60, 65]"
CONTROL,0YhSRQx5Cdp5,mouseover_from_list,p20,75,Female,Democrat,"(70, 75]"
CONTROL,0YhSRQx5Cdp5,mouseover_from_list,p02,45,Female,Democrat,"(40, 45]"
CONTROL,0YhSRQx5Cdp5,mouseover_from_list,p23,45,Male,Democrat,"(40, 45]"
CONTROL,0YhSRQx5Cdp5,mouseover_from_list,p90,61,Female,Republican,"(60, 65]"
CONTROL,28brBef2NP77,mouseover,p69,60,Male,Republican,"(55, 60]"
CONTROL,28brBef2NP77,mouseover,p73,57,Male,Democrat,"(55, 60]"
CONTROL,28brBef2NP77,mouseover,p02,45,Female,Democrat,"(40, 45]"
CONTROL,28brBef2NP77,mouseover,p02,45,Female,Democrat,"(40, 45]"
CONTROL,28brBef2NP77,add_to_list_via_scatterplot_click,p02,45,Female,Democrat,"(40, 45]"
CONTROL,28brBef2NP77,mouseover,p76,54,Male,Republican,"(50, 55]"
CONTROL,28brBef2NP77,mouseover,p76,54,Male,Republican,"(50, 55]"
CONTROL,28brBef2NP77,mouseover,p37,55,Male,Republican,"(50, 55]"
CONTROL,28brBef2NP77,add_to_list_via_scatterplot_click,p37,55,Male,Republican,"(50, 55]"
CONTROL,28brBef2NP77,mouseover,p43,59,Male,Republican,"(55, 60]"
