	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 0, 7: 0, 1: 0, 10: 1, 6: 1, 11: 3, 9: 2, 8: 0, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 1, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 1, 49: 0, 51: 0, 52: 1, 53: 1, 54: 0, 55: 0, 56: 1, 57: 1, 58: 1, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 2, 'Democrat': 8}, 'occupation': {'Lawyer': 4, 'Scientist': 2, 'Doctor': 1, 'Educator': 1, 'Career Politician': 1, 'Business': 1}}	1583169221906	add_to_committee	3Sp3rSvqFsh6	phase_1	p013	68.96299982070923
1	{'political_experience': {3: 0, 5: 0, 7: 0, 1: 0, 10: 1, 6: 1, 11: 3, 9: 2, 8: 0, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 1, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 1, 49: 0, 51: 0, 52: 1, 53: 1, 54: 0, 55: 0, 56: 1, 57: 1, 58: 1, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 2, 'Democrat': 8}, 'occupation': {'Lawyer': 4, 'Scientist': 2, 'Doctor': 1, 'Educator': 1, 'Career Politician': 1, 'Business': 1}}	1583169320259	add_to_committee	3Sp3rSvqFsh6	phase_1	p051	167.3159999847412
2	{'political_experience': {3: 0, 5: 0, 7: 0, 1: 0, 10: 1, 6: 1, 11: 3, 9: 2, 8: 0, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 1, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 1, 49: 0, 51: 0, 52: 1, 53: 1, 54: 0, 55: 0, 56: 1, 57: 1, 58: 1, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 2, 'Democrat': 8}, 'occupation': {'Lawyer': 4, 'Scientist': 2, 'Doctor': 1, 'Educator': 1, 'Career Politician': 1, 'Business': 1}}	1583169361781	add_to_committee	3Sp3rSvqFsh6	phase_1	p141	208.83799982070923
3	{'political_experience': {3: 0, 5: 0, 7: 0, 1: 0, 10: 1, 6: 1, 11: 3, 9: 2, 8: 0, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 1, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 1, 49: 0, 51: 0, 52: 1, 53: 1, 54: 0, 55: 0, 56: 1, 57: 1, 58: 1, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 2, 'Democrat': 8}, 'occupation': {'Lawyer': 4, 'Scientist': 2, 'Doctor': 1, 'Educator': 1, 'Career Politician': 1, 'Business': 1}}	1583169428011	add_to_committee	3Sp3rSvqFsh6	phase_1	p036	275.0679998397827
4	{'political_experience': {3: 0, 5: 0, 7: 0, 1: 0, 10: 1, 6: 1, 11: 3, 9: 2, 8: 0, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 1, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 1, 49: 0, 51: 0, 52: 1, 53: 1, 54: 0, 55: 0, 56: 1, 57: 1, 58: 1, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 2, 'Democrat': 8}, 'occupation': {'Lawyer': 4, 'Scientist': 2, 'Doctor': 1, 'Educator': 1, 'Career Politician': 1, 'Business': 1}}	1583169504861	add_to_committee	3Sp3rSvqFsh6	phase_1	p047	351.91799998283386
5	{'political_experience': {3: 0, 5: 0, 7: 0, 1: 0, 10: 1, 6: 1, 11: 3, 9: 2, 8: 0, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 1, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 1, 49: 0, 51: 0, 52: 1, 53: 1, 54: 0, 55: 0, 56: 1, 57: 1, 58: 1, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 2, 'Democrat': 8}, 'occupation': {'Lawyer': 4, 'Scientist': 2, 'Doctor': 1, 'Educator': 1, 'Career Politician': 1, 'Business': 1}}	1583169532896	add_to_committee	3Sp3rSvqFsh6	phase_1	p123	379.952999830246
6	{'political_experience': {3: 0, 5: 0, 7: 0, 1: 0, 10: 1, 6: 1, 11: 3, 9: 2, 8: 0, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 1, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 1, 49: 0, 51: 0, 52: 1, 53: 1, 54: 0, 55: 0, 56: 1, 57: 1, 58: 1, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 2, 'Democrat': 8}, 'occupation': {'Lawyer': 4, 'Scientist': 2, 'Doctor': 1, 'Educator': 1, 'Career Politician': 1, 'Business': 1}}	1583169534317	add_to_committee	3Sp3rSvqFsh6	phase_1	p037	381.37399983406067
7	{'political_experience': {3: 0, 5: 0, 7: 0, 1: 0, 10: 1, 6: 1, 11: 3, 9: 2, 8: 0, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 1, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 1, 49: 0, 51: 0, 52: 1, 53: 1, 54: 0, 55: 0, 56: 1, 57: 1, 58: 1, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 2, 'Democrat': 8}, 'occupation': {'Lawyer': 4, 'Scientist': 2, 'Doctor': 1, 'Educator': 1, 'Career Politician': 1, 'Business': 1}}	1583169596113	add_to_committee	3Sp3rSvqFsh6	phase_1	p087	443.16999983787537
8	{'political_experience': {3: 0, 5: 0, 7: 0, 1: 0, 10: 1, 6: 1, 11: 3, 9: 2, 8: 0, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 1, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 1, 49: 0, 51: 0, 52: 1, 53: 1, 54: 0, 55: 0, 56: 1, 57: 1, 58: 1, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 2, 'Democrat': 8}, 'occupation': {'Lawyer': 4, 'Scientist': 2, 'Doctor': 1, 'Educator': 1, 'Career Politician': 1, 'Business': 1}}	1583169643575	add_to_committee	3Sp3rSvqFsh6	phase_1	p071	490.6319999694824
9	{'political_experience': {3: 0, 5: 0, 7: 0, 1: 0, 10: 1, 6: 1, 11: 3, 9: 2, 8: 0, 12: 1, 13: 0, 4: 1, 0: 0, 2: 0, 16: 1, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 0, 'Hindu': 1, 'Mormon': 0, 'Muslim': 1}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 1, 49: 0, 51: 0, 52: 1, 53: 1, 54: 0, 55: 0, 56: 1, 57: 1, 58: 1, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 0, 'Neutral': 0, 'Opposed': 10}, 'party': {'Republican': 2, 'Democrat': 8}, 'occupation': {'Lawyer': 4, 'Scientist': 2, 'Doctor': 1, 'Educator': 1, 'Career Politician': 1, 'Business': 1}}	1583169684225	add_to_committee	3Sp3rSvqFsh6	phase_1	p043	531.2819998264313
