	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 0, 11: 0, 9: 1, 8: 0, 12: 3, 13: 2, 4: 0, 0: 0, 2: 0, 16: 2, 15: 0, 14: 1}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 1, 56: 0, 57: 0, 58: 2, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 1, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 0, 'Opposed': 5}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 5, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 1, 'Business': 2}}	1582654518483	add_to_committee	8cPi4CoiSpNN	phase_1	p131	187.13499999046326
1	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 0, 11: 0, 9: 1, 8: 0, 12: 3, 13: 2, 4: 0, 0: 0, 2: 0, 16: 2, 15: 0, 14: 1}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 1, 56: 0, 57: 0, 58: 2, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 1, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 0, 'Opposed': 5}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 5, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 1, 'Business': 2}}	1582654546884	add_to_committee	8cPi4CoiSpNN	phase_1	p043	215.53600001335144
2	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 0, 11: 0, 9: 1, 8: 0, 12: 3, 13: 2, 4: 0, 0: 0, 2: 0, 16: 2, 15: 0, 14: 1}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 1, 56: 0, 57: 0, 58: 2, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 1, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 0, 'Opposed': 5}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 5, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 1, 'Business': 2}}	1582654548209	add_to_committee	8cPi4CoiSpNN	phase_1	p003	216.86100006103516
3	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 0, 11: 0, 9: 1, 8: 0, 12: 3, 13: 2, 4: 0, 0: 0, 2: 0, 16: 2, 15: 0, 14: 1}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 1, 56: 0, 57: 0, 58: 2, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 1, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 0, 'Opposed': 5}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 5, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 1, 'Business': 2}}	1582654589020	add_to_committee	8cPi4CoiSpNN	phase_1	p142	257.67199993133545
4	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 0, 11: 0, 9: 1, 8: 0, 12: 3, 13: 2, 4: 0, 0: 0, 2: 0, 16: 2, 15: 0, 14: 1}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 1, 56: 0, 57: 0, 58: 2, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 1, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 0, 'Opposed': 5}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 5, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 1, 'Business': 2}}	1582654755015	add_to_committee	8cPi4CoiSpNN	phase_1	p135	423.6670000553131
5	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 0, 11: 0, 9: 1, 8: 0, 12: 3, 13: 2, 4: 0, 0: 0, 2: 0, 16: 2, 15: 0, 14: 1}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 1, 56: 0, 57: 0, 58: 2, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 1, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 0, 'Opposed': 5}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 5, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 1, 'Business': 2}}	1582654762334	add_to_committee	8cPi4CoiSpNN	phase_1	p037	430.98600006103516
6	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 0, 11: 0, 9: 1, 8: 0, 12: 3, 13: 2, 4: 0, 0: 0, 2: 0, 16: 2, 15: 0, 14: 1}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 1, 56: 0, 57: 0, 58: 2, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 1, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 0, 'Opposed': 5}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 5, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 1, 'Business': 2}}	1582654771009	add_to_committee	8cPi4CoiSpNN	phase_1	p019	439.66100001335144
7	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 0, 11: 0, 9: 1, 8: 0, 12: 3, 13: 2, 4: 0, 0: 0, 2: 0, 16: 2, 15: 0, 14: 1}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 1, 56: 0, 57: 0, 58: 2, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 1, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 0, 'Opposed': 5}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 5, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 1, 'Business': 2}}	1582654811753	add_to_committee	8cPi4CoiSpNN	phase_1	p060	480.40499997138977
8	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 0, 11: 0, 9: 1, 8: 0, 12: 3, 13: 2, 4: 0, 0: 0, 2: 0, 16: 2, 15: 0, 14: 1}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 1, 56: 0, 57: 0, 58: 2, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 1, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 0, 'Opposed': 5}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 5, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 1, 'Business': 2}}	1582654821905	add_to_committee	8cPi4CoiSpNN	phase_1	p097	490.5569999217987
9	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 0, 6: 0, 11: 0, 9: 1, 8: 0, 12: 3, 13: 2, 4: 0, 0: 0, 2: 0, 16: 2, 15: 0, 14: 1}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 1, 47: 0, 48: 0, 49: 1, 51: 0, 52: 0, 53: 0, 54: 1, 55: 1, 56: 0, 57: 0, 58: 2, 59: 0, 61: 0, 62: 1, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 1, 76: 0, 77: 0, 80: 1, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 0, 'Opposed': 5}, 'party': {'Republican': 4, 'Democrat': 6}, 'occupation': {'Lawyer': 5, 'Scientist': 1, 'Doctor': 1, 'Educator': 0, 'Career Politician': 1, 'Business': 2}}	1582654888356	add_to_committee	8cPi4CoiSpNN	phase_1	p059	557.0079998970032
