	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 2, 11: 1, 9: 2, 8: 0, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 1, 51: 1, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 1, 38: 0, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 2, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 1, 'Doctor': 2, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583342525642	add_to_committee	PQYxIfFvPDoT	phase_1	p013	16.98300004005432
1	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 2, 11: 1, 9: 2, 8: 0, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 1, 51: 1, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 1, 38: 0, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 2, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 1, 'Doctor': 2, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583342529573	add_to_committee	PQYxIfFvPDoT	phase_1	p142	20.914000034332275
2	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 2, 11: 1, 9: 2, 8: 0, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 1, 51: 1, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 1, 38: 0, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 2, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 1, 'Doctor': 2, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583342619577	add_to_committee	PQYxIfFvPDoT	phase_1	p074	110.91799998283386
3	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 2, 11: 1, 9: 2, 8: 0, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 1, 51: 1, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 1, 38: 0, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 2, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 1, 'Doctor': 2, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583342621817	add_to_committee	PQYxIfFvPDoT	phase_1	p035	113.1579999923706
4	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 2, 11: 1, 9: 2, 8: 0, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 1, 51: 1, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 1, 38: 0, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 2, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 1, 'Doctor': 2, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583342692454	add_to_committee	PQYxIfFvPDoT	phase_1	p022	183.79500007629395
5	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 2, 11: 1, 9: 2, 8: 0, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 1, 51: 1, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 1, 38: 0, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 2, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 1, 'Doctor': 2, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583342703176	add_to_committee	PQYxIfFvPDoT	phase_1	p117	194.51700019836426
6	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 2, 11: 1, 9: 2, 8: 0, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 1, 51: 1, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 1, 38: 0, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 2, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 1, 'Doctor': 2, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583342707373	add_to_committee	PQYxIfFvPDoT	phase_1	p036	198.71399998664856
7	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 2, 11: 1, 9: 2, 8: 0, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 1, 51: 1, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 1, 38: 0, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 2, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 1, 'Doctor': 2, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583342722230	add_to_committee	PQYxIfFvPDoT	phase_1	p093	213.57100009918213
8	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 2, 11: 1, 9: 2, 8: 0, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 1, 51: 1, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 1, 38: 0, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 2, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 1, 'Doctor': 2, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583342787484	add_to_committee	PQYxIfFvPDoT	phase_1	p037	278.8250000476837
9	{'political_experience': {3: 0, 5: 0, 7: 3, 1: 0, 10: 1, 6: 2, 11: 1, 9: 2, 8: 0, 12: 1, 13: 0, 4: 0, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 0, 'Jewish': 2, 'Hindu': 1, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 5, 'Female': 5}, 'age': {33: 0, 37: 0, 39: 1, 40: 0, 43: 0, 45: 1, 46: 1, 47: 0, 48: 0, 49: 1, 51: 1, 52: 0, 53: 1, 54: 1, 55: 0, 56: 0, 57: 0, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 0, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 1, 44: 0, 34: 1, 38: 0, 50: 0, 66: 1, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 5, 'Neutral': 2, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 1, 'Doctor': 2, 'Educator': 1, 'Career Politician': 1, 'Business': 3}}	1583342798361	add_to_committee	PQYxIfFvPDoT	phase_1	p111	289.7020001411438
