	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 2, 6: 1, 11: 0, 9: 1, 8: 1, 12: 1, 13: 1, 4: 2, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 1, 51: 0, 52: 1, 53: 2, 54: 1, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 3, 'Neutral': 4, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 4, 'Educator': 0, 'Career Politician': 4, 'Business': 0}}	1583251816325	add_to_committee	gPCb7Uy0pEM0	phase_1	p081	31.557000160217285
1	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 2, 6: 1, 11: 0, 9: 1, 8: 1, 12: 1, 13: 1, 4: 2, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 1, 51: 0, 52: 1, 53: 2, 54: 1, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 3, 'Neutral': 4, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 4, 'Educator': 0, 'Career Politician': 4, 'Business': 0}}	1583251892805	add_to_committee	gPCb7Uy0pEM0	phase_1	p095	108.03700017929077
2	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 2, 6: 1, 11: 0, 9: 1, 8: 1, 12: 1, 13: 1, 4: 2, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 1, 51: 0, 52: 1, 53: 2, 54: 1, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 3, 'Neutral': 4, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 4, 'Educator': 0, 'Career Politician': 4, 'Business': 0}}	1583251907264	add_to_committee	gPCb7Uy0pEM0	phase_1	p004	122.49600005149841
3	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 2, 6: 1, 11: 0, 9: 1, 8: 1, 12: 1, 13: 1, 4: 2, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 1, 51: 0, 52: 1, 53: 2, 54: 1, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 3, 'Neutral': 4, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 4, 'Educator': 0, 'Career Politician': 4, 'Business': 0}}	1583251929402	add_to_committee	gPCb7Uy0pEM0	phase_1	p089	144.6340000629425
4	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 2, 6: 1, 11: 0, 9: 1, 8: 1, 12: 1, 13: 1, 4: 2, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 1, 51: 0, 52: 1, 53: 2, 54: 1, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 3, 'Neutral': 4, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 4, 'Educator': 0, 'Career Politician': 4, 'Business': 0}}	1583251939254	remove_from_committee	gPCb7Uy0pEM0	phase_1	p089	154.48600006103516
5	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 2, 6: 1, 11: 0, 9: 1, 8: 1, 12: 1, 13: 1, 4: 2, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 1, 51: 0, 52: 1, 53: 2, 54: 1, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 3, 'Neutral': 4, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 4, 'Educator': 0, 'Career Politician': 4, 'Business': 0}}	1583251944634	add_to_committee	gPCb7Uy0pEM0	phase_1	p098	159.86600017547607
6	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 2, 6: 1, 11: 0, 9: 1, 8: 1, 12: 1, 13: 1, 4: 2, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 1, 51: 0, 52: 1, 53: 2, 54: 1, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 3, 'Neutral': 4, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 4, 'Educator': 0, 'Career Politician': 4, 'Business': 0}}	1583251947167	remove_from_committee	gPCb7Uy0pEM0	phase_1	p098	162.39900016784668
7	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 2, 6: 1, 11: 0, 9: 1, 8: 1, 12: 1, 13: 1, 4: 2, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 1, 51: 0, 52: 1, 53: 2, 54: 1, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 3, 'Neutral': 4, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 4, 'Educator': 0, 'Career Politician': 4, 'Business': 0}}	1583251949257	add_to_committee	gPCb7Uy0pEM0	phase_1	p099	164.489000082016
8	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 2, 6: 1, 11: 0, 9: 1, 8: 1, 12: 1, 13: 1, 4: 2, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 1, 51: 0, 52: 1, 53: 2, 54: 1, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 3, 'Neutral': 4, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 4, 'Educator': 0, 'Career Politician': 4, 'Business': 0}}	1583251950483	add_to_committee	gPCb7Uy0pEM0	phase_1	p123	165.7150001525879
9	{'political_experience': {3: 0, 5: 0, 7: 1, 1: 0, 10: 2, 6: 1, 11: 0, 9: 1, 8: 1, 12: 1, 13: 1, 4: 2, 0: 0, 2: 0, 16: 0, 15: 0, 14: 0}, 'religion': {'Christian': 7, 'Unaffiliated': 1, 'Jewish': 2, 'Hindu': 0, 'Mormon': 0, 'Muslim': 0}, 'gender': {'Male': 6, 'Female': 4}, 'age': {33: 0, 37: 0, 39: 0, 40: 0, 43: 0, 45: 0, 46: 0, 47: 0, 48: 1, 49: 1, 51: 0, 52: 1, 53: 2, 54: 1, 55: 1, 56: 0, 57: 1, 58: 0, 59: 0, 61: 0, 62: 0, 64: 0, 65: 0, 67: 0, 68: 1, 70: 0, 71: 0, 75: 0, 76: 0, 77: 0, 80: 0, 63: 0, 79: 0, 69: 0, 44: 0, 34: 1, 38: 0, 50: 0, 66: 0, 73: 0}, 'policy_strength_ban_abortion_after_6_weeks': {'In Favor': 3, 'Neutral': 4, 'Opposed': 3}, 'party': {'Republican': 5, 'Democrat': 5}, 'occupation': {'Lawyer': 2, 'Scientist': 0, 'Doctor': 4, 'Educator': 0, 'Career Politician': 4, 'Business': 0}}	1583251982489	add_to_committee	gPCb7Uy0pEM0	phase_1	p001	197.72100019454956
