	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	1	1582748814966	add_to_committee	CnOeEROhOZaX	phase_1	p019	569.1900000572205
1	2	1582748835949	add_to_committee	CnOeEROhOZaX	phase_1	p020	590.1729998588562
2	3	1582748851194	add_to_committee	CnOeEROhOZaX	phase_1	p024	605.4179999828339
3	4	1582748860414	add_to_committee	CnOeEROhOZaX	phase_1	p080	614.6380000114441
4	5	1582748883591	add_to_committee	CnOeEROhOZaX	phase_1	p142	637.8150000572205
5	4	1582748940078	remove_from_committee	CnOeEROhOZaX	phase_1	p019	694.3020000457764
6	3	1582748940486	remove_from_committee	CnOeEROhOZaX	phase_1	p020	694.710000038147
7	2	1582748940879	remove_from_committee	CnOeEROhOZaX	phase_1	p024	695.1029999256134
8	1	1582748941241	remove_from_committee	CnOeEROhOZaX	phase_1	p080	695.4649999141693
9	0	1582748941535	remove_from_committee	CnOeEROhOZaX	phase_1	p142	695.7590000629425
10	1	1582749138625	add_to_committee	CnOeEROhOZaX	phase_1	p030	892.8489999771118
11	2	1582749141311	add_to_committee	CnOeEROhOZaX	phase_1	p059	895.5350000858307
12	3	1582749146632	add_to_committee	CnOeEROhOZaX	phase_1	p037	900.8559999465942
13	4	1582749150867	add_to_committee	CnOeEROhOZaX	phase_1	p135	905.0910000801086
14	5	1582749192510	add_to_committee	CnOeEROhOZaX	phase_1	p120	946.7339999675751
15	6	1582749195128	add_to_committee	CnOeEROhOZaX	phase_1	p142	949.3519999980927
16	7	1582749200166	add_to_committee	CnOeEROhOZaX	phase_1	p123	954.3899998664856
17	8	1582749202504	add_to_committee	CnOeEROhOZaX	phase_1	p051	956.7279999256134
18	9	1582749207195	add_to_committee	CnOeEROhOZaX	phase_1	p106	961.4189999103546
19	10	1582749208923	add_to_committee	CnOeEROhOZaX	phase_1	p073	963.1470000743866
