Timestamp,User ID (Copy and Paste from Above),What do you hope would be the outcome of your committee? ,What was your criteria for choosing politicians in your committee?,What is your opinion on banning abortion after 6 weeks?,In your initial committee selection. [Experience],In your initial committee selection. [First Name],In your initial committee selection. [Gender],In your initial committee selection. [Last Name],In your initial committee selection. [Occupation],In your initial committee selection. [Religion],In your initial committee selection. [Policy on Abortion],In your initial committee selection. [Political Party],In your revised committee selection. [Experience],In your revised committee selection. [First Name],In your revised committee selection. [Gender],In your revised committee selection. [Last Name],In your revised committee selection. [Occupation],In your revised committee selection. [Religion],In your revised committee selection. [Policy on Abortion],In your revised committee selection. [Political Party],How useful did you find the SCATTERPLOT VIEW in the interface?,How useful did you find the DETAIL VIEW in the interface?,How useful did you find the FILTERS in the interface?,How useful did you find the SELECTED COMMITTEE LIST in the interface?,How useful did you find the COMPARISON OF YOUR INTERACTIONS WITH THE DATASET after you completed your initial committee selection?
2/25/2020 13:36:00,8cPi4CoiSpNN,"A decision made by experienced policy makers from both viewpoints, who have dealt with difficult bills in the past.","in-favor and opposed, for politicians of high amount (in years) of political experience",3,1,7,2,7,7,4,1,3,1,7,2,7,7,4,1,3,5,5,5,5,3
2/26/2020 13:59:15,6oheLF74hlXc,"I hope that the committee will be able to oppose and reject the bill, but tried to make the committee as least controversial as possible.","I wanted a balanced set of people in the committee, so an equal amount of people that were in the same party, male and female representation, and equal amount of people opposed or in favor of banning abortion.",2,2,7,1,7,2,2,1,1,2,7,1,7,2,1,1,1,5,3,5,4,2
2/26/2020 14:39:43,qFIltQnZAor7,"I want abortion to be allowed if the case called for it, such as rape. Otherwise, I want the baby's life to be prtotected. BUT sending to prison is too much so no to prison.",I wanted a diverse group of people because america is diverse,2,3,7,1,7,2,3,1,1,7,7,1,7,1,1,1,1,4,5,2,5,5
2/26/2020 15:51:49,CnOeEROhOZaX,"My hope would be that the committee could debate by presenting differing views, and come to a consensus about the bill. If a consensus wasn't possible, I would expect a modification to the bill that meets midway. ","I wanted there to be a greater representation of women in the committee, so I decided on having 6 women and 4 men. Then, I put in a maximum age filter to 65, so that people of similar age groups could debate more productively. I mapped the y-axis to political experience, and x-axis to the party. I then used the filter on whether they were opposed to the bill or not, to make a homogenous mix of candidates.",2,2,7,1,7,7,7,2,2,2,7,1,7,3,7,2,2,4,2,3,2,2
2/27/2020 13:32:17,xrOuOynQhVbO,In favor of the bill,"Considered every politician in the design space, chose two final metrics based on religion and career. Other consideration was age because of difference in opinions in generations. tried to have a representative from at least on religion affiliation and one career choice",6,7,7,7,7,1,1,3,7,7,7,7,7,1,1,3,7,5,5,5,5,5
3/2/2020 12:38:29,3Sp3rSvqFsh6,to stop the ban on abortion,"I wanted people first of all who opposed the ban, as I do. I also wanted people knowledgeable about the issue, and I feel like that includes doctors and scientists. I wanted a range of ages, but no one super old because I feel like the world is so much different now than when they were growing up, we need people who know the current age-- younger people. I also wanted to make sure some other religions were represented, and that there was a spread of men and women.",1,4,7,4,7,2,5,1,2,4,7,4,7,2,5,1,2,5,4,3,3,4
3/3/2020 11:27:58,gPCb7Uy0pEM0,"I want the committee to choose a result that would represent the opinions of US citizen. However, I also want that they make a choice that can be most beneficial for the one who are affected most by the bills ( women ) and that the choice takes women health into considerations.","Occupations should be doctors, lawyers, career politician. Age should be from 40 to 60. Equally opiniated between banning and not banning",3,3,7,3,7,1,7,1,7,3,7,3,7,1,7,1,7,5,5,5,5,5
3/3/2020 18:41:21,8D64yb05oRDt,"Ideally the committee would make a plan that as long as both potential parents agree, and no one's life is at risk, there wouldn't be a ban on abortion. More realistically, I want the committee to get the deadline extended.",I wanted some amount of career politicians because they have the most experience with bills and laws. I did not care about party affiliation. ,1,3,7,3,7,2,5,1,6,3,7,3,7,2,,1,6,3,5,5,4,2
3/15/2020 20:33:55,lPpxNz1aVtYh,Opposed,"Gender to be female, age to be between 30 and 50 and a fair chance",1,7,7,1,7,7,7,1,4,7,7,1,7,7,7,1,4,5,5,5,5,5
3/15/2020 21:22:39,hoMzF8Cf1Y5j,To discuss to let women to do abortion whenever they want. ,"To have more years of political experience, to be younger(<55), to allow women to do abortion",1,1,7,2,7,2,6,1,7,,,,,,,,,5,5,4,5,5
3/16/2020 17:33:05,r9cpBWj7l0iV,to choose an answer that all parties want even if they don't actually get want they want exactly,"mostly career and political experience, and gender",5,3,7,3,7,1,5,7,4,,,,,,,,,2,5,3,5,3
3/17/2020 16:10:18,ZY1tfYLxtiya,Opposing the bill,"More female, less age, educated (not necessarily just politicians)",1,7,7,2,7,3,7,1,5,6,7,1,7,3,7,1,7,5,5,5,5,4
