	participantId	age	education	gender	occupation	party	policy_strength_ban_abortion_after_6_weeks	policy_strength_ban_alcohol_sales_on_sundays	policy_strength_budget_for_free_school_lunch_program	policy_strength_increase_budget_for_medicare_coverage	policy_strength_increase_budget_for_veterans_affairs	policy_strength_increase_gun_control_legislation	policy_strength_legalize_medical_marijuana	political_experience	religion
0	5iOVxCAHC8yo	2.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0
1	8oiaPu0yRfxr	5.0	3.0	2.0	4.0	3.0	2.0	3.0	4.0	2.0	3.0	2.0	4.0	3.0	3.0
2	NMvdaYNL49Mt	1.0	0.0	1.0	0.0	0.0	1.0	3.0	1.0	0.0	1.0	3.0	0.0	2.0	1.0
3	QBeuqPWNLnaC	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
4	eCcNRmXRTXP6	2.0	4.0	6.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0
5	f0eJoDsKT8si	4.0	2.0	2.0	2.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	2.0	2.0
6	fQgKCA4w7L0D	3.0	2.0	2.0	4.0	4.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
7	g2c4CLlqIc97	2.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
8	nY9fN95eZQaX	1.0	0.0	0.0	1.0	2.0	0.0	1.0	1.0	3.0	1.0	0.0	0.0	1.0	0.0
9	xGba4x11AgqF	2.0	1.0	3.0	1.0	1.0	2.0	2.0	3.0	2.0	3.0	1.0	1.0	1.0	0.0
