	participantId	max_overall_interacted_attr
0	0YhSRQx5Cdp5	gender
1	28brBef2NP77	education
2	531UXi27EEuE	policy_strength_ban_alcohol_sales_on_sundays
3	5iOVxCAHC8yo	education
4	6XiVahmAR94D	gender,policy_strength_ban_abortion_after_6_weeks
5	8oiaPu0yRfxr	occupation
6	94ciAzx6D4Bt	age
7	9xOrWE8cZEqz	political_experience
8	CjsOuAfO5NuJ	policy_strength_increase_gun_control_legislation,policy_strength_legalize_medical_marijuana
9	NMvdaYNL49Mt	political_experience
10	QBeuqPWNLnaC	party
11	QQx6IjEb7ps6	party
12	WmtJlhR8J1J0	occupation,party
13	XWUiQs4zpxIx	occupation
14	dxNzpa5cz1lD	occupation
15	eCcNRmXRTXP6	gender
16	f0eJoDsKT8si	age
17	fQgKCA4w7L0D	political_experience
18	g2c4CLlqIc97	religion
19	m8YdCZB7euiy	age,gender
20	nY9fN95eZQaX	age
21	oxTwBvZsd5HT	age
22	q4Eycyoegu9K	religion
23	xGba4x11AgqF	occupation
