	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 1, 61: 1, 64: 1, 53: 0, 51: 1, 65: 1, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 2, 2: 1, 1: 1, -3: 1, 3: 1, 0: 2}, 'gender': {'Male': 5, 'Female': 5}, 'occupation': {'Financier': 0, 'Engineer': 2, 'Career Politician': 1, 'Lawyer': 2, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 4, -1: 0, 2: 1, -2: 3, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 1, 2: 2, -3: 2, 3: 1, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 1, -1: 2, 1: 1, -2: 1, -3: 1, 0: 0}, 'political_experience': {9: 3, 5: 2, 8: 1, 2: 0, 12: 0, 10: 0, 6: 0, 11: 2, 15: 0, 14: 1, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 1, 'PhD': 2, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 6, 'Jewish': 3, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 3, 1: 2, 3: 0, 0: 1, -3: 1, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 0, -1: 2, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 1, 0: 0, -3: 0, -1: 2}, 'party': {'Democrat': 6, 'Republican': 4}}	1566933436708	add_to_committee	QQx6IjEb7ps6	phase_1	p90	123.06299996376038
1	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 1, 61: 1, 64: 1, 53: 0, 51: 1, 65: 1, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 2, 2: 1, 1: 1, -3: 1, 3: 1, 0: 2}, 'gender': {'Male': 5, 'Female': 5}, 'occupation': {'Financier': 0, 'Engineer': 2, 'Career Politician': 1, 'Lawyer': 2, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 4, -1: 0, 2: 1, -2: 3, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 1, 2: 2, -3: 2, 3: 1, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 1, -1: 2, 1: 1, -2: 1, -3: 1, 0: 0}, 'political_experience': {9: 3, 5: 2, 8: 1, 2: 0, 12: 0, 10: 0, 6: 0, 11: 2, 15: 0, 14: 1, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 1, 'PhD': 2, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 6, 'Jewish': 3, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 3, 1: 2, 3: 0, 0: 1, -3: 1, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 0, -1: 2, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 1, 0: 0, -3: 0, -1: 2}, 'party': {'Democrat': 6, 'Republican': 4}}	1566933481095	add_to_committee	QQx6IjEb7ps6	phase_1	p02	167.45000004768372
2	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 1, 61: 1, 64: 1, 53: 0, 51: 1, 65: 1, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 2, 2: 1, 1: 1, -3: 1, 3: 1, 0: 2}, 'gender': {'Male': 5, 'Female': 5}, 'occupation': {'Financier': 0, 'Engineer': 2, 'Career Politician': 1, 'Lawyer': 2, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 4, -1: 0, 2: 1, -2: 3, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 1, 2: 2, -3: 2, 3: 1, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 1, -1: 2, 1: 1, -2: 1, -3: 1, 0: 0}, 'political_experience': {9: 3, 5: 2, 8: 1, 2: 0, 12: 0, 10: 0, 6: 0, 11: 2, 15: 0, 14: 1, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 1, 'PhD': 2, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 6, 'Jewish': 3, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 3, 1: 2, 3: 0, 0: 1, -3: 1, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 0, -1: 2, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 1, 0: 0, -3: 0, -1: 2}, 'party': {'Democrat': 6, 'Republican': 4}}	1566933514427	add_to_committee	QQx6IjEb7ps6	phase_1	p44	200.78200006484985
3	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 1, 61: 1, 64: 1, 53: 0, 51: 1, 65: 1, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 2, 2: 1, 1: 1, -3: 1, 3: 1, 0: 2}, 'gender': {'Male': 5, 'Female': 5}, 'occupation': {'Financier': 0, 'Engineer': 2, 'Career Politician': 1, 'Lawyer': 2, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 4, -1: 0, 2: 1, -2: 3, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 1, 2: 2, -3: 2, 3: 1, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 1, -1: 2, 1: 1, -2: 1, -3: 1, 0: 0}, 'political_experience': {9: 3, 5: 2, 8: 1, 2: 0, 12: 0, 10: 0, 6: 0, 11: 2, 15: 0, 14: 1, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 1, 'PhD': 2, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 6, 'Jewish': 3, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 3, 1: 2, 3: 0, 0: 1, -3: 1, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 0, -1: 2, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 1, 0: 0, -3: 0, -1: 2}, 'party': {'Democrat': 6, 'Republican': 4}}	1566933626911	add_to_committee	QQx6IjEb7ps6	phase_1	p48	313.2660000324249
4	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 1, 61: 1, 64: 1, 53: 0, 51: 1, 65: 1, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 2, 2: 1, 1: 1, -3: 1, 3: 1, 0: 2}, 'gender': {'Male': 5, 'Female': 5}, 'occupation': {'Financier': 0, 'Engineer': 2, 'Career Politician': 1, 'Lawyer': 2, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 4, -1: 0, 2: 1, -2: 3, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 1, 2: 2, -3: 2, 3: 1, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 1, -1: 2, 1: 1, -2: 1, -3: 1, 0: 0}, 'political_experience': {9: 3, 5: 2, 8: 1, 2: 0, 12: 0, 10: 0, 6: 0, 11: 2, 15: 0, 14: 1, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 1, 'PhD': 2, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 6, 'Jewish': 3, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 3, 1: 2, 3: 0, 0: 1, -3: 1, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 0, -1: 2, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 1, 0: 0, -3: 0, -1: 2}, 'party': {'Democrat': 6, 'Republican': 4}}	1566933661041	add_to_committee	QQx6IjEb7ps6	phase_1	p78	347.39599990844727
5	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 1, 61: 1, 64: 1, 53: 0, 51: 1, 65: 1, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 2, 2: 1, 1: 1, -3: 1, 3: 1, 0: 2}, 'gender': {'Male': 5, 'Female': 5}, 'occupation': {'Financier': 0, 'Engineer': 2, 'Career Politician': 1, 'Lawyer': 2, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 4, -1: 0, 2: 1, -2: 3, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 1, 2: 2, -3: 2, 3: 1, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 1, -1: 2, 1: 1, -2: 1, -3: 1, 0: 0}, 'political_experience': {9: 3, 5: 2, 8: 1, 2: 0, 12: 0, 10: 0, 6: 0, 11: 2, 15: 0, 14: 1, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 1, 'PhD': 2, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 6, 'Jewish': 3, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 3, 1: 2, 3: 0, 0: 1, -3: 1, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 0, -1: 2, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 1, 0: 0, -3: 0, -1: 2}, 'party': {'Democrat': 6, 'Republican': 4}}	1566933681076	add_to_committee	QQx6IjEb7ps6	phase_1	p66	367.43099999427795
6	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 1, 61: 1, 64: 1, 53: 0, 51: 1, 65: 1, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 2, 2: 1, 1: 1, -3: 1, 3: 1, 0: 2}, 'gender': {'Male': 5, 'Female': 5}, 'occupation': {'Financier': 0, 'Engineer': 2, 'Career Politician': 1, 'Lawyer': 2, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 4, -1: 0, 2: 1, -2: 3, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 1, 2: 2, -3: 2, 3: 1, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 1, -1: 2, 1: 1, -2: 1, -3: 1, 0: 0}, 'political_experience': {9: 3, 5: 2, 8: 1, 2: 0, 12: 0, 10: 0, 6: 0, 11: 2, 15: 0, 14: 1, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 1, 'PhD': 2, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 6, 'Jewish': 3, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 3, 1: 2, 3: 0, 0: 1, -3: 1, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 0, -1: 2, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 1, 0: 0, -3: 0, -1: 2}, 'party': {'Democrat': 6, 'Republican': 4}}	1566933694283	remove_from_committee	QQx6IjEb7ps6	phase_1	p48	380.6380000114441
7	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 1, 61: 1, 64: 1, 53: 0, 51: 1, 65: 1, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 2, 2: 1, 1: 1, -3: 1, 3: 1, 0: 2}, 'gender': {'Male': 5, 'Female': 5}, 'occupation': {'Financier': 0, 'Engineer': 2, 'Career Politician': 1, 'Lawyer': 2, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 4, -1: 0, 2: 1, -2: 3, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 1, 2: 2, -3: 2, 3: 1, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 1, -1: 2, 1: 1, -2: 1, -3: 1, 0: 0}, 'political_experience': {9: 3, 5: 2, 8: 1, 2: 0, 12: 0, 10: 0, 6: 0, 11: 2, 15: 0, 14: 1, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 1, 'PhD': 2, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 6, 'Jewish': 3, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 3, 1: 2, 3: 0, 0: 1, -3: 1, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 0, -1: 2, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 1, 0: 0, -3: 0, -1: 2}, 'party': {'Democrat': 6, 'Republican': 4}}	1566933787588	add_to_committee	QQx6IjEb7ps6	phase_1	p46	473.9430000782013
8	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 1, 61: 1, 64: 1, 53: 0, 51: 1, 65: 1, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 2, 2: 1, 1: 1, -3: 1, 3: 1, 0: 2}, 'gender': {'Male': 5, 'Female': 5}, 'occupation': {'Financier': 0, 'Engineer': 2, 'Career Politician': 1, 'Lawyer': 2, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 4, -1: 0, 2: 1, -2: 3, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 1, 2: 2, -3: 2, 3: 1, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 1, -1: 2, 1: 1, -2: 1, -3: 1, 0: 0}, 'political_experience': {9: 3, 5: 2, 8: 1, 2: 0, 12: 0, 10: 0, 6: 0, 11: 2, 15: 0, 14: 1, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 1, 'PhD': 2, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 6, 'Jewish': 3, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 3, 1: 2, 3: 0, 0: 1, -3: 1, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 0, -1: 2, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 1, 0: 0, -3: 0, -1: 2}, 'party': {'Democrat': 6, 'Republican': 4}}	1566933816517	add_to_committee	QQx6IjEb7ps6	phase_1	p92	502.87199997901917
9	{'age': {42: 0, 45: 1, 44: 0, 55: 0, 43: 0, 50: 0, 58: 0, 57: 0, 46: 0, 77: 0, 52: 1, 61: 1, 64: 1, 53: 0, 51: 1, 65: 1, 54: 0, 63: 2, 75: 0, 76: 0, 74: 0, 59: 0, 78: 0, 48: 1, 36: 0, 49: 1, 60: 0, 66: 0, 37: 0, 40: 0, 47: 0, 67: 0, 72: 0, 56: 0, 69: 0, 39: 0}, 'policy_strength_ban_abortion_after_6_weeks': {-1: 2, -2: 2, 2: 1, 1: 1, -3: 1, 3: 1, 0: 2}, 'gender': {'Male': 5, 'Female': 5}, 'occupation': {'Financier': 0, 'Engineer': 2, 'Career Politician': 1, 'Lawyer': 2, 'Judge': 1, 'Educator': 0, 'Business': 4, 'Doctor': 0, 'Farmer': 0, 'Military': 0}, 'policy_strength_budget_for_free_school_lunch_program': {3: 1, 1: 4, -1: 0, 2: 1, -2: 3, -3: 0, 0: 1}, 'policy_strength_ban_alcohol_sales_on_sundays': {-2: 3, -1: 1, 2: 2, -3: 2, 3: 1, 1: 1, 0: 0}, 'policy_strength_legalize_medical_marijuana': {2: 4, 3: 1, -1: 2, 1: 1, -2: 1, -3: 1, 0: 0}, 'political_experience': {9: 3, 5: 2, 8: 1, 2: 0, 12: 0, 10: 0, 6: 0, 11: 2, 15: 0, 14: 1, 7: 1, 3: 0, 13: 0, 18: 0, 4: 0}, 'education': {'Master Degree': 1, 'PhD': 2, 'Law Degree': 4, 'Bachelor Degree': 2, 'Associate Degree': 1, 'Medical Degree': 0, 'High School': 0}, 'religion': {'Christian': 6, 'Jewish': 3, 'Muslim': 0, 'Unaffiliated': 0, 'Hindu': 0, 'Mormon': 1}, 'policy_strength_increase_gun_control_legislation': {2: 3, -2: 3, 1: 2, 3: 0, 0: 1, -3: 1, -1: 0}, 'policy_strength_increase_budget_for_medicare_coverage': {3: 1, 0: 1, -2: 2, 1: 0, -1: 2, 2: 4, -3: 0}, 'policy_strength_increase_budget_for_veterans_affairs': {3: 2, -2: 2, 2: 3, 1: 1, 0: 0, -3: 0, -1: 2}, 'party': {'Democrat': 6, 'Republican': 4}}	1566933847165	add_to_committee	QQx6IjEb7ps6	phase_1	p18	533.5199999809265
