	committee_size	interactionAt	interactionType	participant_id	phase	politician_id	relativeInteractionAt
0	1	1566569470463	add_to_committee	8oiaPu0yRfxr	phase_1	p52	2.763000011444092
1	2	1566569537987	add_to_committee	8oiaPu0yRfxr	phase_1	p59	70.28699994087219
2	1	1566569553046	remove_from_committee	8oiaPu0yRfxr	phase_1	p59	85.34599995613098
3	2	1566569554662	add_to_committee	8oiaPu0yRfxr	phase_1	p33	86.96199989318848
4	1	1566569564883	remove_from_committee	8oiaPu0yRfxr	phase_1	p33	97.18299984931946
5	2	1566569575599	add_to_committee	8oiaPu0yRfxr	phase_1	p100	107.8989999294281
6	3	1566569576734	add_to_committee	8oiaPu0yRfxr	phase_1	p100	109.03399991989136
7	2	1566569602247	remove_from_committee	8oiaPu0yRfxr	phase_1	p100	134.54699993133545
8	3	1566569625924	add_to_committee	8oiaPu0yRfxr	phase_1	p02	158.22399997711182
9	4	1566569649072	add_to_committee	8oiaPu0yRfxr	phase_1	p54	181.37199997901917
10	5	1566569726228	add_to_committee	8oiaPu0yRfxr	phase_1	p78	258.5279998779297
11	6	1566569916783	add_to_committee	8oiaPu0yRfxr	phase_1	p66	449.0829999446869
12	7	1566570066310	add_to_committee	8oiaPu0yRfxr	phase_1	p65	598.6099998950958
13	8	1566570099142	add_to_committee	8oiaPu0yRfxr	phase_1	p79	631.441999912262
14	9	1566570155326	add_to_committee	8oiaPu0yRfxr	phase_1	p48	687.6259999275208
15	10	1566570206930	add_to_committee	8oiaPu0yRfxr	phase_1	p06	739.2300000190735
16	11	1566570332223	add_to_committee	8oiaPu0yRfxr	phase_1	p90	864.5230000019073
